업종,상호명,영업소도로명소재지,전화번호
노래연습장업,씽씽,경기도 고양시 덕양구 삼송로 190-8  (삼송동),02-381-3902
노래연습장업,리오,경기도 고양시 덕양구 화정로 53-1 (화정동),031-968-2991
노래연습장업,금모래,"경기도 고양시 덕양구 화중로152번길 14, 지층호 (화정동)",031-966-6784
노래연습장업,열창,"경기도 고양시 덕양구 은빛로29번길 18, 지층호 (화정동)",031-966-3168
노래연습장업,화정,경기도 고양시 덕양구 화중로138번길 5-11  (화정동),031-978-0769
노래연습장업,한소리,"경기도 고양시 덕양구 충경로 49-1,  지층호 (행신동)",031-971-4998
노래연습장업,청춘시대,"경기도 고양시 덕양구 화신로260번길 37,  지층호 (화정동,진솔프라자)",031-972-9264
노래연습장업,앵콜노래연습장,"경기도 고양시 덕양구 화신로272번길 38, 403,404호 (화정동, 성보월드프라자)",031-973-7156
노래연습장업,훼미리,"경기도 고양시 덕양구 마상로140번길 62,  지층호 (주교동)",031-965-9995
노래연습장업,와!노래연습장,"경기도 고양시 일산동구 무궁화로93번길 20, 지층 (정발산동)",
노래연습장업,엔젤스코인노래연습장 일산주엽점,"경기도 고양시 일산서구 주화로 70, B109호 (주엽동, 일신우신프라자)",919-5384
노래연습장업,1.5노래연습장,"경기도 고양시 일산동구 호수로446번길 73-3 (백석동,지층)",
노래연습장업,소리골노래연습장,"경기도 고양시 일산동구 일산로135번길 6-3, 지층 (백석동)",
노래연습장업,상상 노래연습장,"경기도 고양시 일산동구 강촌로26번길 73-22 (백석동,지층)",905-2220
노래연습장업,파티 노래연습장,"경기도 고양시 일산동구 강송로113번길 53-24, 지층 (백석동)",906-5644
노래연습장업,로또 노래연습장,경기도 고양시 일산동구 강송로113번길 7-5 (백석동),904-5338
노래연습장업,아바 노래연습장,"경기도 고양시 일산동구 강송로125번길 53  (백석동,지층)",908-2718
노래연습장업,행복 노래연습장,"경기도 고양시 일산동구 강송로73번길 48, 지층호 (백석동)",903-7003
노래연습장업,땡큐 노래연습장,경기도 고양시 일산동구 강송로74번길 72-3 (백석동),904-9145
노래연습장업,K2노래연습장,"경기도 고양시 일산서구 일산로 557, 지층 102,103호 (일산동, 제일프라자)",916-4206
노래연습장업,솔솔 노래연습장,경기도 고양시 일산동구 율천로7번길 7-13 (정발산동),
노래연습장업,비타민 노래연습장,"경기도 고양시 일산서구 일산로 524, 지층 101호 (일산동, 동심프라자)",
노래연습장업,영상노래연습장,"경기도 고양시 일산서구 일산로 517, 지하1층 (일산동)",918-7770
노래연습장업,힐링 노래연습장,"경기도 고양시 일산서구 성저로 122, 지층 (대화동)",916-6045
노래연습장업,탄현 노래연습장,"경기도 고양시 일산서구 현중로26번길 15-2, 지층 (탄현동)",913-7596
노래연습장업,문촌 노래연습장,경기도 고양시 일산서구 대산로212번길 8-20 (대화동),918-4669
노래연습장업,최신노래연습장,경기도 고양시 일산동구 장항로 299-6 (장항동),906-2117
노래연습장업,쟁반 노래연습장,경기도 고양시 일산서구 현중로36번길 2 (탄현동),914-6926
노래연습장업,공룡코딱지노래연습장,"경기도 고양시 일산서구 중앙로 1567, 지층 (대화동, 대화프라자)",
노래연습장업,타워노래연습장,"경기도 고양시 일산동구 백석로108번길 10  (백석동,지층)",
노래연습장업,금상,"경기도 고양시 덕양구 화중로 96,  지층호 (화정동)",031-965-1114
노래연습장업,햇빛,"경기도 고양시 덕양구 행신로 357, 지층호 (행신동)",031-972-6887
노래연습장업,MBC,"경기도 고양시 덕양구 화신로272번길 29, 309,310호 (화정동, 현대프라자)",031-979-3336
노래연습장업,즐거운,"경기도 고양시 덕양구 중앙로 550, 지층호 (행신동)",031-979-6402
노래연습장업,샘터,경기도 고양시 덕양구 충장로123번길 7  (행신동),031-979-4992
노래연습장업,썬,경기도 고양시 덕양구 충장로 118-23 (행신동),031-938-5933
노래연습장업,도레미,"경기도 고양시 덕양구 호국로 792,  지층호 (성사동)",031-964-3118
노래연습장업,가인,"경기도 고양시 덕양구 백양로 47, 206호 (화정동, 상록빌딩)",031-970-8765
노래연습장업,핑클,"경기도 고양시 덕양구 호국로 778-20, 201호 (성사동)",031-968-0869
노래연습장업,신바람,"경기도 고양시 덕양구 중앙로472번길 85-15  (행신동,지층)",031-938-4087
노래연습장업,스타 노래연습장,"경기도 고양시 일산동구 탄중로 323 (중산동,현대프라자 201호)",
노래연습장업,신나는 노래연습장,경기도 고양시 일산서구 원일로 94 (일산동),
노래연습장업,쿵짝 노래연습장,경기도 고양시 일산동구 탄중로431번길 8-8 (중산동),
노래연습장업,후곡COIN노래연습장,"경기도 고양시 일산서구 일산로 536, B103,B104호 (일산동, 부흥프라자)",
노래연습장업,시네마  노래연습장,"경기도 고양시 일산서구 중앙로 1456, 2층 (주엽동, 서현프라자)",911-8626
노래연습장업,디지털노래연습장,"경기도 고양시 일산서구 일산로636번길 23-2, 지층 (대화동)",9915-7654
노래연습장업,1.5  노래연습장,"경기도 고양시 일산동구 강촌로26번길 7-23  (백석동,지층)",906-0933
노래연습장업,그랜드 노래연습장,"경기도 고양시 일산동구 중앙로 1172 (마두동,지층)",906-6937
노래연습장업,테마  노래연습장,경기도 고양시 일산서구 호수로838번길 74-33 (대화동),915-0486
노래연습장업,스마일노래연습장,경기도 고양시 일산서구 대산로211번길 53-14 (대화동),
노래연습장업,사이사이  노래연습장,"경기도 고양시 일산서구 대산로212번길 8-24, 지층 (대화동)",913-4242
노래연습장업,레노비  노래연습장,경기도 고양시 일산동구 애니골길 20  (풍동),905-6003
노래연습장업,K2 노래연습장,경기도 고양시 일산동구 고풍로 44-8 (풍동),902-8686
노래연습장업,하얏타,"경기도 고양시 덕양구 혜음로 54-11,  지층호 (고양동)",031-962-4256
노래연습장업,축제,경기도 고양시 덕양구 무원로54번길 15-15  (행신동),031-978-0799
노래연습장업,스피드,"경기도 고양시 덕양구 토당로 125,  B01호 (토당동)",031-979-5442
노래연습장업,떳다,경기도 고양시 덕양구 혜음로 68 (고양동),031-963-4917
노래연습장업,필,"경기도 고양시 덕양구 혜음로 29-1 (고양동,지하)",031-962-3069
노래연습장업,제우스,"경기도 고양시 덕양구 무원로 64, 지층호 (행신동)",031-938-1598
노래연습장업,훼미리,"경기도 고양시 덕양구 토당로104번길 8 (토당동,지층)",
노래연습장업,백두산,"경기도 고양시 덕양구 화신로272번길 52 (화정동, 원빈프라자 502호)",031-970-5858
노래연습장업,25시,"경기도 고양시 덕양구 무원로54번길 67,  지층호 (행신동)",031-973-2112
노래연습장업,344,"경기도 고양시 덕양구 호국로789번길 7, 지층호 (주교동)",031-966-7301
노래연습장업,신바람노래연습장,"경기도 고양시 덕양구 성신로 22, 지층 103호 (화정동,백년프라자)",031-979-0694
노래연습장업,코러스,"경기도 고양시 덕양구 원당로125번길 21, 201호 (주교동,우일종합시장)",969-4313
노래연습장업,만남,"경기도 고양시 덕양구 충경로 33, 지층 (행신동)",031-979-0368
노래연습장업,W,"경기도 고양시 덕양구 무원로36번길 1, 지층호 (행신동)",031-971-3363
노래연습장업,하트,"경기도 고양시 덕양구 무원로54번길 57,  지층호 (행신동)",031-973-5424
노래연습장업,올리브 노래연습장,"경기도 고양시 일산동구 강송로113번길 9, 지층 (백석동)",902-6511
노래연습장업,갤러리 노래연습장,"경기도 고양시 일산동구 장백로 172, 지층 비104호 (장항동, 금강프라자)",905-4910
노래연습장업,스타 노래연습장,경기도 고양시 일산동구 산두로 269-2  (정발산동),912-7245
노래연습장업,퍼펙트코인 노래연습장,"경기도 고양시 일산동구 일산로 202 (마두동,일성프라자 지층)",965-5047
노래연습장업,수노래연습장,경기도 고양시 일산서구 호수로856번길 74-1 (대화동),"8,912"
노래연습장업,콜 노래연습장,"경기도 고양시 일산동구 산두로 169 (정발산동,지층)",
노래연습장업,광장  노래연습장,"경기도 고양시 일산동구 장백로 184 (장항동,우신프라자212호)",
노래연습장업,뻐꾸기 노래연습장,"경기도 고양시 일산동구 강송로125번길 47 (백석동,지층)",908-3519
노래연습장업,그랜드  노래연습장,"경기도 고양시 일산서구 강성로 121, 605호 (주엽동, 일산삼희프라자)",031-918-3141
노래연습장업,스타일 노래연습장,"경기도 고양시 일산동구 탄중로 312-5 (중산동,지층)",977-1255
노래연습장업,서울,경기도 고양시 덕양구 지도로35번길 68 (토당동),031-974-5805
노래연습장업,한강,"경기도 고양시 덕양구 지도로35번길 12-14, 지층호 (토당동)",031-972-1230
노래연습장업,K2노래연습장,"경기도 고양시 덕양구 중앙로 560, 지층호 (행신동,화성골드프라자)",031-979-6103
노래연습장업,가족,"경기도 고양시 덕양구 혜음로 21, 지하층 (고양동)",031-963-7177
노래연습장업,궁전,경기도 고양시 덕양구 지도로115번길 19-16 (토당동),031-971-5588
노래연습장업,둥지,"경기도 고양시 덕양구 충장로475번길 13-10, 지층호 (성사동)",031-966-8326
노래연습장업,테마,"경기도 고양시 덕양구 통일로 1287, 지층호 (내유동)",031-969-3389
노래연습장업,찬찬찬,"경기도 고양시 덕양구 통일로 1005-2, 고양철물건재 지층 (관산동)",031-969-7755
노래연습장업,팡팡가족,경기도 고양시 덕양구 통일로768번길 11 (관산동),031-962-7759
노래연습장업,와우노래연습장,"경기도 고양시 덕양구 혜음로 174 (고양동, 지층)",
노래연습장업,비노래연습장,"경기도 고양시 덕양구 화중로130번길 45, 지층호 (화정동)",031-968-4567
노래연습장업,앵콜,경기도 고양시 덕양구 지도로 36 (토당동),031-970-5817
노래연습장업,스타,"경기도 고양시 덕양구 지도로42번길 11 (토당동,2층)",031-972-8007
노래연습장업,샤넬,"경기도 고양시 덕양구 고양대로1369번길 11-6, 지층호 (성사동)",031-967-3236
노래연습장업,월드,"경기도 고양시 덕양구 백양로 138-12,  지층호 (화정동)",031-967-3080
노래연습장업,챔프,"경기도 고양시 덕양구 화신로260번길 31,  304호 (화정동)",031-979-7907
노래연습장업,벨 노래연습장,"경기도 고양시 덕양구 고양대로1369번길 7, 4층호 (성사동)",031-965-4487
노래연습장업,신바람,"경기도 고양시 덕양구 마상로114번길 52, 지층호 (주교동)",031-969-0890
노래연습장업,세바퀴 노래연습장,"경기도 고양시 일산서구 고양대로 692, 지층 (일산동)",975-8106
노래연습장업,영 노래연습장,"경기도 고양시 일산동구 강송로87번길 53-12 (백석동,지층)",907-9881
노래연습장업,가을  노래연습장,"경기도 고양시 일산동구 강송로73번길 8-10 (백석동,지층)",905-6623
노래연습장업,엠 노래연습장,"경기도 고양시 일산동구 강송로87번길 8-26, 지층 (백석동)",905-3973
노래연습장업,영 노래연습장,경기도 고양시 일산동구 탄중로 321 (중산동),976-9057
노래연습장업,팡팡 노래연습장,경기도 고양시 일산동구 일산로 284 (마두동),
노래연습장업,JJ  노래연습장,"경기도 고양시 일산서구 강성로 139, B101호 (주엽동, 웅진싱크빅)",919-3880
노래연습장업,비바 노래연습장,경기도 고양시 일산서구 성저로46번길 63 (대화동),"914-0055,911-0586"
노래연습장업,피플  노래연습장,"경기도 고양시 일산동구 중산로 250, 지층 (중산동)","912-9963,977-4159"
노래연습장업,자유로  노래연습장,경기도 고양시 일산동구 장항로 145  (장항동),905-7311
노래연습장업,카멜레온  노래연습장,"경기도 고양시 일산동구 강송로74번길 72-13, 지층 (백석동)",901-8345
노래연습장업,가시새 노래연습장,"경기도 고양시 일산동구 중산로 232 (중산동,보경빌딩 지하1층)",
노래연습장업,홍콩 노래연습장,"경기도 고양시 일산동구 강송로73번길 54-9 (백석동,지층)",
노래연습장업,흥날터  노래연습장,"경기도 고양시 일산동구 중앙로 1160, 화랑복합빌딩 310호 (마두동)",031-906-9322
노래연습장업,스타코인노래연습장,"경기도 고양시 일산서구 일산로 556, B102,103호 (일산동, 후곡타운)",969-9395
노래연습장업,SBS 노래연습장,"경기도 고양시 일산서구 탄중로233번길 25, 지층 (탄현동, 양우프라자)",917-6314
노래연습장업,팡팡  노래연습장,경기도 고양시 일산동구 일산로427번길 44 (정발산동),914-6196
노래연습장업,우주 노래연습장,"경기도 고양시 일산동구 백석로71번길 45, 지층 (백석동)",
노래연습장업,영스타 노래연습장,"경기도 고양시 일산서구 강성로 115, 지층 (주엽동, 금강빌딩)",915-6455
노래연습장업,SBS 노래연습장,"경기도 고양시 일산동구 강송로113번길 10  (백석동,지층)",908-0061
노래연습장업,가인 노래연습장,"경기도 고양시 일산서구 강성로 111, 지층 (주엽동, 범이빌딩)",911-1211
노래연습장업,가요무대 노래연습장,경기도 고양시 일산동구 강송로87번길 39 (백석동),906-5664
노래연습장업,킹 노래연습장,"경기도 고양시 일산동구 탄중로431번길 8-9 (중산동,지층)",976-7647
노래연습장업,필드 노래연습장,"경기도 고양시 일산동구 탄중로417번길 7-12, 지층 (중산동)",975-7386
노래연습장업,빛나리노래연습장,"경기도 고양시 일산동구 일산로 326, B103&104호 (마두동, 대신상가)",
노래연습장업,사이버,"경기도 고양시 덕양구 용현로35번길 40,  지층호 (행신동)",
노래연습장업,무지개,"경기도 고양시 덕양구 지도로35번길 38  (토당동,지층)",031-973-0911
노래연습장업,우주노래연습장,"경기도 고양시 덕양구 원당로59번길 11-5, 지층호 (주교동)",031-969-8244
노래연습장업,인기,"경기도 고양시 덕양구 화랑로 165, 지층호 (화전동)",02-3158-8197
노래연습장업,분홍,"경기도 고양시 덕양구 화중로130번길 25 (화정동, 지층)",031-963-2219
노래연습장업,친구네,"경기도 고양시 덕양구 호국로789번길 19, 지층호 (주교동, 정하빌딩)",
노래연습장업,와와,"경기도 고양시 덕양구 화신로272번길 42, 2층호 (화정동)",031-979-6239
노래연습장업,마을터,"경기도 고양시 덕양구 행당로33번길 7-9, 지층호 (토당동)",031-973-7772
노래연습장업,또와 노래연습장,"경기도 고양시 일산동구 산두로273번길 43, 지층 (정발산동)",919-4399
노래연습장업,세븐 노래연습장,경기도 고양시 일산동구 백석로85번길 5-5 (백석동),907-1977
노래연습장업,볼륨업,"경기도 고양시 일산동구 강송로73번길 53-14, 지층 (백석동)",971-0874
노래연습장업,아싸노래연습장,"경기도 고양시 일산서구 일산로 638, 지층 (대화동, 성저빌딩)",916-1485
노래연습장업,초이스 노래연습장,"경기도 고양시 일산동구 강송로87번길 23-3  (백석동,지층)",907-2120
노래연습장업,커플 노래연습장,"경기도 고양시 일산서구 덕이로 181, 2층 (덕이동)",
노래연습장업,퀸카 노래연습장,"경기도 고양시 일산동구 일산로 453  (정발산동,지층)",921-9588
노래연습장업,큐노래연습장,"경기도 고양시 일산서구 덕이로 191, 지층 (덕이동)",
노래연습장업,첼로 노래연습장,"경기도 고양시 일산동구 백석로71번길 44 (백석동,지하)",
노래연습장업,따봉,"경기도 고양시 덕양구 행신로 153, 지층호 (행신동)",031-974-2603
노래연습장업,입큰개구리,"경기도 고양시 덕양구 호국로789번길 6, 지층호 (주교동)",031-966-8070
노래연습장업,3040,"경기도 고양시 덕양구 지도로35번길 61, 지층호 (토당동,행주상가)",031-974-7871
노래연습장업,불꽃노래연습장,"경기도 고양시 덕양구 고양대로1369번길 19, 지층호 (성사동)",
노래연습장업,가람,경기도 고양시 덕양구 중앙로 462  (행신동),031-971-0486
노래연습장업,팡팡,"경기도 고양시 덕양구 중앙로 466, 지층호 (행신동)",972-8667
노래연습장업,n돌핀,"경기도 고양시 덕양구 호국로779번길 20, 지층호 (주교동,원빌딩)",031-967-4986
노래연습장업,달빛,"경기도 고양시 덕양구 마상로140번길 81,  지층호 (주교동)",031-968-9924
노래연습장업,콜,"경기도 고양시 덕양구 충경로 38, 201호 (행신동,진일프라자)",031-970-6121
노래연습장업,태평양,"경기도 고양시 덕양구 마상로134번길 71,  지층호 (주교동)",031-963-1929
노래연습장업,마이다스,"경기도 고양시 덕양구 지도로35번길 3, 지층호 (토당동)",971-5931
노래연습장업,음악여행 노래연습장,"경기도 고양시 일산동구 탄중로431번길 30-20, 지층 (중산동)",
노래연습장업,오존 노래연습장,"경기도 고양시 일산서구 후곡로 19, 지하1층 (일산동, 평화프라자)",922-3507
노래연습장업,팡팡노래연습장,"경기도 고양시 일산서구 산현로17번길 17, 지층 (탄현동)",922-3940
노래연습장업,오디션 노래연습장,"경기도 고양시 일산동구 장백로 60 (백석동,덕진프라자2층)",
노래연습장업,만방  노래연습장,경기도 고양시 일산서구 덕이로 205 (덕이동),916-5361
노래연습장업,쇼킹  노래연습장,"경기도 고양시 일산서구 산현로 11, 202호 (탄현동, 부건프라자)",918-0244
노래연습장업,타임  노래연습장,경기도 고양시 일산동구 일산로428번길 14-4 (정발산동),911-1830
노래연습장업,덕이  노래연습장,"경기도 고양시 일산서구 덕이로 187, 지하1층 (덕이동)",925-8254
노래연습장업,라희노래연습장,"경기도 고양시 일산서구 산현로78번길 23, B101호 (일산동, 선명프라자)",911-1670
노래연습장업,SBS 노래연습장,"경기도 고양시 일산동구 탄중로 429 (중산동,성지프라자 지하103호)",
노래연습장업,대박노래연습장,"경기도 고양시 일산동구 정발산로 39, 408~410호 (장항동, 대양빌딩)",905-3770
노래연습장업,벤쳐스 노래연습장,경기도 고양시 일산동구 무궁화로 8-38 (장항동),
노래연습장업,월드컵  노래연습장,"경기도 고양시 일산서구 일현로 41, 301호 (탄현동)",922-6988
노래연습장업,월드컵  노래연습장,"경기도 고양시 일산서구 원일로 81, 지하1층 (일산동)",
노래연습장업,대박 노래연습장,"경기도 고양시 일산서구 산현로17번길 9, 203호 (탄현동)",
노래연습장업,해비치 노래연습장,"경기도 고양시 일산동구 일산로 443, 지하104호 (정발산동, 백석프라자)",913-7557
노래연습장업,채널  노래연습장,"경기도 고양시 일산서구 중앙로 1493, 2066,2067호 (주엽동, 문촌마을상가동)",031-813-3434
노래연습장업,스타 노래연습장,"경기도 고양시 일산동구 강송로87번길 53-4, B01호 (백석동)",906-5644
노래연습장업,25시 노래연습장,"경기도 고양시 일산서구 중앙로 1576, 비103호 (대화동, 태진빌딩)",
노래연습장업,또왕 노래연습장,경기도 고양시 일산동구 강송로87번길 53-6 (백석동),901-5991
노래연습장업,월드  노래연습장,"경기도 고양시 일산동구 중앙로 1192 (마두동,월드프라자 지층)",946-6324
노래연습장업,뉴팡팡노래연습장,"경기도 고양시 일산서구 현중로36번길 74, 지층 (탄현동)",913-4340
노래연습장업,아리오조  노래연습장,"경기도 고양시 일산동구 강석로 119, 2층 (마두동, 뉴삼창마트주차타워)",905-2902
노래연습장업,카니발,"경기도 고양시 덕양구 화중로130번길 31, 지층호 (화정동)",031-968-4376
노래연습장업,대명,"경기도 고양시 덕양구 통일로768번길 12-5  (관산동,지층)",031-964-5832
노래연습장업,귀인,"경기도 고양시 덕양구 고양대로1384번길 7-5, 305호 (성사동,서강프라자)",031-968-8416
노래연습장업,쥬얼리노래연습장,"경기도 고양시 덕양구 용현로5번길 50 (행신동,리치빌 1차 205호,206호)",031-971-0037
노래연습장업,유리,"경기도 고양시 덕양구 호국로 778-24, 지층호 (성사동)",031-966-1556
노래연습장업,씽씽,"경기도 고양시 덕양구 중앙로 550, 205호 (행신동,삼일프라자)",031-974-1929
노래연습장업,OK,"경기도 고양시 덕양구 지도로 39-1, 지층호 (토당동)",031-938-8259
노래연습장업,탑노래연습장,"경기도 고양시 덕양구 혜음로 50, 지층호 (고양동)",031-969-2355
노래연습장업,황실,"경기도 고양시 덕양구 화중로130번길 19, 지층호 (화정동)",031-967-2177
노래연습장업,청원  노래연습장,"경기도 고양시 일산동구 중앙로1275번길 86-23  (장항동,청원레이크빌 203,204호)",907-2551
노래연습장업,럭셔리 노래연습장,"경기도 고양시 일산서구 일산로 569, B101호 (일산동, 문촌빌딩)",914-1084
노래연습장업,흥날터2  노래연습장,"경기도 고양시 일산서구 탄현로 6, 지층 (탄현동)",915-8110
노래연습장업,알앤디노래연습장,"경기도 고양시 일산서구 탄중로101번길 30, 가동 지층 (덕이동)",031-924-5494
노래연습장업,이차로  노래연습장,"경기도 고양시 일산동구 강송로73번길 58 (백석동,지층)",903-5955
노래연습장업,미소 노래연습장,"경기도 고양시 일산동구 백석로72번길 5-9 (백석동,지층)",
노래연습장업,네박자  노래연습장,경기도 고양시 일산서구 일청로 27 (일산동),"975-4443,"
노래연습장업,희  노래연습장,"경기도 고양시 일산동구 백석로72번길 41 (백석동,지층)",902-3809
노래연습장업,소나타  노래연습장,"경기도 고양시 일산동구 백석로72번길 6-2 (백석동,지층)",
노래연습장업,올인노래연습장,"경기도 고양시 일산동구 강송로88번길 8-6 (백석동,지층)",
노래연습장업,히트 노래연습장,"경기도 고양시 일산서구 성저로38번길 47, 지층 (대화동)",
노래연습장업,썸 노래연습장,"경기도 고양시 일산동구 백석로85번길 5-6, 지하1층 (백석동)",908-9877
노래연습장업,마돈나  노래연습장,"경기도 고양시 일산서구 호수로838번길 74-27, 지층 (대화동)",921-7664
노래연습장업,에쿠스  노래연습장,"경기도 고양시 일산서구 일산로803번길 81-1, 지층 (대화동)",915-7361
노래연습장업,노래방스  노래연습장,"경기도 고양시 일산동구 탄중로431번길 3 (중산동, 영전빌딩 지층층)",975-1818
노래연습장업,놀러와노래연습장,"경기도 고양시 일산서구 산현로17번길 7-42, 지층 (탄현동, 진영프라자)","911-7332,902-3470"
노래연습장업,짱  노래연습장,"경기도 고양시 일산서구 현중로26번길 73, 지층 (탄현동)",
노래연습장업,동경  노래연습장,"경기도 고양시 일산동구 일산로 432 (정발산동,4층)",921-5562
노래연습장업,수 노래연습장,"경기도 고양시 일산서구 대산로212번길 7-10, 지층 (대화동)",
노래연습장업,빈노래연습장,"경기도 고양시 일산서구 대산로212번길 8-10, 지층 (대화동)",918-5856
노래연습장업,금강산  노래연습장,"경기도 고양시 일산동구 강송로113번길 54-11  (백석동,지층)",905-6218
노래연습장업,요요 노래연습장,"경기도 고양시 일산동구 백석로72번길 31-4, 지층호 (백석동)",
노래연습장업,청 노래연습장,"경기도 고양시 일산동구 백석로72번길 22 (백석동,지층)",904-5229
노래연습장업,팡팡 노래연습장,"경기도 고양시 일산서구 덕이로 265, 2층 (덕이동)",911-7011
노래연습장업,샹그리라 노래연습장,"경기도 고양시 일산동구 일산로 141  (백석동,2층)","903-8777,02-795-8633"
노래연습장업,콘서트 노래연습장,"경기도 고양시 일산서구 탄현로6번길 23-31, 지층 (탄현동)","1,492"
노래연습장업,산울림 노래연습장,"경기도 고양시 일산동구 백석로71번길 6-5 (백석동,지층)",
노래연습장업,신바람 노래연습장,"경기도 고양시 일산서구 일청로 13, 3층 (일산동)",975-8872
노래연습장업,로마노래연습장,"경기도 고양시 일산서구 일현로 28, 2층 (탄현동)",
