연번, 업    소    명,(도로명) 소재지,전화번호,사업장 규모별 구분(물환경보전법 시행령 제44조 제2항),업종
44,북방주유소,고양시 덕양구 호국로 1827,031-963-1155,5,세차(주유소)
45,버블셀프,고양시 일산서구 산현로 124 (일산동),,5,세차
46,토당주유소,고양시 덕양구 중앙로 637 (토당동),031-979-5020,5,세차(주유소)
47,대성석유㈜직영스타주유소,고양시 덕양구 은빛로 59 (화정동),031-968-7421,5,세차(주유소)
48,고양탁주합동제조장,고양시 덕양구 대주로 506 (주교동),031-962-6100,5,식품
49,SK네트웍스(주)유공판매주유소,고양시 일산동구 백마로 56 (장항동),031-904-5152,5,세차(주유소)
50,일산그린주유소,고양시 일산동구 고봉로 282 (중산동),031-977-0305,5,세차(주유소)
51,처음처럼제2주유소,고양시 일산서구 탄중로 251 (탄현동),031-925-9120,5,세차(주유소)
52,일산오렌지충전소,고양시 일산동구 백마로 42  (장항동)  ,031-903-3586,5,세차(주유소)
53,SK네트웍스(주)삼일주유소,고양시 덕양구 지도로 15 (토당동),031-979-0314,5,세차(주유소)
54,SK네트웍스(주)유공주유소,고양시 일산서구 경의로 829 (덕이동),031-918-8071,5,세차(주유소)
55,신라밧데리,고양시 덕양구 토당로 180 (토당동),031-972-4373,5,세차
56,뉴월드프라자,"고양시 일산서구 주화로 76 (주엽동),  뉴월드프라자",031-917-0564,5,세차
57,동해운수㈜,고양시 일산서구 경의로 772 (대화동),031-913-6080,5,세차(운송)
58,서울운수주식회사,고양시 일산서구 경의로789번길 3 (대화동),031-941-3136,5,세차(운송)
59,덕양주유소,고양시 덕양구 충장로 142 (행신동),031-979-8426,5,세차(주유소)
60,카닥일산주유소,고양시 일산동구 백마로 54 (장항동),031-907-5149,4,세차(주유소)
61,㈜원흥주유소 고양동지점,고양시 덕양구 호국로 1789 (고양동),031-965-5189,5,세차(주유소)
62,현대오일뱅크㈜ 직영 하나주유소,고양시 일산동구 백마로 31 (장항동),031-906-5152,5,세차(주유소)
63,디테일링카,"고양시 덕양구 혜음로 116,118(고양동)",,5,세차
64,삼릉주유소,고양시 덕양구 원당로 363 (원당동),,5,세차
65,능곡주유소,고양시 덕양구 지도로 8 (토당동),031-973-2282,5,세차(주유소)
66,(의)일산복음의료재단,고양시 일산동구 고양대로 760 (중산동),031-929-0434,5,병원
67,국인사,고양시 일산동구 노첨길36번길 39 (장항동),031-902-4116,5,"출판,인쇄"
68,그린셀프세차장,고양시 덕양구 통일로 33 (동산동),02-353-0411,5,세차
69,㈜해진네트웍스 오성석유상사 구도일주유소 시내,고양시 덕양구 호국로 1699 (벽제동),031-963-5191,5,세차(주유소)
70,에덴카센타,고양시 일산서구 경의로 867-1 (덕이동),031-918-4774,5,세차
71,구도일주유소 신화일산,고양시 일산동구 백마로 36 (장항동),031-904-7793,5,세차(주유소)
72,OK세차장,고양시 덕양구 고양대로 1335 (주교동),031-969-3330,5,세차
73,㈜자연에너지 강풍주유소,고양시 덕양구 호국로 730 (성사동),031-962-5450,5,세차(주유소)
74,내유동주유소,고양시 덕양구 통일로 1275 (내유동),031-962-0606,5,세차(주유소)
75,더월드모터스,고양시 일산서구 경의로789번길 38 (덕이동),,5,세차
76,에스제이(SJ)오일일산주유소,고양시 일산서구 고양대로 535 (대화동),031-918-5154,5,세차(주유소)
77,sk네트웍스㈜ 레이디스주유소,고양시 덕양구 호국로 624 (화정동),031-964-0014,5,세차(주유소)
78,메트로셀프세차장,고양시 일산동구 백마로 435 (풍동),031-906-4412,5,세차
79,신도시충전소세차장,고양시 일산동구 경의로 234 (백석동),031-904-9022,5,세차
80,㈜로얄프로세서,고양시 일산서구 덕산로243번길 58-15 (덕이동),031-911-1501,5,"출판,인쇄"
81,(주)신세계주유소,고양시 일산동구 호수로 453 (백석동),031-905-0210,5,세차(주유소)
82,일산고등학교,고양시 일산서구 원일로 53 (일산동),031-910-1176,5,기타(학교)
83,고양정신병원,고양시 덕양구 통일로1102번길 46 (내유동),031-969-0885,5,병원
84,국립암센터,고양시 일산동구 일산로 323 (마두동),031-920-1994,4,병원
85,㈜케이엘페트로 고양지점,고양시 덕양구 충장로 210 (화정동),031-938-5185,5,세차(주유소)
86,대림에너지 주식회사,고양시 덕양구 서오릉로 832 (성사동),031-966-5194,5,세차(주유소)
87,인선이엔티㈜,고양시 일산동구 동국로 240 (식사동),031-969-1500,5,기타(폐기물)
88,신아실업,고양시 일산동구 장대길 145-7 (장항동),031-903-9881,5,세탁
89,자유로주유소,고양시 일산서구 이산포길 266 (법곳동),031-923-5186,5,세차(주유소)
90,명성운수㈜,고양시 일산서구 탄중로275번길 26 (탄현동),031-912-7041,5,세차(운송)
91,국민건강보험공단 일산병원,고양시 일산동구 일산로 100 (백석동),031-900-0073,4,병원
92,인제대학교 일산백병원,고양시 일산서구 주화로 170 (대화동),031-910-7971,4,병원
93,영프린팅,고양시 일산동구 장대길 106-33 (장항동),031-904-4494,5,"출판,인쇄"
94,스피드메이트 덕양화정점,고양시 덕양구 성신로 16 (화정동),031-970-8002,5,세차(자동차수리업)
95,진우문화인쇄사,"고양시 일산동구 장항로 203-111 다,라동 (장항동)",031-908-1479,5,"출판,인쇄"
96,삼원체인,"고양시 일산동구 일산로 142 (백석동), 유니테크빌 807호",031-906-0851,5,금속
97,비케이사,"고양시 일산동구 일산로 142 (백석동), 유니테크빌 525호",031-908-4277,5,금속
98,태광상사㈜이산포GS주유소,고양시 일산서구 고양대로 114 (법곳동),031-919-7712,5,세차(주유소)
99,청림프린테크,고양시 일산동구 사리현로 15 (식사동),031-964-8280,5,"출판,인쇄"
100,민언프린텍㈜,고양시 일산동구 장대길 42-103 (장항동),031-907-2166,5,"출판,인쇄"
101,삼원주유소,고양시 덕양구 고양대로 1303 (주교동),031-965-0604,5,세차(주유소)
102,유정주유소,고양시 덕양구 호수로 104 (토당동),031-971-5187,5,세차(주유소)
103,우신교통㈜,고양시 일산동구 고봉로678번길 51 (설문동),031-977-0130,5,세차(택시)
104,㈜신우디피케이,고양시 일산서구 이산포길 290 (법곳동),031-923-7333,5,"출판,인쇄"
105,신화손세차,고양시 일산동구 성현로599번길 28 (사리현동),031-969-8166,5,세차(자동차수리업)
106,일산투카 자동차공업사,고양시 일산서구 대화로 49 (법곳동),031-917-4465,5,세차(자동차수리업)
107,사우디 제7주유소,고양시 일산동구 백마로 37 (장항동),031-902-1155,5,세차(주유소)
108,신우주유소,고양시 일산동구 성현로 177 (성석동),02-375-5193,5,세차(주유소)
109,육군제1750부대,고양시 덕양구 대덕로82번길 101-2 (현천동),02)300-0269,5,세차(국방)
110,다신문화사,고양시 일산동구 장대길 64-64 (장항동),031-906-0095,5,"출판,인쇄"
111,북한산주유소,고양시 덕양구 북한산로 539 (효자동),02-384-4666,5,세차(주유소)
112,고양농수산물종합유통센타,고양시 일산서구 대화로 362 (대화동),031-910-9100,5,기타
113,한영문화사,고양시 일산동구 장대길 42-135 (장항동),031-903-1101,5,"출판,인쇄"
114,㈜블루웰오일,고양시 덕양구 고양대로 1926 (동산동),02-385-5188,5,세차(주유소)
115,㈜현문자현,고양시 일산동구 장항로 139-24(장항동),031-961-4217,5,"출판,인쇄"
116,T-Station 정발산점,고양시 일산동구 대산로 15(정발산동),031-924-5345,5,세차(자동차수리업)
117,CMS,고양시 일산동구 고양대로 898 (풍동),031-905-3533,5,세차
118,유일세차장,고양시 일산서구 일중로 45 (일산동),031-976-8558,5,자동차세차업
119, ㈜삼표 서부공장,고양시 덕양구 흥도로 113 (도내동),031-978-8705,5,비금속
120,서울문화,고양시 일산동구 장항로 203-140 (장항동),031-901-3793,5,"출판,인쇄"
121,청아문화사,고양시 일산동구 장대길 160-64 (장항동),031-908-8671,5,"출판,인쇄"
122,우일프린테크,고양시 일산동구 장대길 42-143. 2층 (장항동),031-902-1190,5,"출판,인쇄"
123,식사주유소,고양시 일산동구 고양대로 1137 (식사동),031-966-3166,5,세차(주유소)
124,(주)대신금속,고양시 일산동구 지영로194번길 40-15 (지영동),031-977-2557,5,기타
125,유진기업㈜서서울,고양시 덕양구 통일로493번길 35 (대자동),031-966-9111,5,비금속
126,오렌지세차장,고양시 일산동구 백마로 49 (장항동),031-903-2294,5,세차(주유소)
127,그린엔텍콤㈜,고양시 일산동구 은마길63번길 25-16 (설문동),031-977-6030,4,기타(폐기물)
128,㈜장원C&S,고양시 덕양구 통일로1031번길 412 (내유동),031-962-3850,4,기타(폐기물)
129,부광프린팅㈜,고양시 일산동구 고봉로 729 (설문동),031-977-4181,5,"출판,인쇄"
130,㈜미광원색사,고양시 일산동구 장항로 189 (장항동),031-904-9102,4,"출판,인쇄"
131,㈜이룸프레스,고양시 일산동구 장대길 64-63 (장항동),031-902-5944,5,"출판,인쇄"
132,희남문화사,고양시 일산동구 장대길 66 (장항동),031-908-9976,5,"출판,인쇄"
133,미성문화사,고양시 일산동구 장항로 203-127 (장항동),031-907-0291,5,"출판,인쇄"
134,㈜오토킹,고양시 덕양구 충장로 208 (화정동),031-978-0088,5,세차(자동차수리업)
135,평화카세차,고양시 일산서구 덕이로 261 (덕이동),031-917-7280,5,세차
136,㈜선진운수,고양시 일산서구 덕산로 174 (가좌동),031-923-8921,5,세차(운송)
137,세기상운㈜,고양시 일산동구 지영로194번길 4 (지영동),031-977-5781,5,세차(택시)
138,동국대학교의료원(일산),고양시 일산동구 동국로 27 (식사동),031-961-9387,4,병원
139,꽃마을주유소,고양시 덕양구 고양대로 1242 (주교동),,5,세차(주유소)
140,현대오일뱅크㈜ 직영 백석동주유소,고양시 일산동구 일산로 144 (백석동),031-905-5189,5,세차(주유소)
141,반도카서비스,고양시 일산동구 견달산로 250 (식사동),031-966-1900,5,세차(자동차수리업)
142,제형문화사,"고양시 일산동구 장항로 203-140, 나동 (장항동)",031-908-4541,5,"출판,인쇄"
143,㈜삼영석유(서류),고양시 덕양구 보광로 126 (벽제동),031-925-6707,5,세차(주유소)
144,대해문화사,고양시 일산동구 장대길 128-28 (장항동),031-906-0345,5,"출판,인쇄"
145,㈜신화프리팅코아퍼레이션,고양시 일산동구 장대길 86-76 (장항동),031-905-2727,5,"출판,인쇄"
146,수이북스,고양시 일산동구 장대길 64-88 (장항동),031-901-5078,5,"출판,인쇄"
147,아주산업㈜,고양시 덕양구 흥도로 111 (도내동),031-971-5111,5,비금속
148,스카이셀프세차,고양시 일산서구 고봉로 351 (일산동),031-977-7710,5,세차
149,㈜재원프린팅,고양시 일산동구 장대길 42-48,031-905-0762,5,"출판,인쇄"
150,㈜씨엠중앙문화,"고양시 일산동구 장대길 42-76 (장항동), 다,라동",031-902-3171,5,"출판,인쇄"
151,평진충전소,고양시 덕양구 호국로 1945 (벽제동),031-969-9604,5,세차(충전소)
152,㈜코리아프린테크,고양시 일산동구 장항로 313-19 (장항동),031-932-3551,5,"출판,인쇄"
153,한양세차장,고양시 덕양구 지도로124번길 1 (토당동),031-965-8257,5,세차
154,경애손세차장,고양시 일산서구 덕이로 272 (덕이동),031-913-4907,5,세차
155,유진기업㈜구파발,고양시 덕양구 통일로493번길 35 (대자동),031-908-8111,5,비금속
156,㈜삼정비스콤,고양시 일산동구 사리현로 167-16 (사리현동),031-962-0672,5,기타(종이)
157,㈜일산자동차운전학원,고양시 일산동구 성현로268번길 93 (성석동),031-975-1533,5,세차(운송)
158,프린팅파크,고양시 일산동구 장항로 291(장항동),031-901-6456,5,"출판,인쇄"
159,한국건설기술연구원,고양시 일산서구 고양대로 315 (대화동),031-910-0462,5,기타(연구 및 개발업)
160,우암주유소,고양시 덕양구 보광로 198 (벽제동),031-963-2334,5,세차(주유소)
161,현프린팅,고양시 일산동구 장대길 16 (장항동),031-901-7512,5,"출판,인쇄"
162,현대카센타,"고양시 일산동구 견달산로225번길 1 (식사동), A동",031-973-3500,5,세차
163,그린손세차장,고양시 일산서구 고양대로 605 (일산동),,5,세차
164,(주)남광프린텍,고양시 일산동구 은마길63번길 25-47 (성석동),031-977-6140,5,"출판,인쇄"
165,㈜처가식품,고양시 일산동구 공릉천로175번길 157 (사리현동),031-963-1636,5,식품
166,고봉산주유소,고양시 일산동구 고봉로 464 (성석동),031-977-5189,5,세차(주유소)
167,원당오렌지충전소,고양시 덕양구 호국로 996(원당동),031-967-0559,5,세차(충전소)
168,㈜삼전,고양시 덕양구 호국로 1634 (벽제동),031-969-8558,5,세차
169,동아LPG,고양시 덕양구 호국로 1631 (대자동),031-969-8227,5,세차(충전소)
170,화전LPG주유소,고양시 덕양구 중앙로 246 (화전동),02-3158-0083,5,세차(충전소)
171,썬LPG충전소,고양시 덕양구 중앙로 279 (화전동),02-3159-8118,5,세차(충전소)
172,삼경인쇄지기,고양시 일산동구 노첨길 68-1 (장항동),031-908-5667,5,"출판,인쇄"
173,원당충전소,고양시 덕양구 호국로 989 (원당동),031-968-0343,5,세차(충전소)
174,믿음맥과이어,고양시 일산서구 고봉로 355 (일산동),031-924-5054,5,세차(자동차수리업)
175,㈜와이이에스,고양시 덕양구 자유로 489 (행주외동),031-938-1292,5,세차(충전소)
176,㈜서강이엔,고양시 덕양구 자유로 88 (덕은동),02-3159-7119,5,세차(충전소)
177,㈜서울개인택시복지법인복지용두충전소,고양시 덕양구 서오릉로 569 (용두동),02-358-8440,5,세차(충전소)
178,신화출력,"고양시 일산동구 장대길 86-76 (장항동), 2층",031-902-7356,5,"출판,인쇄"
179,(주)통일로일품주유소,고양시 덕양구 통일로 862 (관산동),031-962-8055,5,세차(주유소)
180,광명사,고양시 일산동구 장대길 145-16,031-907-0704,5,세차(주유소)
181,섬마을주유소,고양시 덕양구 호수로 237 (내곡동),,5,세차(운송)
182,명성운수㈜,고양시 일산동구 고봉로 652 (성석동),031-977-1080,5,"출판,인쇄"
183,삼광프린팅,고양시 덕양구 중앙로46번길 19 (덕은동),02-3158-4415,5,세차(주유소)
184,가나주유소,고양시 덕양구 호국로 1941 (벽제동),,5,세차
185,대화세차장,고양시 일산서구 대화로 83 (대화동),,5,식품
186,㈜지엠축산,고양시 일산동구 장대길 64-23 (장항동),031-908-3062,5,고무 및 플라스틱
187,유진,고양시 일산동구 은마길 147 (설문동),031-975-0339,5,세차(자동차수리업)
188,아주카공업사,고양시 일산서구 덕이로292번길 22 (덕이동),031-917-1861,5,세차(주유소)
189,삼호주유소,고양시 덕양구 흥도로 404 (성사동),031-966-5599,5,"출판,인쇄"
190,㈜동화인쇄공사,"고양시 덕양구 대터2로 16 (덕은동), 가동",02-3158-3521,5,식품
191,철이푸드,고양시 일산동구 노첨길36번길 29 (장항동),,5,"출판,인쇄"
192,덕수칼라프로세스,고양시 일산동구 장대길 42-35 가동,031-907-6369,5,세차
193,현대그린세차장,고양시 덕양구 충장로 6 (행신동),031-972-8221,5,식품
194,두호통상,고양시 일산동구 성현로135번길 99-17 (성석동),031-977-3463,5,세차(주유소)
195,우리주유소,고양시 일산동구 성현로 487 (사리현동),031-964-5101,5,기타(섬유)
196,㈜태광마텍스,고양시 일산동구 공릉천로 209-59 (사리현동),031-963-5001,5,"출판,인쇄"
197,미래인쇄,고양시 일산동구 장대길 105번길 30(장항동),031-932-6997,5,세차
198,미광모터스,고양시 일산서구 송산로 524 (덕이동),031-918-4606,5,세차(주유소)
199,식사동(삼일)주유소,고양시 일산동구 견달산로 252 (식사동),031-967-3143,5,세차
200,수미세차장,고양시 일산서구 고양대로675번길 8 (일산동),,5,세차
201,소래영농조합법인,고양시 덕양구 혜음로 254-6 (벽제동),031-964-2147,5,식품
202,부흥세차장,고양시 덕양구 행당로 5 (토당동),031-974-8394,5,세차
203,신도인쇄사,고양시 일산동구 장항로225번길 216 (장항동),031-908-8223,5,"출판,인쇄"
204,ICEPIA,고양시 일산서구 멱절길86번길 61-19 (대화동),031-919-3311,5,기타세척
205,대화미래로셀프세차장,고양시 일산서구 대화로 74 (대화동),031-911-0884,5,세차
206,넥스프레스,고양시 일산동구 장대길 85 (장항동),031-908-7958,5,"출판,인쇄"
207,서울석유㈜ 명성주유소,고양시 덕양구 호국로 1628 (벽제동),031-962-9352,5,세차
208,동해개발,고양시 덕양구 중앙로 313 (도내동),031-979-4187,5,폐기물처리업
209,㈜키움프린팅,고양시 일산동구 장항로 203-133 (장항동),031-902-0510,5,"출판,인쇄"
210,씨앤에스에너지㈜ 탄현주유소,고양시 일산서구 일청로 143 (탄현동),031-922-0051,5,세차(주유소)
211,씨앤에스에너지(주)구도일주유소 성석,고양시 일산동구 고봉로 618 (성석동),031-977-5147,5,세차(주유소)
212,현대손세차,고양시 덕양구 행신로 279번길 7 (행신동),031-971-0909,5,세차
213,신도시주유소,고양시 일산서구 경의로 945 (덕이동),031-914-9059,5,세차(주유소)
214,벧엘사,고양시 일산동구 장대길 92 (장항동),031-908-0480,5,"출판,인쇄"
215,대한글라스텍,고양시 일산동구 문봉길 6-64 (문봉동),031-977-3464,5,비금속
216,이음피앤피,고양시 일산서구 이산포길 288 (법곳동),031-923-1920,5,"출판,인쇄"
217,위캔센터,고양시 덕양구 혜음로 276 (벽제동),031-969-3535,5,식품
218,원흥제2주유소,고양시 일산동구 성현로 533 (사리현동),,5,세차(주유소)
219,㈜원흥주유소,고양시 덕양구 서오릉로 712 (원흥동),031-963-5189,5,세차(주유소)
220,설문LPG충전소,고양시 일산동구 고봉로 855 (설문동),031-977-3381,5,세차(충전소)
221,케이씨모터스㈜일산지점,고양시 일산서구 멱절길 3 (법곳동),031-994-7009,5,세차(자동차수리업)
222,신우에너지㈜ 풍동충전소,고양시 일산동구 고양대로 1026 (식사동),031-966-0384,5,세차(충전소)
223,㈜코비인터네셔널,고양시 일산동구 은마길105번길 16 (설문동),031-977-5070,5,고무 및 플라스틱
224,(주)오토데이,고양시 일산동구 일산로 74-23 (백석동),031-905-8804,5,세차(자동차수리업)
225,명품손세차장,고양시 일산서구 일청로 52 (일산동),031-975-7444,5,세차
226,카-원스톱,고양시 일산서구 덕이로 72 (덕이동),031-919-8288,5,세차
227,대화현대손세차장,고양시 일산서구 대화로 33 (법곳동),031-911-3737,5,세차
228,백송손세차장,고양시 일산서구 덕이로 212 (덕이동),031-924-1002,5,세차
229,현재문화,"고양시 일산동구 장대길 106-26 (장항동), 다동",031-904-8999,5,"출판,인쇄"
230,가좌주유소,고양시 일산서구 송산로 406 (가좌동),031-923-8222,5,세차(주유소)
231,카킹덤 T.station,고양시 덕양구 화신로 150 (행신동),031-978-6300,5,세차(자동차수리업)
232,대륙,"고양시 덕양구 고골길116번길 14-45 (관산동), 가동",031-964-9159,5,세탁
233,안곡주유소,고양시 일산동구 고양대로 831 (중산동),031-977-0002,5,세차(주유소)
234,원당세차장,고양시 덕양구 호국로777번길 6 (주교동),031-968-9534,5,세차
235,신창카센타,고양시 덕양구 마상로140번길 27 (주교동),031-966-5242,5,세차
236,대림에너지㈜ 덕양제2주유소,고양시 일산서구 경의로 940 (덕이동),031-924-5192,5,세차(주유소)
237,대원카센타,고양시 덕양구 통일로768번길 32 (관산동),031-964-1145,5,세차
238,"맥과이어광택, 세차",고양시 일산서구 일중로15번길 7 (일산동),031-977-4848,5,세차
239,영진인쇄,고양시 덕양구 통이로 1170번길 135-41 (내유동),031-964-6772,5,"출판,인쇄"
240,새한금박인쇄,고양시 덕양구 통일로1170번길 135-35 (내유동),031-962-6739,5,"출판,인쇄"
241,신일산교통,고양시 일산동구 고봉로678번길 47 (설문동),031-977-6145,5,세차(운송)
242,㈜대호운수,고양시 일산동구 사리현로 12 (식사동),031-965-8401,5,세차(운송)
243,고양교통㈜,고양시 일산동구 무궁화로 385-11 (식사동),031-966-2480,5,세차(운송)
244,오이시관광㈜,고양시 일산동구 견달산로225번길 93 (식사동),031-966-8855,5,세차(운송)
245,더불어가스충전소,고양시 일산동구 고봉로 672 (성석동),,5,세차(충전소)
246,세경씨엔피,고양시 일산동구 문봉길 6-38 (문봉동),02-384-8352,5,"출판,인쇄"
247,(주)그린식품,고양시 일산동구 동국로 283-33 (문봉동),031-971-9799,5,식품
248,유일동판,고양시 일산동구 노첨길24번길 39(장항동),031-908-4877,5,"출판,인쇄"
249,풍년에너지,고양시 일산서구 덕이로 94(덕이동),031-923-6000,5,세차(주유소)
250,일급세차장,고양시 일산서구 경의로 828 (덕이동),031-919-8082,5,세차
251,신성종합인쇄,고양시 일산동구 장항로 121-10 (백석동),031-901-6880,5,"출판,인쇄"
252,㈜르노삼성일산정비사업소,고양시 일산서구 법곳길115번길 82-25 (법곳동),031-901-3855,5,세차(자동차수리업)
253,서대문구청,고양시 덕양구 대덕로 426 (현천동),02-330-1527,4,음식물처리시설
254,청룡오일뱅크,고양시 일산동구 백마로 590 (식사동),031-909-5151,5,세차(주유소)
255,문성원색,고양시 일산동구 장대길 128-27 (장항동),031-901-7021,5,"출판,인쇄"
256,㈜뷰애드,"고양시 일산동구 견달산로210번길 47-9 (식사동), 가동",031-965-1185,5,기타(화학)
257,㈜이수씨엔피,고양시 덕양구 덕은로 110 (덕은동),02-3159-9670,5,고무 및 플라스틱제품제조
258,㈜이안에너지,고양시 일산서구 덕이로 188 (덕이동),031-913-0100,5,세차(주유소)
259,예스주유소,고양시 일산동구 고봉로 847 (설문동),031-975-5188,5,세차(주유소)
260,월드세차장,고양시 덕양구 동헌로 468 (고양동),,5,세차
261,엠에스프린팅,"고양시 일산동구 장대길 42-76 (장항동), 마동",031-906-4111,5,"출판,인쇄"
262,구도일주유수 송포,고양시 일산서구 송산로 494 (덕이동),031-916-5189,5,세차(주유소)
263,깔끔이손세차장,고양시 일산서구 송산로 490 (덕이동),,5,세차
264,항공대주유소,고양시 덕양구 중앙로 171 (화전동),02-3158-0900,5,세차(주유소)
265,㈜블루에너지,고양시 일산서구 덕이로 299 (덕이동),031-906-7761,5,세차(주유소)
266,현대오일뱅크㈜ 직영 덕이주유소,고양시 일산서구 송산로 591 (덕이동),031-914-8363,5,세차(주유소)
267,금강유리제경,고양시 일산동구 장대길105번길 166 (장항동),031-906-6204,5,비금속
268,크린파크주유소,고양시 일산동구 성현로 78 (성석동),031-977-1966,5,세차(주유소)
269,구산주유소,고양시 일산서구 구산로 120 (구산동),031-921-5198,5,세차(주유소)
270,㈜휴세코 일산지점,고양시 일산서구 경의로 910 (덕이동),031-925-5199,4,세차(충전소)
271,목장주유소,고양시 덕양구 호국로 932 (성사동),031-967-8805,5,세차(주유소)
272,SK에너지㈜SKOILPOWER 주유소,고양시 일산동구 고양대로 834(중산동),031-911-5126,5,세차(주유소)
273,동원2주유소,고양시 덕양구 통일로 1180 (내유동),031-914-8363,5,세차(주유소)
274,행주내동주유소,고양시 덕양구 행주로 104 (행주내동),031-973-5151,5,세차(주유소)
275,서현운수㈜,고양시 덕양구 보광로 192-16 (벽제동),031-964-9283,5,세차(운송)
276,하늘주유소,고양시 덕양구 통일로 1096 (내유동),031-969-7587,5,세차(주유소)
277,㈜보명씨앤아이,"고양시 일산동구 장대길 42-113 (장항동), 다동",02-2274-4545,5,"출판,인쇄"
278,진주세차장,고양시 덕양구 고양대로1290번길 4 (주교동),,5,세차
279,중앙로주유소,고양시 덕양구 중앙로 113 (화전동),02-3158-2228,5,세차(주유소)
280,대창가구유리,고양시 일산동구 사리현로 30 (식사동),02-965-0672,5,비금속
281,㈜한국에이피,고양시 일산동구 장항로225번길 226 (장항동),031-902-5944,5,"출판,인쇄"
282,효자로주유소,고양시 덕양구 일영로 127 (지축동),02-371-2025,5,세차(주유소)
283,뉴타운충전소,고양시 덕양구 북한산로 633 (지축동),02-384-1216,5,세차(주유소)
284,대화교통,고양시 일산서구 대화로37번길 136 (법곳동),,5,세차(운송)
