업종,상영관명,연락처,상영관소재지(도로명)
영화상영관,(주)씨지브이 화정5관,,"경기도 고양시 덕양구 화중로104번길 28 (화정동,씨네마플러스 4/5/6층)"
영화상영관,(주)씨지브이 화정6관,031-966-9666,"경기도 고양시 덕양구 화중로104번길 28 (화정동,씨네마플러스 4/5/6층)"
영화상영관,(주)씨지브이 화정7관,031-966-9666,"경기도 고양시 덕양구 화중로104번길 28 (화정동,씨네마플러스 4/5/6층)"
영화상영관,(주)씨지브이 화정8관,031-966-9666,"경기도 고양시 덕양구 화중로104번길 28 (화정동,씨네마플러스 4/5/6층)"
영화상영관,CGV일산(1관),031-931-6600,"경기도 고양시 일산동구 정발산로 24, 10층 (장항동, 웨스턴돔 3층 CGV 일산)"
영화상영관,CGV일산(2관),031-931-6600,"경기도 고양시 일산동구 정발산로 24, 10층 (장항동, 웨스턴돔 3층 CGV 일산)"
영화상영관,CGV일산(3관),,"경기도 고양시 일산동구 정발산로 24, 10층 (장항동, 웨스턴돔 3층 CGV 일산)"
영화상영관,CGV일산(4관),,"경기도 고양시 일산동구 정발산로 24, 10층 (장항동, 웨스턴돔 3층 CGV 일산)"
영화상영관,CGV일산(5관),,"경기도 고양시 일산동구 정발산로 24, 10층 (장항동, 웨스턴돔 3층 CGV 일산)"
영화상영관,CGV일산(6관),,"경기도 고양시 일산동구 정발산로 24, 10층 (장항동, 웨스턴돔 3층 CGV 일산)"
영화상영관,CGV일산(7관),,"경기도 고양시 일산동구 정발산로 24, 10층 (장항동, 웨스턴돔 3층 CGV 일산)"
영화상영관,CGV일산(8관),,"경기도 고양시 일산동구 정발산로 24, 10층 (장항동, 웨스턴돔 3층 CGV 일산)"
영화상영관,CGV일산(IMAX관),,"경기도 고양시 일산동구 정발산로 24, 10층 (장항동, 웨스턴돔 3층 CGV 일산)"
영화상영관,메가박스일산 1관,914-5580,"경기도 고양시 일산서구 덕이로 20 (덕이동,가동)"
영화상영관,메가박스일산 2관,031-914-5580,"경기도 고양시 일산서구 덕이로 20, 가동 (덕이동)"
영화상영관,메가박스일산 3관,031-914-5580,"경기도 고양시 일산서구 덕이로 20, 가동 (덕이동)"
영화상영관,메가박스일산 4관,031-914-5580,경기도 고양시 일산서구 덕이로 24 (덕이동)
영화상영관,메가박스일산 5관,031-914-5580,경기도 고양시 일산서구 덕이로 24 (덕이동)
영화상영관,메가박스일산 6관,031-914-5580,경기도 고양시 일산서구 덕이로 30-8 (덕이동)
영화상영관,메가박스일산 7관,031-914-5580,경기도 고양시 일산서구 덕이로 30-8 (덕이동)
영화상영관,메가박스일산 8관(FS관),031-914-5580,경기도 고양시 일산서구 덕이로 30-8 (덕이동)
영화상영관,메가박스중앙(주)킨텍스지점 The First Club,070-7016-3801,"경기도 고양시 일산서구 호수로 817 (대화동, 레이킨스 몰 3층)"
영화상영관,메가박스중앙(주)킨텍스지점 COMFORT 1관,031-929-2604,"경기도 고양시 일산서구 호수로 817 (대화동, 레이킨스 몰 3층)"
영화상영관,메가박스중앙(주)킨텍스지점 8관,031-929-2603,"경기도 고양시 일산서구 호수로 817 (대화동,레이킨스 몰 3층)"
영화상영관,메가박스중앙(주)킨텍스지점 7관,031-929-2608,"경기도 고양시 일산서구 호수로 817 (대화동,레이킨스 몰 3층)"
영화상영관,메가박스중앙(주)킨텍스지점 6관,031-929-2603,"경기도 고양시 일산서구 호수로 817 (대화동,레이킨스 몰 3층)"
영화상영관,메가박스중앙(주)킨텍스지점 5관,031-929-2603,"경기도 고양시 일산서구 호수로 817 (대화동,레이킨스 몰 3층)"
영화상영관,메가박스중앙(주)킨텍스지점 4관,031-929-2603,"경기도 고양시 일산서구 호수로 817 (대화동,레이킨스 몰 3층)"
영화상영관,메가박스중앙(주)킨텍스지점 COMFORT 3관,031-929-2603,"경기도 고양시 일산서구 호수로 817 (대화동,레이킨스 몰 3층)"
영화상영관,메가박스 중앙(주) 백석지점(2관),070-7016-3451,경기도 고양시 일산동구 중앙로 1036 (백석동)
영화상영관,메가박스 중앙(주) 백석지점(COMFORT4관),070-7016-3451,경기도 고양시 일산동구 중앙로 1036 (백석동)
영화상영관,메가박스 중앙(주) 백석지점(3관),070-7016-3451,경기도 고양시 일산동구 중앙로 1036 (백석동)
영화상영관,메가박스 중앙(주) 백석지점(COMFORT 6관),070-7016-3451,경기도 고양시 일산동구 중앙로 1036 (백석동)
영화상영관,메가박스 중앙(주) 백석지점(8관),070-7016-3451,경기도 고양시 일산동구 중앙로 1036 (백석동)
영화상영관,메가박스 중앙(주) 백석지점(1관),070-7016-3454,경기도 고양시 일산동구 중앙로 1036 (백석동)
영화상영관,메가박스 중앙(주) 백석지점(7관),070-7016-3451,경기도 고양시 일산동구 중앙로 1036 (백석동)
영화상영관,메가박스 중앙(주) 더 부티크 일산벨라시타지점 101호,070-8789-7845,"경기도 고양시 일산동구 강송로 33, 1,2층 (백석동, 일산요진와이시티)"
영화상영관,메가박스 중앙(주) 더 부티크 일산벨라시타지점 102호,070-8789-7845,"경기도 고양시 일산동구 강송로 33, 1,2층 (백석동, 일산요진와이시티)"
영화상영관,메가박스 중앙(주) 더 부티크 일산벨라시타지점 103호,,"경기도 고양시 일산동구 강송로 33, 1,2층 (백석동, 일산요진와이시티)"
영화상영관,메가박스 중앙(주) 더 부티크 일산벨라시타지점 104호,070-8789-7845,"경기도 고양시 일산동구 강송로 33, 1,2층 (백석동, 일산요진와이시티)"
영화상영관,메가박스 중앙(주) 더 부티크 일산벨라시타지점 105호,070-8789-7845,"경기도 고양시 일산동구 강송로 33, 1,2층 (백석동, 일산요진와이시티)"
영화상영관,메가박스중앙(주) 고양스타필드지점 8관,,"경기도 고양시 덕양구 고양대로 1955, 4,5층 (동산동, 스타필드고양)"
영화상영관,메가박스중앙(주) 고양스타필드지점 1관,,"경기도 고양시 덕양구 고양대로 1955, 4,5층 (동산동, 스타필드고양)"
영화상영관,메가박스중앙(주) 고양스타필드지점 7관,,"경기도 고양시 덕양구 고양대로 1955, 4,5층 (동산동, 스타필드고양)"
영화상영관,메가박스중앙(주) 고양스타필드지점 MX관,,"경기도 고양시 덕양구 고양대로 1955, 4,5층 (동산동, 스타필드고양)"
영화상영관,메가박스중앙(주) 고양스타필드지점 2관,,"경기도 고양시 덕양구 고양대로 1955, 4,5층 (동산동, 스타필드고양)"
영화상영관,메가박스중앙(주) 고양스타필드지점 9관,1544-0070,"경기도 고양시 덕양구 고양대로 1955, 4,5층 (동산동, 스타필드고양)"
영화상영관,메가박스중앙(주) 고양스타필드지점 3관,,"경기도 고양시 덕양구 고양대로 1955, 4,5층 (동산동, 스타필드고양)"
영화상영관,메가박스중앙(주) 고양스타필드지점 4관,,"경기도 고양시 덕양구 고양대로 1955, 4,5층 (동산동, 스타필드고양)"
영화상영관,메가박스중앙(주)고양스타필드지점 5관,,"경기도 고양시 덕양구 고양대로 1955, 4,5층 (동산동, 스타필드고양)"
