순번,업체명,운송사업 분류,주사무소,전화번호,팩스번호
,㈜다운,특수여객,"경기도 고양시 일산동구 지영동 382-16, 1층일부",070-8953-9783,02-6455-4445
,㈜대산장묘,특수여객,경기도 고양시 일산동구 진밭로 45번길 28,031-961-9430,031-901-9912
,동일특수여객,특수여객,"경기도 고양시 덕양구 성신로 22, 8층 5호(화정동,백년프라자) ",,0504-083-9740
,(주)명진장묘,특수여객,경기도 고양시 덕양구 고양대로 1238,,031-919-8207
,선진특수,특수여객,경기도 고양시 일산동구 강석로 145(마두동 축협빌딩2층3호),,02-381-4931
,성모특수,특수여객,"경기도 고양시 일산동구 무궁화로 32-12, E동 401호",,
,㈜영진장의개발,특수여객,"경기도 고양시 일산동구 강석로 145, 203호",,031-911-4884
,월드장의차,특수여객,경기도 고양시 일산동구 숲속마을1로 48번길 33,,031-904-4582
,진명특수여객,특수여객,경기도 고양시 일산동구 강석로 145,,070-7565-8944
,태양특수여객,특수여객,"경기도 고양시 일산동구 장백로 194, 805호 다온비즈니스센터",031-973-0624,031-974-0624
,명진특수,특수여객,경기도 고양시 덕양구 대자동 278-1,031-926-0265,031-962-3631
,㈜나래장묘,특수여객,경기도 고양시 일산동구 식사동 268-42외 3필지,031-926-0265,031-904-0106
,그린장묘,특수여객,"경기도 고양시 일산동구 강석로 145, 203호(207호실)",031-904-4462,031-944-0472
,동행특수장의,특수여객,"경기도 고양시 일산동구 강석로 145, 203호(206호실)",,031-963-7210
,㈜코리아서비스마스터,특수여객,"경기도 고양시 덕양구 보광로 106번길 42, 2층 일부",031-967-2237,031-964-7569
,삼성특수여객,특수여객,경기도 고양시 일산동구 호수로 646-24 2층 209-31호,,
,㈜주영특수여객,특수여객,"경기도 고양시 일산동구 무궁화로 11, 한라빌라트 B동 919호",,031-766-5651
,㈜산성특수여객,특수여객,"경기도 고양시 일산동구 강석로 145, 2층 3호",,
,㈜재경,특수여객,경기도 고양시 덕양구 대자동 294-5번지 나동,031-966-9930,031-966-9931
,㈜삼손특수,특수여객,"경기도 고양시 덕양구 보광로 184, 2층 202호",031-965-9430,031-964-9431
,㈜제이씨아이,특수여객,경기도 고양시 덕양구 보광로 184,031-965-9430,031-964-9431
,㈜대산장의,특수여객,경기도 고양시 일산동구 진밭로45번길 28(성석동),031-905-9430,031-901-9912
