순번,구분,업체명,주소,연락처,비고
20,주사무소,(주)어썸렌터카,"경기도 고양시 일산동구 호수로 662, 203호",031-932-1381,
21,주사무소,그린렌트카㈜,"경기도 고양시 일산동구 고양대로 881, 1층",031-941-5432,
22,영업소,㈜금강렌터카,경기도 고양시 일산서구 일산동 1050,,
23,영업소,(유)베스트렌트카,"경기도 고양시 일산동구 백마로 195, 지하 B-B1193호(장항동)",053-587-7770,
24,영업소,㈜뉴스마일렌트카,"경기도 고양시 덕양구 화정로 65, 106호(화정동, 오벨리스크)",,
25,영업소,㈜뉴스마트,"경기도 고양시 일산동구 일산로 213, 1층 114호(마두동)",02-2677-1310,
26,영업소,㈜동아월드렌트카,"경기도 고양시 일산서구 주엽동 6 문촌마을5단지상가동 107호, 112호",,
27,영업소,㈜렌트114,경기도 고양시 일산서구 대화동 2226 우리프라자 801호,,
28,영업소,롯데렌탈㈜,"경기도 고양시 일산서구 중앙로 1542, 1층(대화동)",080-2000-3000,
29,영업소,㈜래디우스랩,"경기도 고양시 덕양구 오금2로 26 고양신원2단지고양시 덕양구 세솔로 149고양시 덕양구 권율대로 726(원흥동, 삼송마을14단지 관리사무소)고양시 덕양구 오금7로 (신원동, 신원마을3단지 관리사무소)",,
30,영업소,㈜렌트카전당,"경기도 고양시 일산서구 주화로 210, 우리프라자 603호",031-925-9983,
31,영업소,㈜브이카,"경기도 고양시 일산동구 백석동 1318-4외 비잔티움일산2단지 811호고양시 일산동구 장항동 750-1 대우메종리브르 1015호고양시 일산서구 대화동 2207, 이마파킹프라자 301호고양시 일산동구 장항동 771-1 1322호",02-468-6245,
32,영업소,㈜세진렌트카,경기도 고양시 일산동구 장항로 387-4(장항동),,
33,영업소,㈜쏘카,경기도 고양시 덕양구 화정동 1147 글로벌테마프라자 501호,,
34,영업소,㈜에스에스렌트카,경기도 고양시 일산동구 백석동 1239 417호,031-511-0550,
35,영업소,㈜에스엔비오토,"경기도 고양시 일산동구 경의로 25-37, 201-705호(백석동, 굿모닝힐2차)",,
36,영업소,에이제이렌터카㈜,"경기도 고양시 일산동구 정발산로 38, 504-1호",02-6240-0529,
37,영업소,㈜오토핸즈마이렌터카,"경기도 고양시 일산서구 경의로 892, 3층(덕이동)",031-293-1696,
38,영업소,㈜오케이렌터카,"경기도 고양시 일산동구 경의로 29, 3층(르노삼성자동차일산지점)",031-901-2245,
39,영업소,㈜온누리렌터카,경기도 고양시 덕양구 화정동 972 영프라자 515호,031-679-0440,
40,영업소,㈜우리렌트카,경기도 고양시 일산동구 장항동 734 삼라마이다스 3차 304호,02-2697-0041,
41,영업소,우리캐피탈렌트카㈜,경기도 고양시 일산서구 탄중로 137(덕이동),032-508-4910,
42,영업소,유로렌트카㈜,경기도 고양시 덕양구 내유동 431-37,,
43,영업소,㈜월드렌트카,"경기도 고양시 일산서구 중앙로 1406, 203호(주엽동, 한솔코아)",,
44,영업소,인모션㈜,경기도 고양시 덕양구 화정동 118-15,1544-8216,
45,영업소,자유로운수,"경기도 고양시 일산동구 중앙로 1130, 상가동 씨2층42호",02-6455-5797,
46,영업소,㈜제이디렌트카,경기도 고양시 덕양구 화정동 908 코스미온빌 제2층 206호,1588-3410,
47,영업소,㈜진성렌트카,경기도 고양시 일산서구 주엽동 75 한양상가 에이동 2층 14호,,
48,영업소,㈜참신렌트카,"경기도 고양시 일산서구 중앙로 1406, 202호(주엽동, 한솔코아)",031-925-9997,
49,영업소,㈜케이렌트카,경기도 고양시 덕양구 호국로 1702-2,,
50,영업소,㈜케이렌트카,"경기도 고양시 고풍로43번길 36-14, 102호(풍동)",031-907-1544,
51,영업소,케이알렌트카,경기도 고양시 일산서구 주엽동 18-1 동문시티프라자 212호,,
52,영업소,㈜플레이렌트카,"경기도 고양시 일산서구 정발산로 47, 215호-2(장항동, 웅신아트)",031-924-9988,
53,영업소,㈜하나로써비스,경기도 고양시 일산서구 대화동 2223 삼운트루아 3층 307호,,
54,영업소,하나로오토렌트카(유),"경기도 고양시 덕양구 화중로104번길 28, 205호(화정동, 화정씨네마플러스)",031-978-9944,
55,영업소,하나렌트카,"경기도 고양시 일산동구 식사동 1173, 1층",,
56,영업소,㈜하나렌터카,경기도 고양시 일산동구 호수로430번길 73-8,032-675-1471,
57,영업소,㈜한송이렌트카,경기도 고양시 일산서구 일산동 612-34,032-433-1553,
58,영업소,화렌트카(주),경기도 고양시 일산동구 백석동 1422-2 1층 우측,031-908-0203,
59,영업소,㈜행운렌트카,경기도 고양시 일산동구 백석동 1321 동문굿모닝힐2차 203-445고양시 일산동구 견달산로 178-55(식사동),032-563-4972,
60,영업소,㈜대상렌트카,"경기도 고양시 덕양구 화정동 973 요진타워 7층 719호고양시 일산서구 주화로 210 우리프라자 601호(대화동)고양시 일산서구 중앙로 1406, 한솔코아 203호(주엽동)",031-679-0850,
61,영업소,㈜에스에이치오토렌탈,"경기도 고양시 일산동구 장백로 19, 717호(백석동, 더루벤스카운티)",031-932-0961,
62,영업소,SK네트웍스 ㈜SK렌터카,"경기도 고양시 일산서구 킨텍스로 217-60, 킨텍스 제1전시장 5B호 1층, 2층",031-813-7901,
