"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41285-00005,강촌,근린공원,경기도 고양시 일산동구 강석로 132-1,경기도 고양시 일산동구 마두동 791,37.6533323978,126.7810761142,38777,다목적운동장+체력단련시설,,화장실,작은도서관,,1990-03-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00009,원흥근린2(도래울의장대),근린공원,경기도 고양시 덕양구 도내동 1078,경기도 고양시 덕양구 도내동 1078,37.6294196816,126.8705242137,13068,,,,,,2009-09-28,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00010,원흥근린3(도래울의장대),근린공원,경기도 고양시 덕양구 의장로 45-1,경기도 고양시 덕양구 도내동 1101,37.6278473687,126.8735353652,29305,,,주차장+화장실,,,2009-09-28,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00018,고양생태,근린공원,경기도 고양시 일산서구 대화로 315,경기도 고양시 일산서구 대화동 2330,37.6839489582,126.7441279371,56712,,,,생태교육학습센터,,2013-03-15,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00011,원흥지구수변공원(도래울바람물),수변공원,경기도 고양시 덕양구 도내동 980,경기도 고양시 덕양구 도내동 980,37.6292007593,126.8750425441,77416,,,,,,2009-09-28,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00019,고양피크닉시민공원,근린공원,경기도 고양시 일산서구 대화로 355,경기도 고양시 일산서구 대화동 2337,37.6853605403,126.7486216166,18125,게이트볼장+족구장+체력단련시설,조합놀이대 등 2종 3개,,,피크닉장,2013-03-15,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00012,원흥근린1(도래울석탄)(원흥보금자리),근린공원,경기도 고양시 덕양구 도래울1로 29,경기도 고양시 덕양구 도내동 996,37.6297314006,126.8662456282,125068,체력단련시설,,화장실,,,2009-09-28,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00013,삼송어린이3(동산),어린이공원,경기도 고양시 덕양구 동산동 349,경기도 고양시 덕양구 동산동 349,37.6433313439,126.8847049937,2026,,조합놀이대 등,,,,2006-12-11,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00014,삼송근린4(동산꽃맞이/밥할머니),근린공원,경기도 고양시 덕양구 동산동 363,경기도 고양시 덕양구 동산동 363,37.6453969892,126.8882474230,151741,풋살장+인라인스케이트장+게이트볼장+농구장+다목적운동장+배드민턴장+파크골프장+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00023,국제전시2단계(제1호문화공원),문화공원,경기도 고양시 일산서구 대화동 2718,경기도 고양시 일산서구 대화동 2718,37.6668142693,126.7433150917,7524,,,,,,2009-07-03,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00022,국제전시2단계(제1호체육공원),체육공원,경기도 고양시 일산서구 대화동 2708,경기도 고양시 일산서구 대화동 2708,37.6639895552,126.7363858228,25374,풋살구장+농구장+체력단련시설,,,,,2007-07-13,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00015,공원(벽제목암지구),어린이공원,경기도 고양시 덕양구 벽제동 377,경기도 고양시 덕양구 벽제동 377,37.71435169,126.9090894,1516,,,,,,2014-12-09,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00002,국제전시장,근린공원,경기도 고양시 일산서구 한류월드로 280,경기도 고양시 일산서구 대화동 1050-176,37.6650109160,126.7562749221,52346,체력단련시설,,,,,2003-04-21,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00016,공원(벽제목암지구),근린공원,경기도 고양시 덕양구 호국로1873번길 57-10,경기도 고양시 덕양구 벽제동 78-3,37.7191112785,126.9111906813,25164,,,,,,2014-12-09,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00017,삼송소공원2,소공원,,경기도 고양시 덕양구 삼송동 303-11,37.65332905,126.888338,1329,,,,,,2007-11-16,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00018,삼송소공원1,소공원,경기도 고양시 덕양구 삼송동 315-3,경기도 고양시 덕양구 삼송동 315-3,37.6514423584,126.8895082,703,,,,,,2007-11-16,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00019,삼송근린3(세솔),근린공원,경기도 고양시 덕양구 덕수천1로 73,경기도 고양시 덕양구 삼송동 321,37.6488627072,126.8848538918,88918,게이트볼장+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00020,삼송근린1(송현),근린공원,,경기도 고양시 덕양구 삼송동 334,37.64871399,126.8774217,28536,체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00021,삼송근린2(덕수),근린공원,경기도 고양시 덕양구 덕수천1로 26,경기도 고양시 덕양구 삼송동 339,37.6467677856,126.8801932158,213476,농구장+야외배드민턴장+인라인스케이트장+실내배드민턴장+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00022,삼송어린이2(달걀부리),어린이공원,경기도 고양시 덕양구 삼원로3길 70,경기도 고양시 덕양구 삼송동 369,37.6419596938,126.8762715410,2159,,조합놀이대 등,,,,2006-12-11,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41285-00034,낙민,근린공원,경기도 고양시 일산동구 장항동 873,경기도 고양시 일산동구 장항동 873,37.65071295,126.7745288248,19630,체력단련시설,,화장실,,,1990-03-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00017,농업체험,근린공원,경기도 고양시 일산서구 대수길 31-5,경기도 고양시 일산서구 대화동 2316,37.6747327543,126.7387386,29812,체력단련시설,,,,,2013-03-15,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00023,성라,근린공원,경기도 고양시 덕양구 고양대로1432번길 114,경기도 고양시 덕양구 성사동 267,37.6492107459,126.8456416913,571838,체력단련시설,,,,,1971-09-27,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00069,달맞이,근린공원,경기도 고양시 일산동구 풍동 1228,경기도 고양시 일산동구 풍동 1228,37.6747713262,126.8026065264,37676,체력단련시설,,,,,2001-05-03,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00024,성사 1(어울림),어린이공원,경기도 고양시 덕양구 호국로 746,경기도 고양시 덕양구 성사동 728,37.6535149766,126.8332304,1500,,조합놀이대 등,화장실,,,1990-02-01,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00011,대화,근린공원,경기도 고양시 일산서구 강성로 203,경기도 고양시 일산서구 대화동 2201,37.6742656,126.7538960967,45798,체력단련시설,,,,,2001-10-19,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00027,덕이근린1(덕이),근린공원,경기도 고양시 일산서구 덕이동 1533,경기도 고양시 일산서구 덕이동 1533,37.70303666,126.7545455,45701,풋살구장+농구장+족구장+실내배드민턴장+체력단련시설,조합놀이대 등 2종 4개,,,,2006-01-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00028,덕이근린2(한산),근린공원,경기도 고양시 일산서구 하이파크3로 51,경기도 고양시 일산서구 덕이동 1613,37.6959094726,126.7521780816,18852,체력단련시설,,,,,2006-01-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00025,성사 2(별모래),어린이공원,경기도 고양시 덕양구 고양대로1384번길 46,경기도 고양시 덕양구 성사동 729,37.6521540562,126.8367921183,1500,,조합놀이대 등,화장실,,,1990-02-01,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00026,성사 3(성라어린이),어린이공원,경기도 고양시 덕양구 호국로716번길 13-14,경기도 고양시 덕양구 성사동 735,37.65152384,126.8332572,1500,,조합놀이대 등,화장실,,,1990-02-01,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00027,원당2,소공원,경기도 고양시 덕양구 성사동 863,경기도 고양시 덕양구 성사동 863,37.6606482273,126.8412200036,748,,,,,,2006-01-16,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00028,원당1,어린이공원,경기도 고양시 덕양구 성사동 865,경기도 고양시 덕양구 성사동 865,37.6586858356,126.8417294,4406,,조합놀이대 등,,,,2006-01-16,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00029,자전거,체육공원,경기도 고양시 덕양구 성사동 산32-7,경기도 고양시 덕양구 성사동 산32-7,37.6624384636,126.8449287,114222,체력단련시설,,,,,1991-09-27,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00029,덕이동,역사공원,경기도 고양시 일산서구 경의로 849,경기도 고양시 일산서구 덕이동 265,37.6932890589,126.7589489214,17019,,,,,,2008-10-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00030,삼송근린5(송강이야기),근린공원,경기도 고양시 덕양구 신원동 596,경기도 고양시 덕양구 신원동 596,37.6667961998,126.8813217197,38825,체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00031,삼송근린6(조관),근린공원,경기도 고양시 덕양구 신원2로 24,경기도 고양시 덕양구 신원동 607,37.6663828522,126.8863592087,14983,체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00032,삼송근린7(신원),근린공원,경기도 고양시 덕양구 신원동 610,경기도 고양시 덕양구 신원동 610,37.66771024,126.8901407,16343,멀티코트+체력단련시설,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00033,삼송어린이1(한우물),어린이공원,경기도 고양시 덕양구 신원동 646,경기도 고양시 덕양구 신원동 646,37.6615339739,126.8882021749,1690,,조합놀이대 등,,,,2006-12-11,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00016,레포츠,체육공원,경기도 고양시 일산서구 대화동 2314,경기도 고양시 일산서구 대화동 2314,37.6700714031,126.7370170502,45798,축구장+게이트볼장+농구장+인라인스케이트장+테니스장+실내배드민턴장+체력단련시설,조합놀이대 등 5종 6개,,,,2002-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00034,삼송근린8(한우물숲길),근린공원,경기도 고양시 덕양구 신원동 665,경기도 고양시 덕양구 신원동 665,37.65932929,126.8881134,151305,,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00035,삼송근린9(오금),근린공원,경기도 고양시 덕양구 오금동 625,경기도 고양시 덕양구 오금동 625,37.65974077,126.9048063,41982,,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00036,삼송근린10(소청),근린공원,경기도 고양시 덕양구 오금동 669,경기도 고양시 덕양구 오금동 669,37.65963708,126.9103053672,13913,,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00037,삼송근린11(오금상촌),근린공원,경기도 고양시 덕양구 오금로 240,경기도 고양시 덕양구 오금동 679,37.6630724204,126.9188102324,12531,,,,,,2006-12-11,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00038,삼송근린12(당고개),근린공원,경기도 고양시 덕양구 오금동 산107-1,경기도 고양시 덕양구 오금동 산107-1,37.66216438,126.9048144,12328,,,,,,2009-06-04,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00039,원흥지구 소공원,소공원,경기도 고양시 덕양구 원흥동 294-2,경기도 고양시 덕양구 원흥동 294-2,37.6372474,126.8716742,2681,,,,,,2009-09-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00040,삼송소공원5,소공원,경기도 고양시 덕양구 원흥동 609,경기도 고양시 덕양구 원흥동 609,37.65140979,126.8710904344,788,,,,,,2011-10-10,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00041,삼송소공원3,소공원,경기도 고양시 덕양구 원흥동 622-3,경기도 고양시 덕양구 원흥동 622-3,37.64860604,126.8693653,2347,,,,,,2010-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00042,어린이공원1(고운)(원흥보금자리),어린이공원,경기도 고양시 덕양구 원흥동 740,경기도 고양시 덕양구 원흥동 740,37.6362392796,126.8740666,2037,,조합놀이대 등,,,,2009-09-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41285-00003,마두,근린공원,경기도 고양시 일산동구 마두동 780,경기도 고양시 일산동구 마두동 780,37.6550131111,126.7852816927,43142,체력단련시설,,화장실,,,1990-03-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00043,배다리,어린이공원,경기도 고양시 덕양구 마상로 51,경기도 고양시 덕양구 주교동 296,37.6625337474,126.8294252484,4514,풋살구장,조합놀이대 등,화장실,,,2013-03-15,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00044,마상,근린공원,경기도 고양시 덕양구 원당로69번길 46,경기도 고양시 덕양구 주교동 313-16,37.6601494858,126.8330165277,110612,국궁장+다목적운동장+농구장+실내배드민턴장+게이트볼장+체력단련시설,,,,,1971-09-27,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00065,모당,근린공원,경기도 고양시 일산동구 중산동 1832,경기도 고양시 일산동구 중산동 1832,37.67785245,126.7804635,17238,,,,,,2015-06-30,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00045,주교 1,어린이공원,경기도 고양시 덕양구 주교동 610,경기도 고양시 덕양구 주교동 610,37.65635454,126.8343115,1500,,,,,,1981-05-13,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00046,주교 3,어린이공원,경기도 고양시 덕양구 마상로140번길 38,경기도 고양시 덕양구 주교동 619-3,37.65805134,126.8366476491,1500,,조합놀이대 등,,,,1981-05-13,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00047,주교 2,어린이공원,경기도 고양시 덕양구 호국로790번길 42-9,경기도 고양시 덕양구 성사동 705,37.6549634052,126.8381639907,1500,,조합놀이대 등,,,,1981-05-13,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00048,주공1,어린이공원,경기도 고양시 덕양구 주교동 873,경기도 고양시 덕양구 주교동 873,37.66043424,126.8210426,1943,,조합놀이대 등,,,,2006-05-29,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00046,문화,근린공원,경기도 고양시 일산서구 주엽동 77,경기도 고양시 일산서구 주엽동 77,37.6753756666,126.7648512,40373,체력단련시설,,,,,1995-03-27,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00049,지도,근린공원,경기도 고양시 덕양구 토당동 3-39,경기도 고양시 덕양구 토당동 3-39,37.6239793876,126.8266860169,173813,야외배드민턴장+축구장+테니스장+농구장+게이트볼장+실내배드민턴장+체력단련시설,,,,,1971-09-27,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00050,토당 1,어린이공원,경기도 고양시 덕양구 호수로 26-66,경기도 고양시 덕양구 토당동 830,37.6301805855,126.8123612458,1500,,조합놀이대 등,화장실,,,1986-12-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00051,토당 2,어린이공원,경기도 고양시 덕양구 지도로104번길 14-16,경기도 고양시 덕양구 토당동 847,37.6261421168,126.8250995740,1500,,조합놀이대 등,,,,1986-12-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00052,토당 3,어린이공원,경기도 고양시 덕양구 토당동 862-3,경기도 고양시 덕양구 토당동 862-3,37.6191244519,126.8233415516,1500,,조합놀이대 등,,,,1986-12-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41285-00017,문화공원(요진Y-City),문화공원,경기도 고양시 일산동구 백석동 1237-1,경기도 고양시 일산동구 백석동 1237-1,37.6433655862,126.7920515329,5742,,,,,,2010-02-02,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00053,토당 4,어린이공원,경기도 고양시 덕양구 토당동 874-2,경기도 고양시 덕양구 토당동 874-2,37.6207861468,126.8260049538,1500,,조합놀이대 등,,,,1986-12-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00054,토당 5,어린이공원,경기도 고양시 덕양구 지도로26번길 22,경기도 고양시 덕양구 토당동 884-6,37.6189244650,126.8258096914,1498,,조합놀이대 등,,,,1986-12-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00055,토당 6,어린이공원,경기도 고양시 덕양구 토당동 885-6,경기도 고양시 덕양구 토당동 885-6,37.6185016014,126.8263220726,1500,,조합놀이대 등,,,,1986-12-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00056,밤나무공원,어린이공원,경기도 고양시 덕양구 행신동 1068-1,경기도 고양시 덕양구 행신동 1068-1,37.6209096937,126.8525053605,6726,,조합놀이대 등,,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00020,문화공원1,문화공원,경기도 고양시 일산서구 대화동 2600-1,경기도 고양시 일산서구 대화동 2600-1,37.6685758444,126.7416035,8587,,,,,,2009-06-26,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00057,햇살공원,어린이공원,경기도 고양시 덕양구 행신로 278,경기도 고양시 덕양구 행신동 1074-1,37.61977212,126.8450411768,1570,,조합놀이대 등,화장실,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00058,서정나루공원,어린이공원,경기도 고양시 덕양구 행신동 1088-1,경기도 고양시 덕양구 행신동 1088-1,37.61471947,126.8465358,1512,,조합놀이대 등,,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00021,문화공원2,문화공원,경기도 고양시 일산서구 대화동 2600-2,경기도 고양시 일산서구 대화동 2600-2,37.6674254198,126.7442697906,21264,,,,,,2009-06-26,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00059,행신나루,근린공원,"경기도 고양시 덕양구 행신동 1089,1089-1","경기도 고양시 덕양구 행신동 1089,1089-1",37.6149045192,126.8476129532,11139,,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00060,서두물,근린공원,경기도 고양시 덕양구 행신동 1092-1,경기도 고양시 덕양구 행신동 1092-1,37.6180654726,126.8511698044,16811,,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00061,서정어린이공원,어린이공원,경기도 고양시 덕양구 행신동 1096-1,경기도 고양시 덕양구 행신동 1096-1,37.6149544199,126.8488531590,1508,,조합놀이대 등,,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00062,서두나루,근린공원,경기도 고양시 덕양구 행신동 1098-1,경기도 고양시 덕양구 행신동 1098-1,37.6146962366,126.8482893506,11615,,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00001,백마,근린공원,경기도 고양시 일산동구 마두동 725,경기도 고양시 일산동구 마두동 725,37.6570203128,126.7913258,20490,체력단련시설,,화장실,,,1990-03-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00063,서두마루공원,어린이공원,경기도 고양시 덕양구 서정로 38,경기도 고양시 덕양구 행신동 1101-1,37.6183351930,126.8536524630,1533,,조합놀이대 등,화장실,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00064,작은봉화공원,어린이공원,경기도 고양시 덕양구 소원로 260,경기도 고양시 덕양구 행신동 1110,37.6141226158,126.8511236474,6698,,조합놀이대 등,화장실,,,2003-10-31,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41285-00016,백석,근린공원,경기도 고양시 일산동구 백석동 1233,경기도 고양시 일산동구 백석동 1233,37.64546187,126.7953500928,157982,축구장+실내배드민턴장+체력단련시설,,주차장+화장실,,,1990-03-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00065,주택재개발(195호),어린이공원,경기도 고양시 덕양구 행신동 633-98,경기도 고양시 덕양구 행신동 633-98,37.62080644,126.8310396076,764,,조합놀이대 등,,,,2006-01-23,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00066,행신 1(번데미),어린이공원,경기도 고양시 덕양구 소원로 11,경기도 고양시 덕양구 행신동 694,37.61724568,126.8298322948,1514,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00067,번데미,근린공원,경기도 고양시 덕양구 행신동 698,경기도 고양시 덕양구 행신동 698,37.6162998891,126.8299046443,14950,야외배드민턴장+체력단련시설,,,,,1990-12-08,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00068,행신 2(장고뫼),어린이공원,경기도 고양시 덕양구 소원로 45,경기도 고양시 덕양구 행신동 701,37.6139405747,126.8310223000,1500,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00069,행신 3(무원),어린이공원,경기도 고양시 덕양구 무원로 56,경기도 고양시 덕양구 행신동 734,37.6179434436,126.8327666285,1486,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00070,행신 4(용마루),어린이공원,경기도 고양시 덕양구 용현로 37,경기도 고양시 덕양구 행신동 755,37.6160194041,126.8356659904,1689,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00071,행신 6(용현),어린이공원,경기도 고양시 덕양구 용현로 16,경기도 고양시 덕양구 행신동 768,37.6142344410,126.8375410113,1501,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00072,차장,근린공원,경기도 고양시 덕양구 행신동 772,경기도 고양시 덕양구 행신동 772,37.6161852328,126.8365228455,13786,다목적운동장+체력단련시설,,,,,1990-12-08,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00073,행신 5(행신),어린이공원,경기도 고양시 덕양구 행신로 196,경기도 고양시 덕양구 행신동 775,37.6182266551,126.8368436539,1851,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00074,행신 7(소만),어린이공원,경기도 고양시 덕양구 화신로 42,경기도 고양시 덕양구 행신동 782,37.6165268621,126.8404084434,1501,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00075,행신 8(화신),어린이공원,경기도 고양시 덕양구 화신로 16,경기도 고양시 덕양구 행신동 786,37.61405336,126.8402054027,1500,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00076,행신 9(행복),어린이공원,경기도 고양시 덕양구 소만로 42,경기도 고양시 덕양구 행신동 792,37.61677906,126.8438132,1500,,조합놀이대 등,화장실,,,1990-12-08,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00077,가라뫼,근린공원,경기도 고양시 덕양구 행신동 800,경기도 고양시 덕양구 행신동 800,37.61471614,126.8442297867,10682,다목적운동장+체력단련시설,,,,,1990-12-08,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00078,밤나무(능곡),어린이공원,경기도 고양시 덕양구 행신동 898,경기도 고양시 덕양구 행신동 898,37.6280431054,126.8385337418,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00079,자작나무,어린이공원,경기도 고양시 덕양구 행신동 906,경기도 고양시 덕양구 행신동 906,37.6262006138,126.8433310573,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00080,가라산,근린공원,경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 행신동 924,37.6251820725,126.8419939697,42290,야외배드민턴장+체력단련시설,,,,,1992-12-28,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00081,참나무(능곡),어린이공원,경기도 고양시 덕양구 충장로152번길 39,경기도 고양시 덕양구 행신동 934,37.6248313279,126.8384740209,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00082,단풍나무,어린이공원,경기도 고양시 덕양구 화신로 105,경기도 고양시 덕양구 행신동 953,37.6227013592,126.8384469125,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00083,벚나무(능곡),어린이공원,경기도 고양시 덕양구 행신로279번길 84,경기도 고양시 덕양구 행신동 970,37.62219264,126.8427752016,1500,,조합놀이대 등,화장실,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
