도 로 명,장 소,허용구간,허용시간,비 고
통일로768번길,한승미메이드 앞(관산동180-7～180-36) 〔통일로768번길 편측 0.08km〕,편측 80m,"금지 : 08:00～18:00, 허용 : 18:00～08:00",주정차 단속 탄력적 허용 지역
중앙로62번길,"덕은식당 주변(덕은동47-1, 김치스쿨 앞까지) 〔중앙로62번길 편측 0.05km〕",편측 50m,허용 : 08:00～18:00,주정차 단속 탄력적 허용 지역
은빛로 17번길,용정초등학교(화정동1026～1052) 〔은빛로 17번길 파크빌⇒은빛6단지3거리 0.14km〕,편측 140m,금지 : 08:00～18:00 허용 : 18:00～08:00,주정차 단속 탄력적 허용 지역
대덕로 303번길,난지하수처리장(덕은동557-85～현천동771-16) 〔대덕로 303통신소 입구⇒방호벽 5.2km〕,양측 5200m,허용 : 08:00～18:00,주정차 단속 탄력적 허용 지역
신원로,"신원동 633번지 앞 신원로 일원, 400m 신원동 675~신원동 678",양측 400m,점심시간 해제 11:30~13:30,주정차 단속 탄력적 허용 지역
소원로,소원로 뚝방길생두루치기 앞 행신동 844,편측 120m,점심시간 해제 11:30~13:30,주정차 단속 탄력적 허용 지역
원당로 33번길,"원당로33번길 덕양보건소 맞은편, 주교동 635",편측 350m,점심시간 해제 11:30~13:30,주정차 단속 탄력적 허용 지역
신원로,"삼송지구 신원마을 일원, 신원동 678",양측 870m,점심시간 해제 11:30~13:30,주정차 단속 탄력적 허용 지역
통일로,"통일로 726,802번길 일원(외고앞-솔모텔), 관산동 999~관산동 913-18",양측 2200m,시간변경 08:00-17:00 → 08:00-18:00,주정차 단속 탄력적 허용 지역
신원로1길,"신원동 꿈나라 유치원 앞, 신원동 679~신원동 680",양측 380m,"지정요일 및 시간: 평일, 08-17시",주정차 단속 탄력적 허용 지역
화수로14번길,"화수로14번길 일부구간, 화정동 1031",편측 190m,"토,공휴일 06-24시→ 토,공휴일 07-17시",주정차 단속 탄력적 허용 지역
지도로14번길,"토당동 870번지 팔미낙지 음식점 앞, 토당동 890-1",편측 20m,해제시간 : 중식시간(11:30-13:30),주정차 단속 탄력적 허용 지역
신원로2길,"신원로2길59-47내, 신원동 679",편측 90m,점심시간 해제 11:30~13:30,주정차 단속 탄력적 허용 지역
능곡로13번길,"능곡성당 유치원 앞, 토당동 292-6~토당동 337-4",편측 170m,"주정차금지구역: 평일, 08-17시",주정차 단속 탄력적 허용 지역
권율대로,"권율대로 삼송제일교회 맞은편 이면도로, 원흥동 5-14~원흥동 696",편측 350m,"해제-1톤이하,편측(대로측),2시간에 한함",주정차 단속 탄력적 허용 지역
통일로373번길,"통일로373번길 일부구간, 관산동 910-62~관산동 184-11",양측 560m,사업용 및 건설기계 등록차량에 한함,주정차 단속 탄력적 허용 지역
 정발산동1332 산성교회(일산로),정발산동1332 ~ 정발산동 1331,편측 100m,일요일(09:00~13:00),주정차 단속 탄력적 허용 지역
중산동 1576-1 세광교회 일원(중산로),중산동1623 대우삼성801동~803동,편측 120m,일요일(09:00~15:00),주정차 단속 탄력적 허용 지역
정발산동 1209 광림교회 부근(무궁화로),정발산동 1222-3~정발산동1234(광림교회),"편측 40m,60m",일요일(10:00~15:00),주정차 단속 탄력적 허용 지역
정발산동 154 일산신광교회 부근(강성로),정발산동 양지건영 307동~203동(빌라단지 편측),편측 300m,일요일(09:00~15:00),주정차 단속 탄력적 허용 지역
장항동 1507 일호골든타워 부근(정발산로11),장항동 863-2~장항동 863(일호타워편측),편측 70m,매일(12:00~14:00),주정차 단속 탄력적 허용 지역
마두동 915-4(산두로)부근,마두동915-8~마두동915,편측 110m,매일(20:00~익일08:00),주정차 단속 탄력적 허용 지역
산두로49(정발건영3단지 앞) 부근,마두동884 ~ 마두동879-5,편측 155m,매일(12:00~14:00),주정차 단속 탄력적 허용 지역
강송로115(NH농협은행백마지점) 부근,백석동1228~백석동1229,편측 100m,매일(11:30 ~ 16:00),주정차 단속 탄력적 허용 지역
경의로461부근(경의로1360부근),정발산동1271-7앞,양측 30m,22:00~익일10:00,주정차 단속 탄력적 허용 지역
밤가시9단지앞(산두로),정발산동1352~1352-2(주택가측),편측 50m,일요일(09:00~15:00),주정차 단속 탄력적 허용 지역
정발산동1362(산두로),정발산동1274~1345(상가측),편측 399m,매일(12:00~14:00),주정차 단속 탄력적 허용 지역
밤가시건영2단지 앞(일산로463번길),정발산동1162-2~1162(상가측),편측 75m,매일(12:00~14:00),주정차 단속 탄력적 허용 지역
밤가시건영2단지 앞(일산로463번길),정발산동1157-13~1152(상가측),편측 55m,매일(12:00~14:00),주정차 단속 탄력적 허용 지역
마두동928 일산은혜교회부근(일산로),일산로297번길54~일산로297번길14,편측 260m,09:00~익일 15:00,주정차 단속 탄력적 허용 지역
백석동 1579 (백송로 72번길),덕골생고기(백석동1277-2)~태성카전문점(백석동1253),양측 130m,매일(18:00~21:00),주정차 단속 탄력적 허용 지역
백석로예일교회 부근 및 알미공원 부근,알미공원사거리(백석로)~안산공원사거리,편측 20m,일요일(09:00~15:00),주정차 단속 탄력적 허용 지역
백석로예일교회 부근 및 알미공원 부근,알미공원 앞 삼거리~희돌청구23동 전,편측 60m,일요일(09:00~15:00),주정차 단속 탄력적 허용 지역
식사동 예수향교회 앞 (위시티4로),식사동1481-6빌딩앞~식사동734-16,편측 110m,일요일(09:00~15:00),주정차 단속 탄력적 허용 지역
백석동 1619(백석로),백석동1149~백석동1149-5,편측 50m,일요일(09:00~15:00),주정차 단속 탄력적 허용 지역
풍동명성제1교회 앞도로(숲속마을2로),보호구역 시작지점 전~교회진출입구 전,편측 70m,일요일(09:00~15:00),주정차 단속 탄력적 허용 지역
"마두동990-2(정발산로,미송샤브샤브앞)","미소샤브샤브 앞 정발산로(횡단보도 ~ 우회전 곡각지점 구간, 각각 횡단보도 및 곡각지점 으로부터 10m 제외)",편측45m,매일(12:00 ~ 14:00),주정차 단속 탄력적 허용 지역
백석119안전센터 앞(백석동1514),백석119안전센터 입구건너편,"편측 15m,25m",일요일(09:00~16:00),주정차 단속 탄력적 허용 지역
산두로229번길 율동초교(정발산동 1425),매봉재공원 <-> 친절한부동산 앞,130m,매일(21:00~익일07:00),주정차 단속 탄력적 허용 지역
대산로 온누리선교교회(정발산동1553),우기포차 <-> 온누리선교교회,편측 60m,일요일(10:30~17:00),주정차 단속 탄력적 허용 지역
하늘마을로93번길 안곡중학교(중산동1777),대우부동산 <->청송빌딩,편측 120m,매일(21:00~익일07:00),주정차 단속 탄력적 허용 지역
강송로 백석우체국(백석동1993),백석동우체국 <-> 미니스톱,50m,매일(11:30~16:00),주정차 단속 탄력적 허용 지역
위시티로11번길,위시티휴먼빌<->위시티일산자이1단지,양측 240m,휴일(11:30~13:30),주정차 단속 탄력적 허용 지역
탄중로 ,중산마을10단지4R<->예안교회 앞,편측 30m,"토,일,공휴일(10:00~15:00)",주정차 단속 탄력적 허용 지역
정발산로,아소산식당 <->능안공원,양측 150m,12:00~14:00,주정차 단속 탄력적 허용 지역
호수로,호수로803번길82-17->호수로844 (을미대와 쌍용차동차 사이구간),편측 190m,11:30~13:30,주정차 단속 탄력적 허용 지역
일산서구 성저로,성저7∼8단지 건너편 단독블럭,편측460m,00:00 ~ 24:00,주정차 단속 탄력적 허용 지역
일산서구 성저로,"성저10,11단지 건너편 단독블럭",편측250m,00:00 ~ 24:00,주정차 단속 탄력적 허용 지역
일산서구 일산로 636번길,성저12∼13단지앞 빌라앞 상가편측,편측290m,야간 21:00 ~ 08:00,주정차 단속 탄력적 허용 지역
일산서구 덕이로,송산동주민센터 앞,편측70m,야간 18:00 ~ 익일 09:00,주정차 단속 탄력적 허용 지역
일산서구 덕이로,송산동주민센터 건너편,편측65m,야간 18:00 ~ 익일 09:00,주정차 단속 탄력적 허용 지역
일산서구 일산1동(도로명 미상),미주7차 가동 옆 신설도로( 미주7차 앞 ),편측155m,00:00 ~ 24:00,주정차 단속 탄력적 허용 지역
일산서구 산현로 78번길,에이스10차 앞 상가측,편측125m,00:00 ~ 24:00,주정차 단속 탄력적 허용 지역
일산서구 산현로 92번길,일산동 2023선(탄현 이화프라자)앞,편측50m,00:00 ~ 24:00,주정차 단속 탄력적 허용 지역
일산서구 산현로 17번길,탄현2지구 인근 상가지역,양측300m,야간 19:00 ~ 익일 09:00,주정차 단속 탄력적 허용 지역
일산서구 주화로,대화동 대한노인종합복지관앞,양측,"복지관 셔틀버스 78누7244, 승하차시 20분",주정차 단속 탄력적 허용 지역
일산서구 웅비로,성저초교앞 ∼ 성저공원앞,양측230m,야간 21:00 ~ 08:00,주정차 단속 탄력적 허용 지역
일산서구 대화로,성저마을 605동앞 ∼ 대화동2086앞,양측250m,야간 21:00 ~ 08:00,주정차 단속 탄력적 허용 지역
일산서구 일산로 803번길,대화동 2523선 ∼ 대화동 2556선 까지,양측430m,야간 21:00 ~ 08:00,주정차 단속 탄력적 허용 지역
일산서구 호수로 838번길,대화동 2546선,양측390m,야간 21:00 ~ 08:00,주정차 단속 탄력적 허용 지역
일산서구 호수로 856번길,대화동 2527선,양측390m,야간 21:00 ~ 08:00,주정차 단속 탄력적 허용 지역
일산서구 일중로 15번길,일산동655-530앞 ∼ 일산동655-23앞,양측150m,야간 20:00 ~ 익일 08:00,주정차 단속 탄력적 허용 지역
일산서구 탄중로 221번길,130m구간 양방향,양측130m,야간 21:00 ~ 익일 08:00,주정차 단속 탄력적 허용 지역
일산서구 탄중로 233번길,130m구간 양방향,양측130m,야간 21:00 ~ 익일 08:00,주정차 단속 탄력적 허용 지역
일산서구 일산로 636번길,"성저12,13단지앞 상가편측(빌라편측 주정차금지)",편측290m,야간 18:00 ~ 익일 09:00,주정차 단속 탄력적 허용 지역
일산서구 대산로,강선502동 ∼ 504동앞 150m구간 편측,편측150m,일요일 08:00 ~ 13:00,주정차 단속 탄력적 허용 지역
일산서구 고봉로,강선17단지삼거리 ∼ 강선마을 1704동앞,양측200m,일요일 08:30 ~ 12:30,주정차 단속 탄력적 허용 지역
일산서구 가좌로,일산주님의교회앞,편측100m,휴일 09:00 ~ 16:00,주정차 단속 탄력적 허용 지역
일산서구 일산로,충신교회앞,편측80m,일요일 09:00 ~ 16:00,주정차 단속 탄력적 허용 지역
일산서구 대화로,방주교회(자유로프라자)앞,편측60m,일요일 10:30 ~ 15:30,주정차 단속 탄력적 허용 지역
일산서구 성저로,대화동 성당앞 편측,편측150m,일요일 08:00 ~ 13:00,주정차 단속 탄력적 허용 지역
일산서구 하이파크로,한소망교회측,편측60m,일요일 09:00 ~ 14:00,주정차 단속 탄력적 허용 지역
일산서구 하이파크로,한소망교회 건너편,편측120m,일요일 09:00 ~ 14:00,주정차 단속 탄력적 허용 지역
일산서구 주엽로,새중앙교회앞 ∼ 문촌4단지사거리,양측100m,일요일 07:00 ~ 23:00,주정차 단속 탄력적 허용 지역
일산서구 일중로 15번길,유진스웰2단지 진입로,편측60m,00:00 ~ 24:00,주정차 단속 탄력적 허용 지역
일산서구 주화로,우리프라자앞,양측155m,중식시간 11:30 ~ 13:30,주정차 단속 탄력적 허용 지역
일산서구 호수로,호수로7-15∼호수로846 까지,편측180m,중식시간 11:30 ~ 13:30,주정차 단속 탄력적 허용 지역
일산서구 킨텍스로,킨텍스로 283선 ∼ 킨텍스로289,편측90m,중식시간 11:30 ~ 13:30,주정차 단속 탄력적 허용 지역
일산서구 가좌3로,320m구간 양방향,양측320m,중식시간 11:30 ~ 13:30,주정차 단속 탄력적 허용 지역
일산서구 주화로,대화동 2252앞 ∼ 일산명성교회앞,양측180m,중식시간 11:30 ~ 13:30,주정차 단속 탄력적 허용 지역
일산서구 대화로,시민피크닉공원앞 ∼ 생태공원앞,양측500m,주말.공휴일 10:00 ~ 21:00,주정차 단속 탄력적 허용 지역
일산서구 대화로,고양체육관 주차장 진출입로측,편측150m,주말.공휴일 10:00 ~ 21:00,주정차 단속 탄력적 허용 지역
일산서구 호수로,고양체육관앞,양측200m,주말.공휴일 10:00 ~ 21:00 ,주정차 단속 탄력적 허용 지역
일산서구 고양대로 695번길,현대홈타운1차단지 내 놀이터 앞 ∼ 국민은행 건물(양방향 130),편측130m,야간 20:00 ~ 07:00,주정차 단속 탄력적 허용 지역
일산서구 강성로,대화공원사거리 ∼ 장성초교사거리(상가측),편측370m,00:00 ~ 24:00,주정차 단속 탄력적 허용 지역
일산서구 호수로,호수로830번길82-17∼호수로844(편측)(을밀대와 쌍용자동차 사이 구간),편측190m,중식시간 11:30 ~ 13:30,주정차 단속 탄력적 허용 지역
일산서구 대산로,대진고교4R ∼ 문촌6단지4R,양측850m,야간 19:00 ~ 익일 08:00,주정차 단속 탄력적 허용 지역
일산서구 포돌이길,대화로접속부 ~ 중앙로접속부 중 성저파크골프장 측,편측534m,08:00 ~ 18:00,주정차 단속 탄력적 허용 지역
일산서구 호수로 383번길,호수로 접속부 3R ~ 주화로 접속부 3R,양측400m,"중식시간 11:30~13:30, 야간 21:00~익일 09:00",주정차 단속 탄력적 허용 지역
일산서구 호수로 856번길,호수로 접속부 3R ~ 주화로 접속부 3R,양측130m,"중식시간 11:30~13:30, 야간 21:00~익일 09:00",주정차 단속 탄력적 허용 지역
일산서구 호수로 830번길,호수로 접속부 3R ~ 주화로 접속부 3R,양측430m,"중식시간 11:30~13:30, 야간 21:00~익일 09:00",주정차 단속 탄력적 허용 지역
일산서구 주화로,대화동 2507선( 중앙로 1559-11 럭셔리호텔 ~ 주화로 210 우리프라자 ),편측163m,중식시간 11:30~13:30,주정차 단속 탄력적 허용 지역
일산서구 주화로,대화동 2517선( 중앙로 856 마포생고기 ~ 주화로 165 하늘빛 광성교회 ),편측150m,중식시간 11:30~13:30,주정차 단속 탄력적 허용 지역
일산서구 가좌3로,"가좌동 1103선( 가좌1로 53 선약국 ~ 가좌3로 7-1 마루프라자, 천궁 )",편측296m,중식시간 11:30~13:30,주정차 단속 탄력적 허용 지역
일산서구 송포로,"대화동 1464-6등 3개소( 송포로 26 해피 ~ 리본, 도미노피자 ~ 돈베짱, 송포로 26 하지은 헤어컬렉션 ~ 송포로 35 아띠 )",편측165m,중식시간 11:30~13:30,주정차 단속 탄력적 허용 지역
일산서구 대화로,대화동 863선( 대화로 130 오늘축산 ~ 대화로 136 GOGO비어 ),편측92m,중식시간 11:30~13:30,주정차 단속 탄력적 허용 지역
일산서구 호수로,대화동 2560선( 일산로 803 82-17 울밀대 앞 ~ 호수로 856 7-13 굴토리 ),편측372m,중식시간 11:30~13:30,주정차 단속 탄력적 허용 지역
일산서구 킨텍스로,대화동 2568선( 킨텍스로 238 창대축산 ~ 킨텍스로 289 몽돌해물탕 ),편측90m,중식시간 11:30 ~ 13:30,주정차 단속 탄력적 허용 지역
일산서구 대산로,"주엽동 151선( 문촌4단지 교차로 교차로~강선5단지 사거리, 문촌3단지, 강선1단지 편측 )",양측1136m,중식시간 11:30~13:30,주정차 단속 탄력적 허용 지역
일산서구 가좌1로,가좌동 405-100선( 송포롯데리아 ~ 가좌1로 59 더족발 앞 ),편측64m,중식시간 11:30~13:30,주정차 단속 탄력적 허용 지역
일산서구 대산로,강선5단지 사거리 ~ 늘빛교회,양측300m,일요일 08:00~16:00,주정차 단속 탄력적 허용 지역
일산서구 일중로15번길,일중로17선 ~ 고양대로 접속부,양측120m," 중식시간 11:30~13:30, 야간 21:00~익일08:00",주정차 단속 탄력적 허용 지역
일산서구 고양대로,일산119지역대 ~ 산들마을 사거리,양측480m,"장날 09:00~18:00, 2시간",주정차 단속 탄력적 허용 지역
일산서구 강성로,대화KT정문∼대화공원4R,양측830m,중식시간 11:30~13:30,주정차 단속 탄력적 허용 지역
