도서관명,동,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
마두도서관,마두동,고양시 일산동구,공공도서관,2+4번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,397,175489,134,3180,7,14,경기도 고양시 일산동구 일산로 355,경기도 고양시청,031-8075-9067,36029.3,3756.7,http://www.goyanglib.or.kr,37.666716,126.782057,2019-11-05
마상공원작은도서관,주교동,고양시 덕양구,작은도서관,월요일+일요일+법정공휴일,10:00,19:00,10:00,19:00,0:00,0:00,0,4663,0,0,3,14,"경기도 고양시 덕양구 원당로 69번길 46(주교동, 마상공원 내 주차장 옆)",경기도 고양시청,070-4422-2587,48,48,http://www.goyanglib.or.kr,37.393813,126.495854,2019-11-05
모당공원작은도서관,중산동,고양시 일산동구,작은도서관,월요일+일요일+법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,0,3070,0,0,3,14,경기도 고양시 일산동구 중산로 73-2(중산동),경기도 고양시청,070-4244-7442,174,174,http://www.goyanglib.or.kr,37.694344,126.784223,2019-11-05
백석도서관,백석동,고양시 일산동구,공공도서관,1+3번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,234,151369,110,3319,7,14,경기도 고양시 일산동구 일산로 118,경기도 고양시청,031-8075-9090,4347.7,4030.5,http://www.goyanglib.or.kr,37.647218,126.793626,2019-11-05
사리현작은도서관,사리현동,고양시 일산동구,작은도서관,월요일+일요일+법정공휴일,10:00,19:00,10:00,18:00,0:00,0:00,0,10778,0,0,3,14,경기도 고양시 일산동구 공릉천로 68,경기도 고양시 사리현동 동문굿모닝힐 입주자대표회의,070-8736-5530,93,93,http://www.goyanglib.or.kr,37.699184,126.846436,2019-11-05
삼송도서관,삼송동,고양시 덕양구,공공도서관,1+3번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,110,43105,99,292,7,14,경기도 고양시 덕양구 덕수천1로 73,경기도 고양시청,031-8075-9360,45016,3836.14,http://www.goyanglib.or.kr,37.648863,126.884854,2019-11-05
식사도서관,식사동,고양시 일산동구,공공도서관,2+4번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,194,69077,99,1563,7,14,경기도 고양시 일산동구 위시티2로 43-6,경기도 고양시청,031-8075-9190,2400,3775.72,http://www.goyanglib.or.kr,37.676212,126.815973,2019-11-05
신도작은도서관,신도동,고양시 덕양구,작은도서관,1+3+5주 토요일+일요일+법정공휴일,10:00,18:00,10:00,18:00,0:00,0:00,0,9930,0,0,3,14,경기도 고양시 덕양구 삼송로 180,경기도 고양시 신도동 종합복지회관,02-381-9095,122.4,122.4,http://www.goyanglib.or.kr,37.653145,126.893909,2019-11-05
신원도서관,신원동,고양시 덕양구,공공도서관,2+4번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,170,51083,121,813,7,14,경기도 고양시 덕양구 신원2로 24,경기도 고양시청,031-8075-9340,14983,3982.89,http://www.goyanglib.or.kr,37.666383,126.886359,2019-11-05
아람누리도서관,마두동,고양시 일산동구,공공도서관,1+3번째 월요일+일요일을 제외한 법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,0,197168,157,2314,7,14,경기도 고양시 일산동구 중앙로 1286,경기도 고양시청,031-8075-9038,54239.4,4457.07,http://www.goyanglib.or.kr,37.661486,126.774456,2019-11-05
원당도서관,성사동,고양시 덕양구,공공도서관,1+3번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,270,117606,105,3710,7,14,경기도 고양시 덕양구 호국로 790번길 49-9,경기도 고양시청,031-8075-9259,4310,1552.6,http://www.goyanglib.or.kr,37.656294,126.838859,2019-11-05
주엽어린이도서관,주엽동,고양시 일산서구,어린이도서관,2+4번째 월요일+일요일을 제외한 법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,0,137750,38,1363,7,14,경기도 고양시 일산서구 주엽로 104,경기도 고양시청,031-8075-9168,1500,2049.78,http://www.goyanglib.or.kr,37.668464,126.756504,2019-11-05
탄현작은도서관,탄현동,고양시 일산서구,작은도서관,1+3+5주 토요일+일요일+법정공휴일,10:00,18:00,10:00,18:00,0:00,0:00,0,21042,0,166,3,14,경기도 고양시 일산서구 일현로 140,경기도 고양시 탄현큰마을 입주자대표회의,031-915-8875,168,168,http://www.goyanglib.or.kr,37.700146,126.765549,2019-11-05
푸른마을작은도서관,고양동,고양시 덕양구,작은도서관,1+3+5주 토요일+일요일+법정공휴일,10:00,18:00,10:00,18:00,0:00,0:00,0,20244,0,25,3,14,경기도 고양시 덕양구 푸른마을로 55,경기도 고양시 푸른마을6단지 입주자대표회의,031-962-6996,142,142,http://www.goyanglib.or.kr,37.712299,126.905321,2019-11-05
풍동도서관,풍동,고양시 일산동구,공공도서관,1+3번째 월요일+일요일을 제외한 법정공휴일,9:00,22:00,9:00,18:00,0:00,0:00,0,92453,87,1885,7,14,경기도 고양시 일산동구 숲속마을로 108,경기도 고양시청,031-8075-9148,51109.3,1574.13,http://www.goyanglib.or.kr,37.670728,126.797125,2019-11-05
한뫼도서관,일산동,고양시 일산서구,공공도서관,2+4번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,129,142337,149,1742,7,14,경기도 고양시 일산서구 탄중로 284,경기도 고양시청,031-8075-9115,26167,4159.54,http://www.goyanglib.or.kr,37.693557,126.776259,2019-11-05
햇빛21작은도서관,행신동,고양시 덕양구,작은도서관,1+3+5주 토요일+일요일+법정공휴일+매월 첫째주 월요일,10:00,18:00,10:00,18:00,0:00,0:00,0,10235,0,104,3,14,경기도 고양시 덕양구 화신로 168,경기도 고양시 햇빛마을21단지 입주자대표회의,031-938-9400,96.5,96.5,http://www.goyanglib.or.kr,37.627322,126.841414,2019-11-05
햇빛마을작은도서관,행신동,고양시 덕양구,작은도서관,1+3+5주 토요일+일요일+법정공휴일,10:00,18:00,10:00,18:00,0:00,0:00,0,20859,0,35,3,14,경기도 고양시 덕양구 충장로 152번길 39,경기도 고양시 햇빛마을20단지 입주자대표회의,031-972-9955,75,75,http://www.goyanglib.or.kr,37.624831,126.838474,2019-11-05
행신도서관,행신동,고양시 덕양구,공공도서관,1+3번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,342,157349,107,1750,7,14,경기도 고양시 덕양구 행당로 33번길 25-6,경기도 고양시청,031-8075-9239,3132,2384.3,http://www.goyanglib.or.kr,37.620759,126.828338,2019-11-05
행신어린이도서관,행신동,고양시 덕양구,어린이도서관,2+4번째 월요일+일요일을 제외한 법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,0,111280,20,892,7,14,경기도 고양시 덕양구 소원로181번길 42,경기도 고양시청,031-8075-9278,1050.5,1687.72,http://www.goyanglib.or.kr,37.614791,126.843466,2019-11-05
호수공원작은도서관,장항동,고양시 일산동구,작은도서관,월요일+법정공휴일+일요일(11월~2월),10:00,19:00,10:00,18:00,0:00,0:00,0,8330,0,0,3,14,경기도 고양시 일산동구 호수로 595,경기도 고양시청,031-901-2375,52,52,http://www.goyanglib.or.kr,37.653846,126.768781,2019-11-05
화전작은도서관,화전동,고양시 덕양구,작은도서관,1+3+5주 토요일+일요일+법정공휴일+매월 첫째주 월요일,10:00,18:00,10:00,18:00,0:00,0:00,0,18515,0,417,3,14,경기도 고양시 덕양구 화랑로 1-1,경기도 고양시 화전동 주민자치위원회,02-3159-2266,100,100,http://www.goyanglib.or.kr,37.599469,126.872773,2019-11-05
화정도서관,화정동,고양시 덕양구,공공도서관,2+4번째 월요일+일요일을 제외한 법정공휴일,7:00,23:00,7:00,23:00,0:00,0:00,466,178978,144,5986,7,14,경기도 고양시 덕양구 은빛로 77번길 8,경기도 고양시청,031-8075-9215,4149.3,4580.1,http://www.goyanglib.or.kr,37.637836,126.837104,2019-11-05
화정어린이도서관,화정동,고양시 덕양구,어린이도서관,1+3번째 월요일+일요일을 제외한 법정공휴일,9:00,18:00,9:00,18:00,0:00,0:00,0,109422,25,1056,7,14,경기도 고양시 덕양구 화신로 323,경기도 고양시청,031-8075-9299,1002.1,1688.7,http://www.goyanglib.or.kr,37.632833,126.826303,2019-11-05
내유작은도서관,내유동,고양시 덕양구,작은도서관,토요일+일요일+법정공휴일+매월 두째주 월요일,9:00,18:00,0:00,0:00,0:00,0:00,0,4121,0,0,3,14,경기도 고양시 덕양구 유산길 96,경기도 고양시 내유동 복합커뮤니티 센터,070-4422-2580,145,145,http://www.goyanglib.or.kr,37.731045,126.848479,2019-11-05
