연번,신고번호,신고일자,영업소명,영업소주소(도로명),영업소전화번호
25,제2010-03호,2017-08-02,백산 이엔씨,경기도 고양시 덕양구 무원로6번길 61  208동 2호 (행신동 GL빌딩),031-971-5326
26,제2010-05호,2012-09-04,탑크린환경,경기도 고양시 일산서구 주엽로 124 (주엽동  주엽동(문촌마을16단지상가 질하4.5호)),
27,제2011-1호,2011-02-25,경인환경,경기도 고양시 일산동구 강송로113번길 54-2  (백석동  3층),031-908-5670
28,제2011-4호,2011-04-26,행신건설,경기도 고양시 덕양구 토당로 166 (토당동),031-970-4846
29,제2012-2호,2012-11-20,(주)상승,경기도 고양시 일산동구 고봉로770번길 26-54 (설문동),031-975-1819
30,제2012-1호,2012-04-13,그린월드,경기도 고양시 일산서구 산현로 7 (탄현동  풍성프라자 701호),
31,제2012-3호,2018-02-28,(주)엔제이피플,"경기도 고양시 일산동구 일산로 16, 디아뜨크리스탈오피스텔 814호(백석동)",031-939-8972
32,제2013-1호,2013-01-15,이비케이,경기도 고양시 덕양구 대덕로86번길 123 (현천동),02-3159-9788
33,제2013-2호,2014-10-07,(주)성인개발,경기도 고양시 덕양구 용현로 3  517호 (행신동  행신프라자),070-8244-3368
34,제2013-04호,2018-01-10,지유환경,경기도 고양시 일산동구 중산로 241  해태쇼핑타운 328호 (중산동),031-977-0226
35,제2013-05호,2013-09-10,동성개발,경기도 고양시 덕양구 고양대로1384번길 7-11 (성사동),031-966-2582
36,제2015-02호,2015-06-04,일해산업주식회사,경기도 고양시 덕양구 고양대로1384번길 7-24  지층동 6호 (성사동  신원당마을 동문상가),031-969-5356
37,제2016-01호,2016-01-21,이채이앤씨,경기도 고양시 일산동구 백석로85번길 19-4 (백석동),031-906-8939
38,제2016-02호,2016-05-24,(주)지에이에스디,경기도 고양시 일산동구 정발산로42번길 38  2층 202 203호 (장항동  라이저오피스텔),
39,제2016-03호,2016-06-10,(주)신한강개발,경기도 고양시 일산동구 백석로85번길 19-4 (백석동),031-906-8939
40,제2016-04호,2016-10-14,우리종합환경 협동조합,경기도 고양시 일산서구 강선로 187 (일산동),
41,제2017-01호,2017-04-06,주식회사 상우시설관리,경기도 고양시 덕양구 호국로 797  208호 (주교동  대동피렌체주상복합아파트),070-4148-0483
42,제2017-02호,2017-05-29,화성산업(주),경기도 고양시 일산서구 현중로26번길 37-15  지층 (탄현동),
43,제2017-03호,2017-10-10,주식회사 정진,경기도 고양시 일산서구 중앙로 1391  에스118호 (주엽동  강선마을12단지 상가동 지하1층 에스118호),070-7740-6596
44,제2018-01호,2018-02-22,좋은서비스,경기도 고양시 일산서구 일산로 806  장성마을3단지 지하층 2호 (대화동),031-936-9931
45,제2018-02호,2018-06-26,(주)티비에스워터,경기도 고양시 덕양구 도래울안길 57 (도내동),031-976-4797
46,제2018-03호,2018-08-01,(주)티에스산업,경기도 고양시 일산동구 백마로 195  엠시티타워&엠시티오피스텔 10008-1호 (장항동),031-906-3999
47,제2019-01호,2019-01-04,(주)코끼리,경기도 고양시 일산서구 중앙로 1493  2층 2064호 (주엽동  문촌마을12단지아파트),
48,제2019-02호,2019-03-12,깨끗한세상,경기도 고양시 덕양구 토당로78번길 7-31  2층 (토당동),031-974-9135
49,제2019-03호,2019-04-10,(사)장애인생산품판매지원협회 아름다운동행 사업단,경기도 고양시 일산서구 덕산로 153-18 (가좌동),031-925-1290
