"설치장소",설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
"신원도서관",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 신원2로 24 (신원동),경기도 고양시 덕양구 토당동 454-3,경기도 고양시 덕양구 능곡동주민센터,031-8075-5833,37.6663828,126.8863592,2019-11-13
"능곡역",2층 대합실,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 토당로 35 (토당동),경기도 고양시 덕양구 신원동 608,경기도 고양시 덕양구 원신동주민센터,031-8075-5673,37.618962,126.820866,2019-11-13
"행신2동주민센터",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 충경로 30,경기도 고양시 덕양구 행신동 717,경기도 고양시 덕양구 행신2동주민센터,031-8075-5935,37.6151651,126.8330311,2019-11-13
"고양동주민센터",주민센터 주차장내,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 벽제관로 5 (고양동),경기도 고양시 덕양구 고양동 195-1,경기도 고양시 덕양구 고양동주민센터,031-8075-5796,37.703319,,2019-11-13
"행신종합사회복지관",행신종합사회복지관 1층 안내데스크 앞,07:00~21:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 서정마을2로 13(행신동),경기도 고양시 덕양구 행신동 1064-1,경기도 고양시 덕양구 행신3동주민센터,031-8075-5960,37.621383,126.8471264,2019-11-13
"관산동주민센터",관산동주민센터,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 통일로 789(관산동),경기도 고양시 덕양구 통일로 789(관산동),경기도 고양시 덕양구 관산동주민센터,031-8075-5812,37.6880134,126.8625357,2019-11-13
"고양시지방법원",청사1층 로비,09:00∼18:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 장백로 206,경기도 고양시 일산동구 장항동 885-1,경기도 고양시 일산동구청,031-8075-6203,,,2019-11-13
"장항2동주민센터",주민센터 주차장내,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 노루목로 114 (장항동),경기도 고양시 일산동구 장항동 900,경기도 고양시 일산동구 장항2동주민센터,031-8075-6937,37.6498818,126.7783168,2019-11-13
"일산동구청",청사1층 로비,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 중앙로 1256 (마두동),경기도 고양시 일산동구 마두동 815,경기도 고양시 일산동구청,031-8075-6203,37.6588817,126.7749581,2019-11-13
"일산동구청",청사1층 로비,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 중앙로 1256 (마두동),경기도 고양시 일산동구 마두동 815,경기도 고양시 일산동구청,031-8075-6203,37.6588817,126.7749581,2019-11-13
"풍산동주민센터",청사 입구 옆,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 숲속마을1로 36 (풍동),경기도 고양시 일산동구 풍동 349-16,경기도 고양시 일산동구 풍산동주민센터,031-8075-6782,37.6640838,126.7998632,2019-11-13
"국민건강보험공단 일산병원",본관 1층 로비,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 일산로 100,경기도 고양시 일산동구 백석동 1232,경기도 고양시 일산동구청,031-8075-6203,37.645418,126.793067,2019-11-13
"고양세무서",1층 민원실 내,평일09:00~18:00,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+등기부등본+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 일산동구 중앙로1275번길 14-43(장항동),경기도 고양시 일산동구 장항동 774,경기도 고양시 일산동구청,031-8075-6203,,126.770262,2019-11-13
"창릉동주민센터",주민센터 현관 좌측,연중무휴,"주민등록등본+주민등록초본+개별공시지가확인서+토지이용계획확인원+토지대장등본+임야대장등본+건축물대장4종+건설기계등록원부(갑)+건설기계등록원부(을)+자동차등록원부(갑)+자동차등록원부(을)+국민기초수급자증명서+장애인증명서+한부모가족증명서+병적증명서(군복무필자,면제자,제1국민역)3종+납세증명서등 국세13종+지방세세목별과세증명서18종+제적등본+제적초본+가족관계증명서+가족관계증명서(폐쇄증명)+기본증명서+기본증명서(폐쇄증명)+혼인관계증명서+혼인관계증명서(폐쇄증명)+입양관계증명서+입양관계증명서(폐쇄증명)+농지원부+졸업증명서(국문, 영문)2종+성정증명서+학교생활기록부(초중고)3종+제적증명서+정원외관리증명서+졸업예정증명서+교육비납입증명서+검정고시합격증명서(국문,영문)2종+검정고시 성적증명서(국문,영문)2종+검정고시과목합격증명서+어선원부+건강보험제증명7종",경기도 고양시 덕양구 동세로 30(동산동),경기도 고양시 덕양구 동산동 360,경기도 고양시 덕양구 창릉동주민센터,031-8075-5779,,,2019-11-13
