약국명칭,약국전화번호,약국소재지(도로명)
그레이스온누리약국,031-978-8980,"경기도 고양시 덕양구 중앙로 548, 102호 (행신동, 현대프라자)"
종로약국,031-974-7582,"경기도 고양시 덕양구 화신로 278, 105호 (화정동, 세일빌딩)"
내유녹십자약국,031-963-3188,"경기도 고양시 덕양구 유산길 3 (내유동, 지하1층)"
내유원약국,031-969-2263,"경기도 고양시 덕양구 유산길 33, 1층 (내유동)"
다인온누리약국,031-972-2347,"경기도 고양시 덕양구 화신로 273, 101,102호 (화정동, 명지프라자)"
한국약국,031-968-9992,경기도 고양시 덕양구 호국로 778-28 (성사동)
희전약국,031-970-2676,"경기도 고양시 덕양구 무원로54번길 57, 1층 (행신동)"
통일로약국,031-969-3636,경기도 고양시 덕양구 통일로 772 (관산동)
새능곡메디슨약국,031-979-0930,"경기도 고양시 덕양구 지도로103번길 1, 101호 (토당동)"
수생약국,031-966-0920,경기도 고양시 덕양구 원당로33번길 30 (주교동)
담우약국,02-381-5300,경기도 고양시 덕양구 삼송로 178 (삼송동)
성지약국,031-817-0811,"경기도 고양시 덕양구 화신로272번길 67, 5층 (화정동, 장군빌딩)"
킴스백화점약국,031-979-8584,"경기도 고양시 덕양구 화신로260번길 51, 현창빌딩 1층 (화정동)"
종로대학약국,031-965-5922,경기도 고양시 덕양구 화수로14번길 56 (화정동)
굿모닝약국,031-938-9386,"경기도 고양시 덕양구 화중로 76, 406호 (화정동, 대감빌딩)"
화정종로약국,031-968-1663,"경기도 고양시 덕양구 화정로 53, 403호 (화정동, 새롬프라자)"
동우약국,031-970-6318,"경기도 고양시 덕양구 화신로260번길 57, 요진타워 305호 (화정동)"
윤진약국,031-970-3648,"경기도 고양시 덕양구 중앙로 554, 103호 (행신동, 희성프라자)"
해뜨는약국,031-964-8008,"경기도 고양시 덕양구 혜음로 45, 1층 (고양동, 고양메디칼빌딩)"
수정약국,031-971-1242,"경기도 고양시 덕양구 충장로 140, 303동 (행신동, 썬프라자)"
온누리청심약국,,경기도 고양시 덕양구 원당로125번길 5 (주교동)
벽제하나로약국,031-969-8908,경기도 고양시 덕양구 통일로 797 (관산동)
이십일세기새롬약국,031-965-4677,"경기도 고양시 덕양구 화정로 53, 110호 (화정동, 새롬프라자)"
무지개약국,031-963-3357,"경기도 고양시 덕양구 호국로 787, 101호 (주교동, 원당메디칼프라자)"
동신약국,031-972-3111,"경기도 고양시 덕양구 용현로 27, 103호 (행신동, 행신프라자)"
영진약국,031-969-1945,경기도 고양시 덕양구 호국로790번길 42-2 (성사동)
건강약국,031-963-9639,"경기도 고양시 덕양구 호국로 792, 1층 (성사동, 천일빌딩)"
고양이화약국,031-969-1711,경기도 고양시 덕양구 혜음로 38 (고양동)
보명약국,031-962-9625,경기도 고양시 덕양구 혜음로 9 (고양동)
수약국,031-978-7582,"경기도 고양시 덕양구 행신로 151, 3층 (행신동, 양일빌딩)"
메디팜글라라약국,031-972-1247,경기도 고양시 덕양구 토당로12번길 42 (토당동)
동희약국,031-963-8029,경기도 고양시 덕양구 통일로 752 (관산동)
유한약국,031-963-7185,"경기도 고양시 덕양구 원당로125번길 12, 101호 (주교동, 원릉빌딩)"
삼정약국,031-979-7003,"경기도 고양시 덕양구 중앙로 478, 103호 (행신동, 행신미원프라자)"
늘푸른약국,031-971-9082,"경기도 고양시 덕양구 충경로 38, 303호 (행신동, 진일프라자)"
행신삼보약국,031-971-3306,"경기도 고양시 덕양구 소원로 47, 112호 (행신동, 무원마을삼보상가)"
중앙약국,031-970-8338,경기도 고양시 덕양구 지도로 107 (토당동)
삼보약국,031-967-9393,"경기도 고양시 덕양구 고양대로1384번길 6, 116호 (성사동, 삼보상가)"
이조약국,031-972-4426,"경기도 고양시 덕양구 행신로143번길 72-1, 1층 (행신동)"
유명약국,031-972-9871,"경기도 고양시 덕양구 행당로 2, 102호 (토당동, 가남프라자)"
우리약국,031-962-7144,경기도 고양시 덕양구 원당로125번길 18 (주교동)
대종약국,031-962-6197,경기도 고양시 덕양구 마상로154번길 16 (성사동)
새천년약손약국,031-974-1678,경기도 고양시 덕양구 토당로 133-8 (토당동)
아림약국,031-974-7634,경기도 고양시 덕양구 지도로35번길 61 (토당동)
서우약국,031-972-8764,경기도 고양시 덕양구 능곡로 3 (토당동)
덕진약국,031-962-8702,경기도 고양시 덕양구 유산길 10 (내유동)
보성약국,02-381-8484,경기도 고양시 덕양구 삼송로 189-7 (삼송동)
세일약국,02-3158-5024,경기도 고양시 덕양구 화랑로 20-2 (화전동)
제일약국,031-904-3158,"경기도 고양시 일산동구 일산로 214, 화성프라자 1층 101호 (마두동)"
위시티진영약국,070-4241-0108,"경기도 고양시 일산동구 위시티4로 80, 1동 204일부호 (식사동, 위시티일산자이1단지아파트)"
마두하나약국,031-903-7750,"경기도 고양시 일산동구 중앙로 1195, 로스텔 103호 (장항동)"
엠시티약국,031-918-0957,"경기도 고양시 일산동구 백마로 195, 엠시티타워&엠시티오피스텔 1층 1190호 (장항동)"
더사랑약국,031-911-9408,"경기도 고양시 일산동구 무궁화로 39, 삼라마이다스 2층 209호 (장항동)"
호수약국,031-904-2466,"경기도 고양시 일산동구 장백로 172, 금강프라자 101호 (장항동)"
마두온누리약국,,"경기도 고양시 일산동구 중앙로 1172, 그랜드프라자 1층 108호 (마두동)"
벨라시타약국,031-849-5780,"경기도 고양시 일산동구 강송로 33, 지하1층 일부호 (백석동, 일산요진와이시티)"
세정약국,031-932-1814,"경기도 고양시 일산동구 장백로 172, 금강프라자 201호 (장항동)"
코코약국,031-906-9844,"경기도 고양시 일산동구 정발산로 33, 낙원프라자 4층 402-1호 (장항동)"
다인파랑새약국,031-905-0035,"경기도 고양시 일산동구 강송로 49, 윈스턴파크 1층 103,104호 (백석동)"
바로약국,031-919-3710,"경기도 고양시 일산동구 일산로 451, 1층 (정발산동)"
유승약국,070-8860-3657,"경기도 고양시 일산동구 일산로 452, 일산프라자 (정발산동)"
하늘약국,031-967-0053,"경기도 고양시 일산동구 위시티4로 46, 상가동 302, 303호 (식사동, 위시티일산자이2단지아파트)"
나무약국,031-932-6102,"경기도 고양시 일산동구 일산로 46, 남정씨티프라자 113호 (백석동)"
크린팜대학약국,031-962-4763,"경기도 고양시 일산동구 동국로 24, 1층 (식사동)"
두레약국,,"경기도 고양시 일산동구 중앙로 1080, 207호 (백석동)"
솔벗약국,031-905-0377,"경기도 고양시 일산동구 중앙로 1194, 103호 (마두동, 금강프라자)"
신일산희망약국,031-906-2458,"경기도 고양시 일산동구 중앙로 1189, 203-1호 (장항동, GM굿모닝 법조타운)"
메디팜일산약국,031-908-4555,"경기도 고양시 일산동구 백석로108번길 68-11, 1층 일부호 (백석동)"
서울드림약국,031-915-1199,"경기도 고양시 일산동구 고봉로 20-21, 119호 (장항동, 양우로데오랜드)"
터미널약국,031-936-7492,"경기도 고양시 일산동구 중앙로 1036, 1층 일부호 (백석동, 베스트 고양터미널)"
따뜻한약국,031-904-0642,"경기도 고양시 일산동구 중앙로1275번길 64, 2층 (장항동, 홈플러스 일산점)"
일산메디칼약국,031-902-9988,"경기도 고양시 일산동구 강송로 49, 101호 (백석동, 윈스턴파크)"
건강을요리하는약국,031-965-4321,"경기도 고양시 일산동구 중앙로 1130, 상가동 2층 A2-8호 (마두동, 강촌마을6단지아파트)"
일산아이약국,031-925-0350,"경기도 고양시 일산동구 일산로 439, 1층 (정발산동)"
웨스턴약국,031-931-5969,"경기도 고양시 일산동구 정발산로 24, A-109호 (장항동, 웨스턴돔1)"
호호호약국,070-8119-1835,"경기도 고양시 일산동구 백석로108번길 68-13, 1층 (백석동)"
품안에약국,070-4116-3784,"경기도 고양시 일산동구 중앙로 1189, 104호 (장항동, GM굿모닝 법조타운)"
풍동약국,031-906-8111,"경기도 고양시 일산동구 숲속마을로 40, 1층 (풍동, 유진프라자)"
호정약국,031-975-7589,"경기도 고양시 일산동구 성석로 30, 1층 (중산동)"
늘씬엄마튼튼아이푸른솔한약국,031-903-3311,"경기도 고양시 일산동구 중앙로1275번길 86-1, 205호 (장항동, 중앙 하이츠빌)"
풍동조은약국,070-8878-8098,"경기도 고양시 일산동구 숲속마을로 26, 304-A호 (풍동, 풍동프라자)"
일산그린약국,031-975-2475,"경기도 고양시 일산동구 고양대로 739, 203호 (중산동, 주은프라자)"
온누리하늘약국,031-977-9760,"경기도 고양시 일산동구 중산로 105, 107호 (중산동, 현해프라자)"
생생온누리약국,031-902-4938,"경기도 고양시 일산동구 정발산로 43-20, 118,119호 (장항동, 센트럴프라자)"
위시티사랑약국,031-969-4085,"경기도 고양시 일산동구 위시티2로11번길 31, 120호 (식사동, 스타타워)"
새일산약국,031-902-8642,"경기도 고양시 일산동구 강송로 179, 102호 (마두동, 신일산클리닉빌딩)"
훈민약국,031-901-1235,"경기도 고양시 일산동구 숲속마을로 48, 105호 (풍동, 신성프라자)"
다원약국,031-901-0121,"경기도 고양시 일산동구 정발산로 39, 103호 (장항동, 대양빌딩)"
신도시약국,031-907-6262,"경기도 고양시 일산동구 강송로74번길 8-18, 1층 (백석동)"
경희선한약국,031-902-2889,"경기도 고양시 일산동구 중앙로 1130, B동 37호 (마두동, 강촌마을6단지아파트)"
풍산사랑약국,,"경기도 고양시 일산동구 무궁화로 237 (중산동, 4층 일부(중산동, 이마트 풍산점))"
성심약국,031-903-6832,"경기도 고양시 일산동구 중앙로 1059, 102호 (백석동, ISD빌딩)"
정다운약국,031-906-4946,"경기도 고양시 일산동구 일산로 213, 106호 (마두동, 두성코아빌딩)"
센타약국,031-906-7412,"경기도 고양시 일산동구 일산로 324, 103호 (마두동, 서오능상가)"
메디칼온누리약국,031-966-5670,경기도 고양시 일산동구 동국로 26 (식사동)
으뜸약국,070-8234-1743,"경기도 고양시 일산동구 일산로 46, 411호 (백석동, 남정씨티프라자3차)"
하이약국,031-977-6617,경기도 고양시 일산동구 고양대로 757 (중산동)
우성약국,031-969--3355,"경기도 고양시 일산동구 동국로 48, 1층 (식사동, 일산송보빌딩)"
한결온누리약국,031-902-0526,"경기도 고양시 일산동구 강송로 169, 102호 (마두동, 한주프라자 )"
위시티 우리약국,031-964-1158,"경기도 고양시 일산동구 위시티4로 46, 106호 (식사동, 위시티일산자이2단지상가)"
뉴코아약국,070-7723-9559,"경기도 고양시 일산동구 강촌로 157, 103호 (마두동, 서울코아)"
자연온누리약국,031-908-2550,"경기도 고양시 일산동구 중산로 117, 105.106호 (중산동, 성도빌딩)"
한소망약국,,"경기도 고양시 일산동구 고봉로 20-5, 503호의 일부호 (장항동, 포오스프라자)"
마두행복한약국,031-901-2203,"경기도 고양시 일산동구 강석로 123, 71~73호 (마두동, 뉴삼창빌딩)"
샘터온누리약국,031-976-3105,"경기도 고양시 일산동구 하늘마을1로 2, 107호 (중산동, 풍산프라자)"
시민약국,031-975-1712,"경기도 고양시 일산동구 고양대로 762, 104호 (중산동, 하늘빌딩)"
새명약국,031-936-7671,"경기도 고양시 일산동구 중앙로 1036, 지하2층 (백석동, 고양종합양터미널)"
하얀약국,031-976-2758,"경기도 고양시 일산동구 고봉로 270, 1층 (중산동)"
뜨란약국,031-902-8975,"경기도 고양시 일산동구 숲속마을1로 71, 109호 (풍동, 샘터17)"
경원약국,031-969-2900,"경기도 고양시 일산동구 동국로 26, 1층 (식사동)"
365약국,031-907-7365,"경기도 고양시 일산동구 중앙로1275번길 60-14, 302호 (장항동, 고일프라자 )"
일산사랑약국,031-903-8806,"경기도 고양시 일산동구 일산로 211 (마두동, 2층일부)"
행복온누리약국,031-978-7496,"경기도 고양시 일산동구 위시티로 81, 107호 (식사동, 풍산트윈시티Ⅱ)"
중앙약국,031-905-0357,"경기도 고양시 일산동구 강송로 49, 107호 (백석동, 윈스터파크1)"
일산늘푸른약국,031-905-4535,"경기도 고양시 일산동구 중앙로1275번길 38-10, 210호 (장항동, 우림로데오스위트)"
대영약국,031-905-7388,"경기도 고양시 일산동구 무궁화로 18, 104호 (장항동, 남정시티프라자)"
푸른나무아래약국,031-919-3103,"경기도 고양시 일산동구 무궁화로 39, 110호 (장항동, 삼라마이다스3차)"
풍동메디칼약국,031-909-5335,"경기도 고양시 일산동구 숲속마을1로 77, 106호 (풍동, 그린메디피아빌딩)"
숲속약국,031-903-6565,"경기도 고양시 일산동구 숲속마을로 22, 103호 (풍동, 진넥스블루오션)"
드림온누리약국,031-905-5520,"경기도 고양시 일산동구 정발산로 15, 122호 (장항동, 드림월드프라자 )"
올림픽약국,031-906-0445,"경기도 고양시 일산동구 중앙로 1182 (마두동, 올림픽스포츠센타)"
보리수약국,031-965-2126,"경기도 고양시 일산동구 동국로 30 (식사동, 1층)"
우진약국,031-913-1323,"경기도 고양시 일산동구 무궁화로 31-2, 110호 (장항동, 풍성프라자)"
충무약국,031-903-1123,"경기도 고양시 일산동구 장백로 172, 305호 (장항동, 금강프라자)"
경희참한약국,031-911-7306,"경기도 고양시 일산동구 일산로463번길 77-1, 1층 (정발산동)"
아름다운약국,031-976-9537,"경기도 고양시 일산동구 중산로 253, 106,107호 (중산동)"
은약국,031-902-1512,"경기도 고양시 일산동구 정발산로 38, 306-2호 (장항동, 장항동이스턴시티)"
제일편한약국,031-901-8006,"경기도 고양시 일산동구 장백로 178, 106호 (장항동, 뉴욕프라자)"
이층호수약국,031-901-5547,"경기도 고양시 일산동구 백석로 24, 202호 (백석동, 흰돌마을3단지상가동)"
백석은혜약국,031-908-4573,"경기도 고양시 일산동구 일산로 46, 311호 (백석동, 남정씨티프라자3차)"
제일조은약국,031-965-3353,경기도 고양시 일산동구 동국로 20 (식사동)
정문온누리약국,031-906-6745,"경기도 고양시 일산동구 일산로 328, 103,104호 (마두동, 수색조합상가)"
해봄약국,031-907-3621,"경기도 고양시 일산동구 숲속마을1로 29-30, 106호 (풍동, 라고크리닉)"
풍동태평양약국,031-905-7985,"경기도 고양시 일산동구 숲속마을1로 76, 102, 103호 (풍동)"
평화온누리약국,031-906-9599,"경기도 고양시 일산동구 숲속마을1로 73, 106호 (풍동, 신성메디칼타운1층)"
미르약국,031-932-2033,"경기도 고양시 일산동구 중앙로 1065, 1층 (백석동, 일산 새빛 안과)"
일산나을약국,031-902-9906,"경기도 고양시 일산동구 중앙로 1172, 510호 (마두동, 그랜드프라자)"
성원약국,031-901-8544,"경기도 고양시 일산동구 중앙로 1080, 108호 (백석동, 남정골드프라자)"
