"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",백신고등학교,경기도 고양시 일산동구 백석로 8 (백석동),경기도 고양시 일산동구 백석동 1347,N,25,0,0,0,0,0,70,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.64248981,126.7819555,2019-01-02
"공중화장실",백송화장실,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906,N,3,5,1,0,0,0,3,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.66444643,126.7604431,2019-01-02
"공중화장실",백석중학교,경기도 고양시 일산동구 호수로 404 (백석동),경기도 고양시 일산동구 백석동 1346,N,25,34,0,0,0,0,46,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6420049,126.7828361,2019-01-02
"공중화장실",백석역,경기도 고양시 일산동구 중앙로 1042,경기도 고양시 일산동구 백석동 629-1,N,4,5,0,0,1,0,9,0,1,경기도 고양시 일산동구청,,09:00~18:00,,37.6430919,126.7880314,2019-01-02
"공중화장실",백석고등학교(체육관),"경기도 고양시 일산동구 강촌로 115 (마두동,(예지관))",경기도 고양시 일산동구 마두동 784,N,1,2,0,0,0,0,2,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.65290702,126.7869202,2019-01-02
"공중화장실",백석고등학교,경기도 고양시 일산동구 강촌로 115 (마두동),경기도 고양시 일산동구 마두동 784,N,17,31,0,0,0,0,31,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.65290702,126.7869202,2019-01-02
"공중화장실",백석1동,경기도 고양시 일산동구 일산로 145 (백석동),경기도 고양시 일산동구 백석동 1147,N,1,2,0,0,0,0,2,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6496734,126.7924909,2019-01-02
"공중화장실",백석 위브센티움,경기도 고양시 일산동구 일산로 78 (백석동),경기도 고양시 일산동구 백석동 1241-2,N,4,4,0,0,0,0,3,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6445378,126.7904521,2019-01-02
"공중화장실",백석 우림보보카운티,경기도 고양시 일산동구 일산로 38 (백석동),경기도 고양시 일산동구 백석동 1309,N,11,11,0,0,0,0,11,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.641858,126.7872735,2019-01-02
"공중화장실",백마초등학교,경기도 고양시 일산동구 일산로 230 (마두동),경기도 고양시 일산동구 마두동 718,N,21,35,0,0,0,0,44,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.65789834,126.7908815,2019-01-02
"공중화장실",백마주유소,경기도 고양시 일산동구 중앙로 990 (백석동),경기도 고양시 일산동구 백석동 1236,N,1,1,0,0,0,0,1,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6401232,126.7925765,2019-01-02
"공중화장실",백마역,경기도 고양시 일산동구 경의로 318,경기도 고양시 일산동구 백석동 92,N,8,8,0,0,0,0,8,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6583226773,126.7944569657,2019-01-02
"공중화장실",백마공원,,경기도 고양시 일산동구 마두동 725,N,1,1,0,0,0,0,1,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6570198,126.791378,2019-01-02
"공중화장실",백마고등학교,경기도 고양시 일산동구 백석로 155 (백석동),경기도 고양시 일산동구 백석동 1138,N,35,38,1,0,0,0,38,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6519826,126.7940121,2019-01-02
"공중화장실",밤가시공원,경기도 고양시 일산동구 일산로 372번길 16,경기도 고양시 일산동구 정발산동 1299,Y,0,2,0,0,0,0,0,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6685049228,126.7830400203,2019-01-02
"공중화장실",밀레니엄리젠시,경기도 고양시 일산동구 호수로 340-11 (백석동),경기도 고양시 일산동구 백석동 1329,N,2,3,0,0,0,0,2,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.638211,126.7868534,2019-01-02
"공중화장실",문봉주유소,경기도 고양시 일산동구 문봉길 66 (문봉동),경기도 고양시 일산동구 문봉동 222-1,N,1,1,0,0,0,0,1,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.7055055,126.8166122,2019-01-02
"공중화장실",문명철헬스짐,경기도 고양시 숲속마을1로 76,경기도 고양시 일산동구 풍동 1275,N,2,2,0,0,0,0,2,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6677426578,126.8003656544,2019-01-02
"공중화장실",모당초등학교,경기도 고양시 일산동구 하늘마을로 144 (중산동),경기도 고양시 일산동구 중산동 1684,N,32,40,0,0,0,0,64,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.67952149,126.7807725,2019-01-02
"공중화장실",메트로 골드,경기도 고양시 일산동구 중앙로1261번길 61 (장항동),경기도 고양시 일산동구 장항동 864,N,29,20,1,0,0,0,29,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.65740585,126.7702572,2019-01-02
"공중화장실",메디컬프라자,경기도 고양시 일산동구 대산로 20 (정발산동),경기도 고양시 일산동구 정발산동 1176,N,5,10,0,0,0,0,10,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6701498,126.7742803,2019-01-02
"공중화장실",말머리공원,경기도 고양시 일산동구 강송로 153,경기도 고양시 일산동구 마두동 790,Y,0,2,0,0,0,0,0,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6520655008,126.7839445534,2019-01-02
"공중화장실",마두역,경기도 고양시 일산동구 중앙로 1180,경기도 고양시 일산동구 마두동 765-1,N,3,4,0,0,0,0,7,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6523251,126.7781961997,2019-01-02
"공중화장실",마두도서관,경기도 고양시 일산동구 일산로 355 (마두동),경기도 고양시 일산동구 마두동 817,N,16,18,0,0,1,0,20,0,1,경기도 고양시 일산동구청,,09:00~18:00,,37.66671557,126.7820569,2019-01-02
"공중화장실",마두도서관,경기도 고양시 일산동구 중앙로 1286,경기도 고양시 일산동구 마두동 1112,N,12,16,4,0,0,0,8,4,0,경기도 고양시 일산동구청,,09:00~18:00,,37.66148641,126.7744561,2019-01-02
"공중화장실",루비튜스데이빌딩,경기도 고양시 일산동구 중앙로1275번길 56 (장항동),경기도 고양시 일산동구 장항동 769-2,N,8,8,0,0,0,0,8,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6592323,126.7698934,2019-01-02
"공중화장실",롯데쇼핑(주)일산점,경기도 고양시 일산동구 중앙로 1283 (장항동),경기도 고양시 일산동구 장항동 784,N,93,94,0,0,25,0,64,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.66047283,126.7721246,2019-01-02
"공중화장실",로얄프라자 111,경기도 고양시 일산동구 중앙로1261번길 59 (장항동),경기도 고양시 일산동구 장항동 864-1,N,19,21,0,0,0,0,21,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6571142,126.7703941,2019-01-02
"공중화장실",로스텔,경기도 고양시 일산동구 중앙로 1195 (장항동),경기도 고양시 일산동구 장항동 890-3,N,4,8,0,0,0,0,4,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6532662,126.7764845,2019-01-02
"공중화장실",로데오탑,경기도 고양시 일산동구 무궁화로 20-38 (장항동),경기도 고양시 일산동구 장항동 757,N,2,2,0,0,0,0,2,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.66033816,126.7677503,2019-01-02
"공중화장실",로데오 휠,경기도 고양시 일산동구 무궁화로 31-13 (장항동),경기도 고양시 일산동구 장항동 735-1,N,5,10,0,0,0,0,10,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6630614,126.7671207,2019-01-02
"공중화장실",마두공원,,경기도 고양시 일산동구 마두동 780,N,0,2,1,0,0,0,2,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.65501311,126.7852817,2019-01-02
"공중화장실",마두골프연습장,경기도 고양시 일산동구 애니골길 6 (풍동),경기도 고양시 일산동구 풍동 1105,N,1,2,0,0,0,0,1,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.66799398,126.7894568,2019-01-02
"공중화장실",마두동,경기도 고양시 일산동구 강송로 166,경기도 고양시 일산동구 마두동 15-17,N,4,5,0,0,0,0,5,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6535908,126.7844568,2019-01-02
"공중화장실",마두동,경기도 고양시 일산동구 일산로 218 (마두동),경기도 고양시 일산동구 마두동 727,N,0,0,0,0,0,0,0,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.65581694,126.7897179,2019-01-02
"공중화장실",리더스 프라자,경기도 고양시 일산동구 중앙로 1068 (백석동),경기도 고양시 일산동구 백석동 1294-2,N,27,27,0,0,0,0,25,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6449337,126.7861407,2019-01-02
"공중화장실",르메이에르프라자,경기도 고양시 일산동구 중앙로 1048 (백석동),경기도 고양시 일산동구 백석동 1297-2,N,7,9,0,0,0,0,8,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6436538,126.7878666,2019-01-02
"공중화장실",서울도시가스,경기도 고양시 일산서구 경의로 797 (덕이동),경기도 고양시 일산서구 덕이동 236-1,N,8,0,0,0,0,0,8,0,0,경기도 고양시 일산서구청,031-8075-7245,09:00~18:00,,37.6887226,126.7587778,2019-01-02
"공중화장실",세원고등학교,경기도 고양시 일산동구 숲속마을로 202,경기도 고양시 일산동구 식사동 산220-4,N,29,36,0,0,0,0,43,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.67147051,126.8033481,2019-01-02
"공중화장실",성우골프클럽,경기도 고양시 일산동구 무궁화로 43-55 (장항동),경기도 고양시 일산동구 장항동 731-1,N,2,4,0,0,0,0,3,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6644668,126.7669849,2019-01-02
"공중화장실",성아공원화장실,,경기도 고양시 일산동구 중산동 1798,N,2,3,1,0,0,0,5,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6782973,126.7893142,2019-01-02
"공중화장실",성석제일주유소,경기도 고양시 일산동구 고봉로 618 (성석동),경기도 고양시 일산동구 성석동 1238-4,N,1,2,0,0,0,0,1,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.7116714,126.7884259,2019-01-02
"공중화장실",설문주유소,경기도 고양시 일산동구 고봉로 857 (설문동),경기도 고양시 일산동구 설문동 634-1,Y,0,0,0,0,0,0,0,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.7290337,126.8001195,2019-01-02
"공중화장실",신성 메디칼 타운,경기도 고양시 일산동구 숲속마을1로 73 (풍동),경기도 고양시 일산동구 풍동 1274-1,N,7,7,0,0,0,0,14,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.667601,126.799801,2019-01-02
"공중화장실",서광 미르프라자,경기도 고양시 일산동구 숲속마을1로 29-37 (풍동),경기도 고양시 일산동구 풍동 1292-1,N,8,12,0,0,0,0,14,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6637074,126.7968584,2019-01-02
"공중화장실",새빛안과병원,경기도 고양시 일산동구 중앙로 1065 (백석동),경기도 고양시 일산동구 백석동 1334-3,N,6,14,1,0,0,0,8,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6442518,126.7857393,2019-01-02
"공중화장실",일산하수종말처리장,,경기도 고양시 일산서구 송포동740,N,4,6,0,0,0,0,2,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6584659,126.7112215,2019-01-02
"공중화장실",신촌초등학교,경기도 고양시 일산서구 후곡로 52 (일산동),경기도 고양시 일산서구 일산동 1068,N,16,35,2,0,0,0,40,2,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.68162683,126.766106,2019-01-02
"공중화장실",근린생활시설,경기도 고양시 일산서구 원일로 109 (일산동),경기도 고양시 일산서구 일산동 553-3,N,4,8,0,0,0,0,8,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6855315,126.7743561,2019-01-02
"공중화장실",천주교 일산성당,,경기도 고양시 일산서구 일산동 600-47,N,3,3,0,0,0,0,3,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6877341430,126.7691025216,2019-01-02
"공중화장실",일산초등학교(본관),,경기도 고양시 일산서구 일산동 630-1,N,18,20,0,0,0,0,30,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6829897763,126.7719357,2019-01-02
"공중화장실",메이저프라자,경기도 고양시 일산서구 원일로 51 (일산동),경기도 고양시 일산서구 일산동 963-12,N,5,10,0,0,0,0,10,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6871371,126.7678709,2019-01-02
"공중화장실",능력교회,경기도 고양시 일산서구 탄중로 492 (일산동),경기도 고양시 일산서구 일산동 584-33,N,5,16,0,0,0,0,17,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.689012,126.7720282,2019-01-02
"공중화장실",일산공업고등학교(실습동),"경기도 고양시 일산서구 원일로 53 (일산동,(실습동))",경기도 고양시 일산서구 일산동 966-50,N,11,19,0,0,0,0,28,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6885949,126.7669775,2019-01-02
"공중화장실",안곡주유소,경기도 고양시 일산동구 소개울길 12 (중산동),경기도 고양시 일산동구 중산동 105-8,Y,0,1,0,0,0,0,0,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.68171202,126.788301,2019-01-02
"공중화장실",아크리아,경기도 고양시 일산동구 숲속마을로 38 (풍동),경기도 고양시 일산동구 풍동 1279-2,N,8,16,4,0,0,0,12,4,0,경기도 고양시 일산동구청,,09:00~18:00,,37.667361,126.7990881,2019-01-02
"공중화장실",아람누리도서관,경기도 고양시 일산동구 중앙로 1286 (마두동),경기도 고양시 일산동구 마두동 817,N,14,18,0,0,1,0,22,0,1,경기도 고양시 일산동구청,,09:00~18:00,,37.66148641,126.7744561,2019-01-02
"공중화장실",원일주유소,경기도 고양시 일산동구 고양대로 1071 (식사동),경기도 고양시 일산동구 식사동 596-13,N,1,2,0,0,0,0,1,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.66966886,126.8101355,2019-01-02
"공중화장실",우인아크리움빌 2,경기도 고양시 일산동구 무궁화로 7-63 (장항동),경기도 고양시 일산동구 장항동 746,N,2,2,1,0,0,0,2,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.6637955,126.7647111,2019-01-02
"공중화장실",우림보보카운티1,경기도 고양시 일산동구 무궁화로 40 (장항동),경기도 고양시 일산동구 장항동 778,N,1,3,1,0,0,0,1,1,0,경기도 고양시 일산동구청,,09:00~18:00,,37.66289903,126.7688123,2019-01-02
"공중화장실",우경드림빌,경기도 고양시 일산서구 일현로 34 (탄현동),경기도 고양시 일산서구 탄현동 1574-3,N,1,2,0,0,0,0,2,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6901644,126.7624873,2019-01-02
"공중화장실",천주교주엽동성당,경기도 고양시 일산서구 주화로 48 (주엽동),경기도 고양시 일산서구 주엽동 103,N,4,5,0,0,0,0,7,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6687536,126.7624558,2019-01-02
"공중화장실",하이스트,경기도 고양시 일산서구 주화로 50 (주엽동),경기도 고양시 일산서구 주엽동 104,N,28,38,0,0,0,0,37,1,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6688828,126.7622151,2019-01-02
"공중화장실",농협중앙회 일산중앙지점점,경기도 고양시 일산서구 중앙로 1421 (주엽동),경기도 고양시 일산서구 주엽동 106,N,10,20,0,0,0,0,10,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6694265,126.7620048,2019-01-02
"공중화장실",주엽공원,,경기도 고양시 일산서구 주엽동118,N,2,4,0,0,0,0,4,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6676808,126.7595214,2019-01-02
"공중화장실",신풍주유소,경기도 고양시 일산동구 백마로 517 (풍동),경기도 고양시 일산동구 풍동 116-1,N,1,2,0,0,0,0,2,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.663621,126.8053907,2019-01-02
"공중화장실",신성하이네스트오피스텔,경기도 고양시 일산동구 정발산로42번길 24 (장항동),경기도 고양시 일산동구 장항동 854,N,1,2,0,0,0,0,1,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.65618377,126.7737877,2019-01-02
"공중화장실",신도시충전소,경기도 고양시 일산동구 경의로 234 (백석동),경기도 고양시 일산동구 백석동 1184,N,1,1,0,0,0,0,1,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.65143428,126.797801,2019-01-02
"공중화장실",홀트학교(중등부),"경기도 고양시 일산서구 탄현로 42 (탄현동,(중등부))",경기도 고양시 일산서구 탄현동 41-1,N,3,4,2,0,0,0,6,2,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.69524843,126.7747712,2019-01-02
"공중화장실",홀트학교(다목적실),"경기도 고양시 일산서구 탄현로 42 (탄현동,(다목적실))",경기도 고양시 일산서구 탄현동 41-1,N,1,7,3,0,0,0,2,4,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.69524843,126.7747712,2019-01-02
"공중화장실",탄현주유소,경기도 고양시 일산서구 일청로 143 (탄현동),경기도 고양시 일산서구 탄현동 4-28,N,1,2,0,0,0,0,1,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6959387,126.7776854,2019-01-02
"공중화장실",호곡중학교,경기도 고양시 일산서구 탄현로 110 (탄현동),경기도 고양시 일산서구 탄현동 117-69,N,83,90,0,0,0,0,90,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.7015936,126.7685062,2019-01-02
"공중화장실",궁골공원,,경기도 고양시 일산서구 주엽동55,N,1,3,1,0,0,0,4,1,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6698435,126.7686728,2019-01-02
"공중화장실",화인빌딩,경기도 고양시 일산서구 강성로 139 (주엽동),경기도 고양시 일산서구 주엽동 19-3,N,7,14,0,0,0,0,14,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6714304,126.7602619,2019-01-02
"공중화장실",발산중학교,경기도 고양시 일산서구 고봉로 99 (주엽동),경기도 고양시 일산서구 주엽동 56,N,23,32,0,0,0,0,41,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.66984176,126.769625,2019-01-02
"공중화장실",신한은행 전산센터,경기도 고양시 일산동구 중앙로 1311 (장항동),경기도 고양시 일산동구 장항동 781,N,4,6,0,0,0,0,4,0,0,경기도 고양시 일산동구청,,09:00~18:00,,37.66246256,126.770401,2019-01-02
"공중화장실",송산동,경기도 고양시 일산서구 덕이로 50-7 (덕이동),경기도 고양시 일산서구 덕이동 446-9,N,3,5,0,0,0,0,4,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.69090808,126.7542899637,2019-01-02
"공중화장실",가휘주유소,경기도 고양시 일산서구 덕이로 94 (덕이동),경기도 고양시 일산서구 덕이동 522-7,N,1,2,0,0,0,0,2,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6916043,126.7494939,2019-01-02
"공중화장실",덕이주유소,경기도 고양시 일산서구 송산로 591 (덕이동),경기도 고양시 일산서구 덕이동 862-3,N,2,2,0,0,0,0,2,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6930336,126.7420738,2019-01-02
"공중화장실",고양예술고등학교,경기도 고양시 일산서구 덕이로172번길 4-39 (덕이동),경기도 고양시 일산서구 덕이동 753-11,N,3,5,0,0,0,0,86,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.69740915,126.7423038,2019-01-02
"공중화장실",고양예술고등학교(실습동),경기도 고양시 일산서구 덕이로172번길 4-39 (덕이동),경기도 고양시 일산서구 덕이동 753-11,N,27,31,0,0,0,0,56,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.69740915,126.7423038,2019-01-02
"공중화장실",고양예술고등학교,경기도 고양시 일산서구 덕이로172번길 4-39 (덕이동),경기도 고양시 일산서구 덕이동 753-11,N,10,11,0,0,0,0,40,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.69740915,126.7423038,2019-01-02
"공중화장실",가좌주유소,경기도 고양시 일산서구 송산로 406 (가좌동),경기도 고양시 일산서구 가좌동 220-1,N,1,2,0,0,0,0,1,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.685435,126.7239247,2019-01-02
"공중화장실",V샤르망빌딩,경기도 고양시 일산서구 가좌1로 53 (가좌동),경기도 고양시 일산서구 가좌동 405-10,N,3,5,0,0,0,0,3,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.68750626,126.7189105,2019-01-02
"공중화장실",오거리공원,,경기도 고양시 일산서구 주엽동34,N,1,1,1,0,0,0,2,1,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6762652,126.7647987,2019-01-02
"공중화장실",그린프라자,경기도 고양시 일산서구 대산로 128 (주엽동),경기도 고양시 일산서구 주엽동 31,N,5,10,0,0,0,0,10,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.674832,126.7636016,2019-01-02
"공중화장실",후곡성당,경기도 고양시 일산서구 일산로 592 (일산동),경기도 고양시 일산서구 일산동 1051,N,3,5,0,0,0,0,8,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6801681,126.7629726,2019-01-02
"공중화장실",평화프라자,경기도 고양시 일산서구 후곡로 19 (일산동),경기도 고양시 일산서구 일산동 1054-5,N,5,5,0,0,0,0,5,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6793471,126.7632882,2019-01-02
"공중화장실",강선공원,,경기도 고양시 일산서구 주엽동78,N,2,2,0,0,0,0,3,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6711710099,126.7620627599,2019-01-02
"공중화장실",효림빌딩,경기도 고양시 일산서구 주화로 88 (주엽동),경기도 고양시 일산서구 주엽동 115-2,N,20,20,10,0,0,0,10,10,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6705331,126.7585328,2019-01-02
"공중화장실",동해빌딩,경기도 고양시 일산서구 일중로 72 (일산동),경기도 고양시 일산서구 일산동 576-9,N,10,10,0,0,0,0,14,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6860783,126.7757421,2019-01-02
"공중화장실",오마중학교,경기도 고양시 일산서구 주엽로 213 (주엽동),경기도 고양시 일산서구 주엽동 4,N,26,32,0,0,0,0,49,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6776966,126.7615205,2019-01-02
"공중화장실",그랜드,,경기도 고양시 일산서구 주엽동22,N,63,84,0,0,0,0,126,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6712905419,126.7605797759,2019-01-02
"공중화장실",동하프라자,경기도 고양시 일산서구 대산로 114 (주엽동),경기도 고양시 일산서구 주엽동 35-2,N,5,10,0,0,0,0,10,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6742544,126.7649184,2019-01-02
"공중화장실",동신파크빌딩,경기도 고양시 일산서구 강선로 59 (주엽동),경기도 고양시 일산서구 주엽동 72-1,N,10,15,0,0,0,0,14,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6695501,126.7643076,2019-01-02
"공중화장실",가좌마을 5단지 상가동,,경기도 고양시 일산서구 송산동1087,N,10,15,0,0,0,0,10,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.6910565,126.7206341,2019-01-02
"공중화장실",고양예술고등학교(다목적교실동),경기도 고양시 일산서구 덕이로172번길 4-39 (덕이동),경기도 고양시 일산서구 덕이동 753-11,N,7,9,0,0,0,0,11,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.69740915,126.7423038,2019-01-02
"공중화장실",고양예술고등학교(식당동),경기도 고양시 일산서구 덕이로172번길 4-39 (덕이동),경기도 고양시 일산서구 덕이동 753-11,N,1,2,0,0,0,0,2,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.69740915,126.7423038,2019-01-02
"공중화장실",고양예술고등학교(경비동),경기도 고양시 일산서구 덕이로172번길 4-39 (덕이동),경기도 고양시 일산서구 덕이동 753-11,N,3,2,0,0,0,0,1,0,0,경기도 고양시 일산서구청,031-8075-7243,09:00~18:00,,37.69740915,126.7423038,2019-01-02
