구분,단지명,지번,도로명주소,사업승인일,사용검사일,건물유형,층수,동수,세대수,관리소전화,fax,연면적(㎡),승강기
비의무,명림연립,토당동 292-38,"경기도 고양시 덕양구 능곡로13번길 46  (토당동, 명림주택)  ",1983-05-12,1983-12-14,연립주택,3,3,54,,,3781.26,0
비의무,현대연립,토당동 37-14,경기도 고양시 덕양구 능곡로45번길 45  (토당동)  ,1981-08-26,1984-03-09,연립주택,3,3,30,,,2110.38,0
비의무,초원연립1차,성사동 503-0,경기도 고양시 덕양구 마상로154번길 34  (성사동)  ,1983-11-17,1984-06-28,주택,3,2,80,,,4023.6,0
비의무,세인연립,토당동 99-1,"경기도 고양시 덕양구 지도로125번길 9-9  (토당동, 세인연립)  ",1984-02-29,1984-09-05,연립주택,3,4,78,,,6127.2,0
비의무,은하맨숀,주교동 558-1,"경기도 고양시 덕양구 원당로125번길 50  (주교동, 은하맨션)  ",1984-04-17,1984-11-15,연립주택,3,2,42,,,7158.24,0
비의무,대당맨숀,주교동 558-0,"경기도 고양시 덕양구 원당로135번길 53  (주교동, 대당빌라)  ",1984-04-17,1984-11-19,연립주택,3,2,42,,,7158.24,0
비의무,삼화레저타운,토당동 287-1,"경기도 고양시 덕양구 지도로103번길 108  (토당동, 삼화레저타운)  ",1983-12-05,1984-11-29,연립주택,3,4,72,,,5643.12,0
비의무,삼일맨션,주교동 566-0,경기도 고양시 덕양구 원당로125번길 35  (주교동)  ,1984-06-04,1984-11-29,연립주택,3,3,81,,,5830.62,0
비의무,현대맨션,주교동 560-0,"경기도 고양시 덕양구 원당로135번길 71  (주교동, 현대맨션)  ",1984-08-02,1984-12-22,연립주택,3,3,57,,,3797.75,0
비의무,명림빌라,성사동 494-10,"경기도 고양시 덕양구 마상로 172  (성사동, 명림빌라)  ",1984-06-23,1985-02-18,연립주택,3,3,54,,,4325.34,0
비의무,초원파크,주교동 592-0,"경기도 고양시 덕양구 고양대로1315번길 94  (주교동, 초원파크)  ",1984-08-25,1985-03-11,연립주택,3,3,48,,,2789.52,0
비의무,우진주택,주교동 569-9,"경기도 고양시 덕양구 원당로101번길 10  (주교동, 우진아파트)  ",1984-07-31,1985-04-03,아파트,5,2,45,,,3037.8,0
비의무,평화APT,주교동 565-0,경기도 고양시 덕양구 원당로125번길 45  (주교동)  ,1984-08-06,1985-05-08,아파트,5,2,60,,,4906.8,0
비의무,장미아파트,성사동 496-5,"경기도 고양시 덕양구 마상로153번길 28  (성사동, 장미아파트)  ",1984-09-01,1985-05-30,아파트,5,4,125,,,8909.88,0
비의무,허스(다),관산동 190-3,경기도 고양시 덕양구 통일로759번길 10  (관산동)  ,1984-05-03,1985-06-22,연립주택,3,1,24,,,1877.76,0
비의무,허스(라),관산동 190-4,경기도 고양시 덕양구 통일로759번길 15  (관산동)  ,1984-05-03,1985-06-22,연립주택,3,1,33,,,1168.2,0
비의무,허스맨션아파트(가~라),토당동 251-12,"경기도 고양시 덕양구 지도로103번길 74  (토당동, 허스아파트)",1984-05-31,1985-08-14,아파트,5,4,155,,,11115.36,0
비의무,"허스맨션아파트(마,바)",토당동 251-39,"경기도 고양시 덕양구 토당로 126-10 (토당동, 허스아파트) ",1984-05-31,1985-08-14,아파트,5,2,100,,,5757.84,0
비의무,남해빌라,주교동 557-0,경기도 고양시 덕양구 원당로125번길 40-16  (주교동)  ,1985-05-08,1985-08-14,연립주택,3,1,24,,,1633.56,0
비의무,오익연립,주교동 559-1,"경기도 고양시 덕양구 원당로125번길 56  (주교동, 오익빌라)  ",1984-06-23,1985-08-19,연립주택,3,3,75,,,6010.09,0
비의무,능보연립,성사동 370-1,경기도 고양시 덕양구 호국로790번길 45  (성사동)  ,1982-04-22,1985-09-19,연립주택,3,1,24,,,1119.84,0
비의무,미광APT,주교동 568-6,"경기도 고양시 덕양구 마상로113번길 56  (주교동, 동문미광아파트)  ",1985-02-11,1985-10-18,아파트,5,1,25,,,1907.19,0
비의무,미도APT,주교동 563-0,"경기도 고양시 덕양구 원당로125번길 69  (주교동, 미도아파트)  ",1985-03-16,1985-10-18,아파트,5,2,60,,,4092,0
비의무,삼일연립,주교동 560-1,"경기도 고양시 덕양구 원당로125번길 68  (주교동, 삼일맨션)  ",1985-04-11,1985-10-18,연립주택,3,3,48,,,3538.44,0
비의무,별장아파트,토당동 19-0,"경기도 고양시 덕양구 지도로124번길 32-21  (토당동, 별장아파트)  ",1984-08-29,1985-11-02,아파트,5,2,75,,,6166.63,0
비의무,은하아파트,주교동 552-1,"경기도 고양시 덕양구 원당로135번길 52  (주교동, 은하아파트)  ",1985-06-10,1985-11-15,아파트,5,3,125,,,8623.66,0
비의무,효자빌라,주교동 571-1,"경기도 고양시 덕양구 원당로101번길 40-12  (주교동, 효자빌라)  ",1985-05-08,1985-11-21,연립주택,3,3,42,,,3092.04,0
비의무,성산주택3차,주교동 598-1,"경기도 고양시 덕양구 원당로59번길 27  (주교동, 성산주택)  ",1984-09-01,1985-11-22,연립주택,4,2,30,,,2124.48,0
비의무,대영아파트,주교동 574-1,"경기도 고양시 덕양구 원당로113번길 69  (주교동, 대영아파트)  ",1985-05-08,1985-11-28,아파트,5,1,40,,,3113.46,0
비의무,미도아파트2차,주교동 591-5,"경기도 고양시 덕양구 원당로59번길 74  (주교동, 미도3차아파트)  ",1985-06-14,1985-12-18,아파트,4,1,48,,,3113.46,0
비의무,임창타운,토당동 402-0,"경기도 고양시 덕양구 행당로 12-7  (토당동, 임창빌라)  ",1984-12-12,1985-12-26,연립주택,3,5,99,,,9616.65,0
비의무,한양빌라,고양동 91-1,"경기도 고양시 덕양구 벽제관로 38-31  (고양동, 한양빌라)  ",1985-05-08,1985-12-31,연립주택,3,5,90,,,7143.12,0
비의무,종건그린빌라,성사동 488-40,경기도 고양시 덕양구 고양대로1407번길 69  (성사동)  ,1985-05-08,1986-01-15,연립주택,3,5,104,,,7529.04,0
비의무,선경빌라,토당동 99-11,"경기도 고양시 덕양구 지도로115번길 7  (토당동, 선경빌라)  ",1985-04-18,1986-02-07,연립주택,3,2,54,,,4184.34,0
비의무,수정APT,성사동 405-8,"경기도 고양시 덕양구 고양대로1407번길 45-17  (성사동, 수정아파트)  ",1985-07-30,1986-02-22,아파트,5,1,60,,,4048.02,0
비의무,영신주택,주교동 559-0,경기도 고양시 덕양구 원당로135번길 55  (주교동)  ,1985-03-22,1986-04-17,연립주택,3,1,27,,,1705.116,0
비의무,산장APT,주교동 16-4,"경기도 고양시 덕양구 원당로141번길 58  (주교동, 산장아파트)  ",1985-07-12,1986-04-22,아파트,6,1,72,,,5136.6,0
비의무,장미아파트2차,주교동 616-0,"경기도 고양시 덕양구 마상로134번길 51  (주교동, 장미2차아파트)  ",1985-09-26,1986-04-22,아파트,5,1,60,,,4274.7,0
비의무,무지개빌라,주교동 564-6,경기도 고양시 덕양구 원당로113번길 60-4  (주교동)  ,1985-10-23,1986-04-22,연립주택,3,1,30,,,1942.74,0
비의무,금산주택,주교동 564-0,경기도 고양시 덕양구 원당로125번길 57  (주교동)  ,1985-08-31,1986-05-02,연립주택,3,1,20,,,1971.6,0
비의무,보라빌라,고양동 1072-0,"경기도 고양시 덕양구 보광로 13  (고양동, 보라빌라)  ",1985-09-25,1986-05-22,연립주택,3,8,123,,,8983.08,0
비의무,장미아파트3차,주교동 563-4,"경기도 고양시 덕양구 원당로113번길 68  (주교동, 장미아파트)  ",1985-09-01,1986-06-11,아파트,5,2,80,,,5176.5,0
비의무,영오빌라,행신동 222-0,"경기도 고양시 덕양구 행신로325번길 11-18  (행신동, 영오빌라)  ",1984-12-12,1986-06-18,연립주택,3,3,51,,,4164.4,0
비의무,동원2차주택,주교동 596-1,"경기도 고양시 덕양구 고양대로1315번길 86-21  (주교동, 동원빌라)  ",1985-09-20,1986-07-09,연립주택,3,1,21,,,1526.76,0
비의무,대기APT,주교동 554-0,"경기도 고양시 덕양구 원당로141번길 7  (주교동, 대기아파트)  ",1985-12-10,1986-08-01,아파트,5,1,50,,,3225.21,0
비의무,서안APT,성사동 705-15,"경기도 고양시 덕양구 고양대로1395번길 11-12  (성사동, 서안아파트)  ",1985-11-11,1986-08-07,아파트,6,1,48,,,2764.08,0
비의무,연세빌라,행신동 204-5,"경기도 고양시 덕양구 중앙로480번길 40  (행신동, 연세빌라)  ",1985-12-02,1986-09-08,연립주택,3,3,90,,,5546.16,0
비의무,자성빌라,토당동 26-0,"경기도 고양시 덕양구 지도로124번길 14-27  (토당동, 자성빌라)  ",1985-11-16,1986-09-17,연립주택,3,4,87,,,5519.52,0
비의무,세현아파트,성사동 493-0,"경기도 고양시 덕양구 호국로812번길 27  (성사동, 세현아파트)  ",1985-11-21,1986-09-17,아파트,5,3,100,,,8266.41,0
비의무,삼화파크맨션,토당동 271-4,"경기도 고양시 덕양구 호수로16번길 7  (토당동, 삼화파크맨션)  ",1986-04-15,1986-09-20,연립주택,3,4,84,,,6549.24,0
비의무,호일맨션,토당동 24-0,"경기도 고양시 덕양구 지도로124번길 14-15  (토당동, 호일맨션)  ",1986-03-18,1986-10-29,연립주택,3,2,48,,,2822.4,0
비의무,동원아파트,주교동 596-0,"경기도 고양시 덕양구 원당로59번길 67  (주교동, 동원아파트)  ",1986-05-21,1986-11-05,아파트,5,1,50,,,3290.69,0
비의무,"미도아파트5차(3,5)",성사동 404-7,"경기도 고양시 덕양구 마상로 200-18  (성사동, 미도아파트5차)  ",1986-04-19,1986-11-29,아파트,5,2,125,,,7828.2,0
비의무,"미도아파트5차(1,2)",성사동 404-8,"경기도 고양시 덕양구 충장로475번길 14-17 (성사동, 미도아파트5차) ",1986-05-24,1986-11-29,아파트,5,2,115,,,7080.66,0
비의무,산수그린빌라,고양동 199-6,경기도 고양시 덕양구 읍내로6번길 29  (고양동)  ,1985-11-16,1986-12-29,연립주택,3,4,108,,,5179.68,0
비의무,허스아파트,관산동 151-3,"경기도 고양시 덕양구 통일로742번길 42  (관산동, 허스아파트)  ",1986-05-21,1987-01-26,아파트,5,4,110,,,3961.06,0
비의무,삼림아파트,주교동 561-1,"경기도 고양시 덕양구 원당로125번길 80  (주교동, 삼림아파트)  ",1986-07-14,1987-01-28,아파트,5,2,120,,,7657.2,0
비의무,임창아파트,주교동 570-0,"경기도 고양시 덕양구 마상로113번길 37  (주교동, 임창아파트)  ",1986-07-10,1987-03-13,아파트,5,1,70,,,1674.9,0
비의무,개나리아파트,성사동 415-0,"경기도 고양시 덕양구 충장로475번길 14-4  (성사동, 개나리아파트)  ",1986-08-01,1987-04-22,아파트,5,3,175,,,10813.18,0
비의무,미도아파트6차,성사동 422-2,"경기도 고양시 덕양구 마상로 194-8  (성사동, 미도아파트)  ",1987-05-11,1987-05-11,아파트,5,2,99,,,6410.52,0
비의무,운진연립,행신동 653-9,"경기도 고양시 덕양구 행당로 34-11  (행신동, 운진주택)  ",1986-07-20,1987-05-18,연립주택,3,2,42,,,3362.43,0
비의무,영신APT,주교동 575-9,"경기도 고양시 덕양구 마상로 103  (주교동, 영신아파트)  ",1986-10-24,1987-08-07,아파트,5,1,35,,,1880.28,0
비의무,신진연립,토당동 49-10,"경기도 고양시 덕양구 지도로79번길 40  (토당동, 신진연립)  ",1985-10-21,1988-01-18,연립주택,3,4,66,,,3576.78,0
비의무,동원A,성사동 407-9,"경기도 고양시 덕양구 고양대로1407번길 25  (성사동, 동원아파트5차)  ",1987-09-17,1988-05-02,아파트,5,1,30,,,1944,0
비의무,미도아파트7차,성사동 422-3,"경기도 고양시 덕양구 마상로 187  (성사동, 미도7차아파트)  ",1987-08-13,1988-05-16,아파트,5,2,160,,,9992.34,0
비의무,윤창아파트,주교동 272-1,"경기도 고양시 덕양구 원당로59번길 94-7  (주교동, 윤창아파트)  ",1987-09-08,1988-05-17,아파트,5,1,30,,,1817.04,0
비의무,장미아파트(가),토당동 99-54,"경기도 고양시 덕양구 지도로103번길 17 (토당동, 장미아파트) ",1987-11-03,1988-07-01,아파트,5,1,50,,,2877,0
비의무,장미아파트(다~마),토당동 99-2,"경기도 고양시 덕양구 능곡로45번길 91  (토당동, 장미아파트)  ",1988-02-10,1988-08-13,아파트,5,3,90,,,5194.32,0
비의무,영흥APT,주교동 554-1,"경기도 고양시 덕양구 원당로135번길 6  (주교동, 영흥아파트)  ",1987-10-20,1988-09-29,아파트,5,1,60,,,3553.32,0
비의무,동원아파트(6차),주교동 580-11,"경기도 고양시 덕양구 마상로102번길 5  (주교동, 동원6차아파트)  ",1988-05-20,1988-11-03,아파트,5,1,30,,,2095.2,0
비의무,신성아파트,주교동 572-0,"경기도 고양시 덕양구 원당로101번길 52-14  (주교동, 신성아파트)  ",1988-04-19,1988-12-02,아파트,5,2,80,,,5267.46,0
비의무,임창아파트,성사동 488-56,"경기도 고양시 덕양구 마상로 185  (성사동, 임창아파트)  ",1988-05-30,1988-12-12,아파트,6,2,96,,,6029.4,0
비의무,삼화그린APT(A동),성사동 494-29,"경기도 고양시 덕양구 마상로 164  (성사동, 삼화그린아파트)  ",1988-05-16,1988-12-17,아파트,5,1,70,,,4029.69,0
비의무,삼화그린APT(B동),성사동 494-5,"경기도 고양시 덕양구 마상로 162 (성사동, 삼화아파트) ",1988-05-16,1988-12-17,아파트,5,1,35,,,2390.58,0
비의무,삼림아파트,주교동 569-10,"경기도 고양시 덕양구 마상로113번길 34  (주교동, 삼림아파트)  ",1988-05-10,1988-12-27,아파트,5,1,25,,,1674.9,0
비의무,윤창아파트,덕은동 258-1,"경기도 고양시 덕양구 대덕산로 140  (덕은동, 윤창아파트)  ",1988-06-02,1989-01-25,아파트,5,1,50,,,3476.22,0
비의무,장미아파트(나),토당동 99-39,"경기도 고양시 덕양구 능곡로45번길 91 (토당동, 장미아파트)",1988-08-23,1989-03-18,아파트,5,1,45,,,2585.57,0
비의무,장미아파트,성사동 519-51,"경기도 고양시 덕양구 마상로153번길 23  (성사동, 장미아파트)  ",1988-06-07,1989-03-20,아파트,6,1,95,,,4882.99,0
비의무,장미아파트,성사동 519-53,"경기도 고양시 덕양구 호국로834번길 17  (성사동, 장미아파트)  ",1988-09-24,1989-05-17,아파트,5,1,30,,,1732.86,0
비의무,은창5차아파트,관산동 134-0,"경기도 고양시 덕양구 통일로742번길 52  (관산동, 은창5차아파트)  ",1989-04-29,1989-11-29,아파트,5,1,45,,,2856.55,0
비의무,윤창주택,행신동 634-45,"경기도 고양시 덕양구 중앙로601번길 92  (행신동, 윤창6차아파트)  ",1989-05-30,1989-12-26,아파트,6,1,54,,,3520.2,0
비의무,중앙아파트,관산동 338-39 외 1(338-4),"경기도 고양시 덕양구 통일로780번길 33  (관산동, 중앙아파트)  ",1991-06-05,1992-07-13,아파트,5,3,100,,,6840.495,0
비의무,미미아파트,성사동 404-28,"경기도 고양시 덕양구 고양대로1407번길 67  (성사동, 미미아파트)  ",1990-12-13,1992-08-28,아파트,5,4,90,,,7472.34,0
비의무,행신동부로미,행신동 205-25,"경기도 고양시 덕양구 행신로291번길 32 (행신동, 동양부로미)",1992-08-13,1993-06-05,연립주택,4,1,20,,,2265.38,0
비의무,장미8차,토당동 873,"경기도 고양시 덕양구 행당로11번길 25-6  (토당동, 장미8차아파트)  ",1992-02-19,1993-08-28,아파트,16,1,128,031-972-7324,031-970-7324,17836.36,4
비의무,행신동영진빌라,행신동 617-9,경기도 고양시 덕양구 행신로143번길 14-9 (행신동) ,1992-01-25,1994-04-18,다세대주택,4,2,20,,,870.9,0
비의무,제2127부대연립 군인아파트,벽제동 112-6,"경기도 고양시 덕양구 호국로 1895  (벽제동, 삼성벽제아파트)  ",1993-08-18,1994-06-16,공동주택,4,4,160,,,11286.62,0
비의무,윤창2차,행신동 650-78,"경기도 고양시 덕양구 행당로33번길 36  (행신동, 윤창2차아파트) ",1996-01-03,1996-05-01,아파트,15,1,102,031-938-4054,,13078.744,3
비의무,유일아파트,토당동 900-5,"경기도 고양시 덕양구 중앙로633번길 26  (토당동, 유일아파트)  ",1995-02-29,1996-08-30,아파트,7,1,40,,,4231.538,1
비의무,화성,고양동 103,"경기도 고양시 덕양구 벽제관로 45-10  (고양동, 화성아파트)  ",1995-06-07,1998-06-01,아파트,11월 23일,1,122,031-962-8954,031-962-8954,18145.794,4
비의무,서초,주교동 313-1,"경기도 고양시 덕양구 마상로75번길 12-13  (주교동, 서초아파트)  ",1996-09-13,1999-06-08,아파트,16-18,1,61,031-967-7112,,8356.2713,2
비의무,금호프라자,토당동 282-2,경기도 고양시 덕양구 토당로 115  (토당동)  ,1996-09-16,2000-05-22,주상복합,14,1,86,031-973-8374,,21231.39,3
비의무,미리내아파트,현천동 6-3,경기도 고양시 덕양구 대덕로82번길 101-1  (현천동)  ,2000-03-23,2001-02-14,아파트,5,1,30,,,2404.6,0
비의무,그린빌(시공사여지종합건설),토당동 861-1외1,"경기도 고양시 덕양구 토당로32번길 20  (토당동, 그린빌아파트)  ",1999-12-17,2001-11-22,아파트,9,1,34,,,5210.8,2
비의무,동성파크빌,고양동 12-4,"경기도 고양시 덕양구 혜음로 103-24  (고양동, 동성파크빌)  ",2001-06-01,2002-06-11,연립주택,4,1,28,,,2351.44,0
비의무,예중파크뷰,주교동 273-1,"경기도 고양시 덕양구 원당로59번길 120  (주교동, 예중파크뷰아파트)  ",2001-09-14,2004-09-01,아파트,13,1,49,031-966-6787,,6624.211,2
비의무,태웅정다움,토당동 853외4,"경기도 고양시 덕양구 지도로 90  (토당동, 태웅정다움아파트)  ",2003-06-30,2005-06-03,아파트,12,1,66,031-971-6650,,7436.8017,3
비의무,한가람,행신동 1054,"경기도 고양시 덕양구 행신로 295  (행신동, 한가람아파트)  ",2003-12-12,2005-10-04,아파트,13,1,42,070-8951-6104,,5690.9,2
비의무,세중더클래스,고양동 993,"경기도 고양시 덕양구 보광로 12  (고양동, 세중 더 클래스)  ",2010-04-23,2011-07-29,연립주택,5,1,36,,,2161.36,0
비의무,삼성타운,관산동 118-2,고양시 덕양구 통일로742번길 63-9  (관산동)  ,2011-04-11,2011-12-07,공동주택,4,2,24,,,1828.48,0
의무적,관산주공그린빌,관산동 996,"경기도 고양시 덕양구 통일로802번길 69  (관산동, 주공그린빌아파트)  ",1999-10-30,2003-10-20,아파트,15-18,16,1192,031-964-2097,031-964-2038,126124.189,37
의무적,금강KCC,토당동 80,"경기도 고양시 덕양구 토당로162번길 14  (토당동, 금강KCC아파트)  ",2001-09-27,2004-06-07,아파트,20-25,6,380,031-971-7726,031-974-7727,49036.09,9
의무적,내안애양우,토당동 250,"경기도 고양시 덕양구 토당로 131-24  (토당동, 내안애양우아파트)  ",2002-12-18,2005-06-03,아파트,19-23,5,296,031-938-2988,031-938-3988,38727.13,7
의무적,능곡1차현대홈타운,토당동 352,"경기도 고양시 덕양구 능곡로 30-12  (토당동, 현대홈타운1차아파트)  ",2000-01-07,2002-07-29,아파트,17-25,7,650,031-970-4023,031-815-4023,86292.529,15
의무적,능곡2차현대홈타운,토당동 53-44,"경기도 고양시 덕양구 능곡로13번길 16  (토당동, 현대홈타운2차아파트)  ",2000-06-10,2002-10-25,아파트,16-24,8,556,031-979-2138,031-979-2140,87310.593,13
의무적,능곡삼윤,토당동 879,"경기도 고양시 덕양구 행당로11번길 16  (토당동, 삼윤아파트)  ",1990-04-27,1991-11-30,아파트,13,2,249,031-972-4731,031-972-4731,26942.023,2
의무적,"능곡풍림아이원 1,2단지",토당동 70(60),"경기도 고양시 덕양구 지도로103번길 48  (토당동, 풍림아이원아파트)  ",1997-12-30,2002-08-31,아파트,13-19,6,445,031-938-3112,031-938-3113,85252.17,13
의무적,"달빛마을1단지(경남,극동,진덕,동부)",화정동 858,"경기도 고양시 덕양구 화중로 219  (화정동, 달빛마을1단지아파트)  ",1993-07-27,1995-11-27,아파트,14-20,20,1784,031-966-6180~1,031-966-0175,210776.54,52
의무적,달빛마을2단지(부영~211동),화정동 851,"경기도 고양시 덕양구 화중로 222  (화정동, 달빛마을2단지아파트) ",1993-10-30,1996-07-22,아파트,15-20,11,1391,031-967-4457,031-968-6004,113901.34,22
의무적,달빛마을2(라이프212동~),화정동 851,"경기도 고양시 덕양구 화중로 222  (화정동, 달빛마을2단지아파트) ",1993-10-30,1996-09-10,아파트,15-20,11,1391,031-967-8868,031-966-6206,113901.34,22
의무적,"달빛마을3단지(경남,극동,진덕,동부)",화정동 865,"경기도 고양시 덕양구 화수로 22  (화정동, 달빛마을3단지아파트)  ",1993-07-26,1995-12-12,아파트,13-20,11,856,031-964-6432,031-966-0256,103599.597,25
의무적,달빛마을4단지(현대),화정동 868,"경기도 고양시 덕양구 화중로 171  (화정동, 달빛마을4단지아파트) ",1993-07-08,1995-08-24,아파트,15-18,4,300,031-967-5306,031-966-5722,55572.86,9
의무적,대림1차(능곡대림),토당동 860외7,"경기도 고양시 덕양구 토당로32번길 11  (토당동, 대림1차아파트)  ",1993-12-30,1996-02-24,아파트,15,3,204,031-970-5857,031-972-5857,23603.77,5
의무적,대림2차(고양대림),토당동 259,"경기도 고양시 덕양구 토당로 123  (토당동, 대림아파트)  ",1994-05-21,1997-07-28,아파트,08월 15일,8,640,031-973-5535,031-817-5535,81544.25,20
의무적,더퍼스트프라임,관산동 1015,"경기도  고양시 덕양구 통일로 760 (관산동,더퍼스트프라임)",2007-09-21,2014-02-28,주상복합,20,1,272,031-963-0993,031-963-0955,60816.901,10
의무적,동문,행신동 220,"경기도 고양시 덕양구 행신로325번길 37-13  (행신동, 행신동동문아파트)  ",1998-10-15,1998-10-15,아파트,08월 20일,1,166,031-971-6575,031-971-6574,19874.588,4
의무적,동산마을 화성파크드림 PATIO,동산동 343,"경기도 고양시 덕양구 동산1로 50(동산동, 동산마을 화성파크드림 PATIO)",2015-05-08,2016-11-23,연립주택,4,16,349,02-371-0170,02-371-0172,48493.8623,44
의무적,동산마을21단지(호반베르디움(A21),동산동 344,"경기도 고양시 덕양구 동산2로 18  (동산동, 동산마을 호반베르디움) ",2009-10-14,2012-07-31,아파트,22-25,5,405,02-355-7510,02-355-7549,70867.3859,10
의무적,동산마을22단지(호반베르디움(A22),동산동 365,"경기도 고양시 덕양구 세솔로 25  (동산동, 동산마을 22단지 호반베르디움) ",2009-10-14,2012-10-02,아파트,08월 30일,18,1426,02-382-2293~5,02-382-2296,259658.0424,42
의무적,동우.벽산,행신동 653-38외7,"경기도 고양시 덕양구 행당로 34-20  (행신동, 벽산아파트)  ",1997-02-05,2000-01-18,아파트,10월 25일,1,214,031-978-9398,031-811-9398,24491.955,4
의무적,무원마을1단지(부영),행신동 773,"경기도 고양시 덕양구 화신로 47  (행신동, 무원마을1단지아파트)  ",1993-04-23,1995-05-13,아파트,14-15,6,662,031-974-9170,031-974-9171,71978.186,12
의무적,무원마을2단지(삼보),행신동 771,"경기도 고양시 덕양구 화신로 33  (행신동, 무원마을2단지아파트)  ",1993-02-18,1994-11-05,아파트,15,6,330,031-970-4339,031-812-4339,49823.384,11
의무적,무원마을3단지(동신),행신동 769,"경기도 고양시 덕양구 용현로 20  (행신동, 무원마을3단지아파트)  ",1992-06-05,1994-05-27,아파트,15,4,330,031-970-0568,031-971-5231,48807.78,11
의무적,"무원마을5단지(쌍용,한진)",행신동 767,"경기도 고양시 덕양구 용현로 10  (행신동, 무원마을5단지아파트)  ",1993-02-15,1995-04-29,아파트,14-15,10,636,031-972-2920,031-979-4731,101802.723,22
의무적,무원마을6단지(두산),행신동 702,"경기도 고양시 덕양구 소원로 47  (행신동, 무원마을6단지아파트)  ",1992-12-29,1994-12-25,아파트,15,10,688,031-970-2028,031-974-2070,78435.664,23
의무적,무원마을7단지(신우),행신동 699,"경기도 고양시 덕양구 소원로 41  (행신동, 무원마을7단지아파트)  ",1993-02-25,1994-12-14,아파트,13-15,4,276,031-970-5991,031-811-8778,31159.32,10
의무적,무원마을8단지(신안,행신동 700,"경기도 고양시 덕양구 무원로 17  (행신동, 무원마을8단지아파트)  ",1993-03-08,1994-12-10,아파트,14-15,3,328,031-970-6413,031-970-6013,54299.19,11
의무적,무원마을9(기산),행신동 697,"경기도 고양시 덕양구 무원로 41  (행신동, 무원마을9단지아파트)  ",1993-02-16,1994-11-25,아파트,11월 15일,7,396,031-970-5212,031-970-5681,64243.778,14
의무적,벽산,주교동 350-1외19,"경기도 고양시 덕양구 마상로57번길 58  (주교동, 벽산아파트)  ",1997-02-05,1999-11-27,아파트,13-25,3,283,031-966-5643,031-966-5653,40085.19,7
의무적,별빛마을10단지(건영),화정동 951,"경기도 고양시 덕양구 화신로 291  (화정동, 별빛마을10단지아파트)  ",1993-09-27,1996-05-30,아파트,10월 20일,13,1080,031-978-6497,031-978-6498,124588.005,35
의무적,"별빛마을7단지(청구,현대)",화정동 953,"경기도 고양시 덕양구 화신로 340  (화정동, 별빛마을7단지아파트)",1993-07-23,1995-11-10,아파트,15-20,16,1136,031-971-8525,031-812-8527,152046.97,34
의무적,별빛마을8단지(부영),화정동 952,"경기도 고양시 덕양구 화신로 298  (화정동, 별빛마을8단지아파트) ",1993-07-22,1995-11-13,아파트,14-20,10,1232,031-971-8366,031-971-8367,103843.3561,20
의무적,"별빛마을9단지(기산,한일,벽산,코롱)",화정동 948,"경기도 고양시 덕양구 화신로 311  (화정동, 별빛마을9단지아파트)  ",1993-07-23,1995-11-10,아파트,12월 20일,24,2008,031-971-8578~9,031-971-8580,242423.467,60
