"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"일산1동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산서구 원일로 55,경기도 고양시 일산서구 일산동 963-6,경기도 고양시 일산서구청,031-8075-7062,37.68723932,126.768574,2019-11-12
"일산2동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산서구 고봉로 283,경기도 고양시 일산서구 일산동 1679,경기도 고양시 일산서구청,031-8075-7062,37.68462149,126.7771795,2019-11-12
"일산3동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산서구 강선로 158,경기도 고양시 일산서구 일산동 1100,경기도 고양시 일산서구청,031-8075-7062,37.676982,126.770279,2019-11-12
"장항1동주민센터",민원실+2층 회의실 및 주민자치실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 장항로 225번길 72,경기도 고양시 일산동구 장항동 578-2,경기도 고양시 일산동구청,031-8075-6062,37.641622,126.7705279,2019-11-12
"장항2동주민센터",민원실+2층 대회의실 및 주민자치위원실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 노루목로 114,경기도 고양시 일산동구 장항동 900,경기도 고양시 일산동구청,031-8075-6062,37.64988189,126.778303,2019-11-12
"정발산동주민센터",민원실+2층 도담도담갤러리 + 3층 + 4층,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 일산동구 일산로 422,경기도 고양시 일산동구 정발산동 1212,경기도 고양시 일산동구청,031-8075-6062,37.672467,126.779859,2019-11-12
"주교동주민센터",민원실 + 2층 복도,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 덕양구 고양대로 1315번길 71,경기도 고양시 덕양구 주교동 265-1,경기도 고양시 덕양구청,031-8075-5062,37.659417,126.8296181,2019-11-12
"주엽1동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등) +3층",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 일산서구 강성로 109,경기도 고양시 일산서구 주엽동 69,경기도 고양시 일산서구청,031-8075-7062,37.670111,126.7632948,2019-11-12
"주엽2동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등) +3층",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 일산서구 주엽로 178,경기도 고양시 일산서구 주엽동 27,경기도 고양시 일산서구청,031-8075-7062,37.674137,126.760421,2019-11-12
"중산동주민센터","민원실(2층)+3층 복도(갤러리쉼터,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 중산로 224,경기도 고양시 일산동구 중산동 1573-4,경기도 고양시 일산동구청,031-8075-6062,37.691807,126.780451,2019-11-12
"창릉동주민센터","민원실+2층 복도(문화강좌,전산교육장) +3층+4층+5층",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 덕양구 고양대로 1984,경기도 고양시 덕양구 동산동 46,경기도 고양시 덕양구청,031-8075-5062,37.64664511,126.8993538,2019-11-12
"탄현동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산서구 홀트로 36,경기도 고양시 일산서구 탄현동 1488-3,경기도 고양시 일산서구청,031-8075-7062,37.69431711,126.768425,2019-11-12
"풍산동주민센터",민원실+2층 문화센터 강의실 및 회의실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 숲속마을1로 36,경기도 고양시 일산동구 풍동 349-16,경기도 고양시 일산동구청,031-8075-6062,37.66408383,126.7998632,2019-11-12
"행신1동주민센터",민원실 +2층,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 덕양구 중앙로 541-12,경기도 고양시 덕양구 행신동 992,경기도 고양시 덕양구청,031-8075-5062,37.62231941,126.8358877,2019-11-12
"행신2동주민센터",민원실+3층 다목적실(원어민교실 등) +2층,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2019-07,경기도 고양시 덕양구 충경로 30,경기도 고양시 덕양구 행신동 717,경기도 고양시 덕양구청,031-8075-5062,37.61516517,126.8330311,2019-11-12
"행신3동주민센터","민원실+2층 복도(갤러리쉼터,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 중앙로558번길 78,경기도 고양시 덕양구 행신동 933,경기도 고양시 덕양구청,031-8075-5062,37.626342,126.838589,2019-11-12
"행주동주민센터",민원실+2층 전산교육장,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 지도로14번길 11,경기도 고양시 덕양구 토당동 885-9,경기도 고양시 덕양구청,031-8075-5062,37.618437,126.8252989,2019-11-12
"흥도동주민센터",민원실+별동 대회의실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 흥도로454번길 44,경기도 고양시 덕양구 성사동 34-1,경기도 고양시 덕양구청,031-8075-5062,37.64496196,126.8543435,2019-11-12
"화전동주민센터","민원실+2층(소회의실,전산교육장 등)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 중앙로 131,경기도 고양시 덕양구 화전동 226-13,경기도 고양시 덕양구청,031-8075-5062,37.600038,126.872631,2019-11-12
"화정1동주민센터",민원실+2층 문화사랑방,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 화중로 197,경기도 고양시 덕양구 화정동 864,경기도 고양시 덕양구청,031-8075-5062,37.644653,126.8334681,2019-11-12
"화정2동주민센터",민원실+2층 강의실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 화신로 232,경기도 고양시 덕양구 화정동 994,경기도 고양시 덕양구청,031-8075-5062,37.630507,126.835761,2019-11-12
"효자동주민센터",민원실+주민자치회의실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 북한산로387번길 21,경기도 고양시 덕양구 효자동 140-6,경기도 고양시 덕양구청,031-8075-5062,37.66158654,126.9490948,2019-11-12
"호수공원",야외공연장,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",주제광장 정자,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",한울광장 시계탑,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",호수교 밑 쉼터,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",화장실 전시관,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",노래하는분수대 매점,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2017-12,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",노래하는분수대 화장실,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2017-12,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",자연학습장,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2017-12,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",전통정원~초화원,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2017-12,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",선인장전시관,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2017-12,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",화장실 전시관2,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2017-12,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",호수교 밑 쉼터2,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2017-12,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"호수공원",폭포광장,경기도,고양시,기타,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2017-12,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,경기도 고양시청,031-8075-2608,37.65384593,126.7687814,2019-11-12
"시정연수원","1층+1층(교육장1), 2층(교육장2), 2층(교육장3)",경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2017-12,경기도 고양시 덕양구 행주산성로 93-38,경기도 고양시 덕양구 행주외동 145,경기도 고양시청,1588-9010,37.59804061,126.8193223,2019-11-12
"고양시청",민원실,경기도,고양시,관공서,KT,"G_PublicWifi_Goyang, PublicWifi_Goyang",2015-06,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600,경기도 고양시청,031-8075-2608,37.6584145,126.8319597,2019-11-12
"고양시대화노인종합복지관",B1~3층,경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 일산서구 일산로 778,경기도 고양시 일산서구 대화동 2237,KT,1588-9010,37.67447576,126.7481596,2019-11-12
"고양시덕양노인종합복지관",B1~4층,경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 덕양구 어울림로 49,경기도 고양시 덕양구 화정동 846,KT,1588-9010,37.64849256,126.8368591,2019-11-12
"고양시문촌7종합사회복지관",B1~3층,경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 일산서구 킨텍스로 340,경기도 고양시 일산서구 주엽동 14,KT,1588-9010,37.67449051,126.7551648,2019-11-12
"고양시민방위교육장",1~2층,경기도,고양시,관공서,KT,Public Wifi Free,2015-12,경기도 고양시 덕양구 화신로214,경기도 고양시 덕양구 행신동 892,KT,1588-9010,37.630311,126.8377597,2019-11-12
"고양시삼송동복지회관",B1~4층,경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 덕양구 삼송로 180,경기도 고양시 덕양구 삼송동 30-50,KT,1588-9010,37.653105,126.8939085,2019-11-12
"고양시여성회관",고양시여성회관,경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 덕양구 용현로 48,경기도 고양시 덕양구 행신동 774,KT,1588-9010,37.617252,126.8362024,2019-11-12
"고양시원당종합사회복지관",B1~3층,경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 덕양구 호국로 716번길 13-11,경기도 고양시 덕양구 성사동 736-2,KT,1588-9010,37.651585,126.8328635,2019-11-12
"고양시일산종합복지관",B1~4층,경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 일산서구 고양대로 654,경기도 고양시 일산서구 일산동 620-3,KT,1588-9010,37.684539,126.7685049,2019-11-12
"고양시장애인종합복지관",B1~3층,경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 일산서구 탄현로 139,경기도 고양시 일산서구 탄현동 111-1,KT,1588-9010,37.70322195,126.7645776,2019-11-12
"고양시재활스포츠센터",B1~2층,경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 일산서구 탄현로 139,경기도 고양시 일산서구 탄현동 111-1,KT,1588-9010,37.70322195,126.7645776,2019-11-12
"고양시화전동복지회관","B1,2층",경기도,고양시,서민·복지시설,KT,Public Wifi Free,2015-12,경기도 고양시 덕양구 화랑로 1-1,경기도 고양시 덕양구 화전동 226-6,KT,1588-9010,37.599429,126.8727726,2019-11-12
"덕양구청여권민원실",4층,경기도,고양시,관공서,KT,Public Wifi Free,2015-12,경기도 고양시 덕양구 화중로 104번길 13,경기도 고양시 덕양구 화정동 955,KT,1588-9010,37.63746533,126.8322924,2019-11-12
"홀트장애인종합체육관",1층,경기도,고양시,기타,KT,Public Wifi Free,2015-12,경기도 고양시 일산서구 탄현로 42,경기도 고양시 일산서구 탄현동 41-1,KT,1588-9010,37.69524843,126.7747712,2019-11-12
"화정역광장",화정역광장,경기도,고양시,교통시설,KT,Public Wifi Free,2015-12,경기도 고양시 덕양구 화신로272번길 58,경기도 고양시 덕양구 화정동 972,KT,1588-9010,37.633616,126.8321149,2019-11-12
"가좌도서관",자료실+휴게실+열람실,경기도,고양시,관공서,KT,Gajwa_library_wifi,2016-10,경기도 고양시 일산서구 가좌3로 16,경기도 고양시 일산서구 가좌동 388-24,경기도 고양시 도서관센터,031-8075-9028,37.686136,126.7202987,2019-11-12
CGV 일산,CGV 일산,경기도,고양시,지역문화시설,LGU+,Public Wifi Free,2017-12,경기도 고양시 일산동구 정발산로 24,경기도 고양시 일산동구 장항동 868,LGU+,1544-8585,37.65589569,126.7720388,2019-11-12
LG 서비스센터,LG 서비스센터 정발산동,경기도,고양시,기타,LGU+,Public Wifi Free,2016-12,경기도 고양시 일산서구 중앙로 1371,경기도 고양시 일산서구 주엽동 81,LGU+,1544-8585,37.66712343,126.7654714,2019-11-12
"고양시 차량등록사업소",민원실,경기도,고양시,관공서,KT,Public WiFi Free,2015-12,경기도 고양시 일산동구 백마로 539,경기도 고양시 일산동구 풍동 162-2,KT,1588-9010,37.66586285,126.807775,2019-11-12
"고양시청",본관+신관,경기도,고양시,관공서,KT,Public WiFi Free,2017-12,경기도 고양시 덕양구 고양시청로 10,경기도 고양시 덕양구 주교동 600,KT,1588-9010,37.6584145,126.8319597,2019-11-12
"고양열린청소년쉼터",고양열린청소년쉼터,경기도,고양시,서민·복지시설,SKT,Public Wifi Free,2017-12,경기도 고양시 일산서구 현중로 26번길 37-9,경기도 고양시 일산서구 탄현동 1498-7,SKT,080-816-2000,37.693839,126.769918,2019-11-12
"고양터미널","B1,1층",경기도,고양시,교통시설,SKT,Public Wifi Free,2017-12,경기도 고양시 일산동구 중앙로 1036,경기도 고양시 일산동구 백석동 1242,SKT,080-816-2000,37.64317774,126.7896628,2019-11-12
"김선영헤어샵",김선영헤어샵,경기도,고양시,기타,SKT,Public Wifi Free,2016-12,경기도 고양시 덕양구 고양대로 1381,경기도 고양시 덕양구 성사동 703-8,SKT,080-816-2000,37.654505,126.8375937,2019-11-12
"남정씨티프라자8차",남정씨티프라자8차,경기도,고양시,기타,SKT,Public Wifi Free,2016-12,경기도 고양시 일산동구 무궁화로 31-16,경기도 고양시 일산동구 장항동 733-2,SKT,080-816-2000,37.66349104,126.7674685,2019-11-12
"고양축산농협 고양동지점",고양축산농협 고양동지점,경기도,고양시,기타,KT,Public Wifi Free,2016-12,경기도 고양시 덕양구 푸른마을로 6,경기도 고양시 덕양구 고양동 721,KT,1588-9010,37.70890572,126.9028927,2019-11-12
"능곡성당",본관,경기도,고양시,기타,KT,Public Wifi Free,2016-12,경기도 고양시 덕양구 토당로78번길 7-14,경기도 고양시 덕양구 토당동 292-39,KT,1588-9010,37.623022,126.8196742,2019-11-12
"대화도서관",자료실+휴게실+열람실,경기도,고양시,관공서,SKT,Public WiFi Free,2013-12,경기도 고양시 일산서구 일산로 689,경기도 고양시 일산서구 대화동 2103,SKT,080-816-2000,37.68102185,126.753928,2019-11-12
"덕양구청",민원실,경기도,고양시,관공서,SKT,Public WiFi Free,2013-12,경기도 고양시 덕양구 화중로104번길 13,경기도 고양시 덕양구 화정동 955,경기도 고양시 덕양구청,031-8075-5062,37.63746533,126.832298,2019-11-12
"덕이도서관",자료실+휴게실+열람실,경기도,고양시,관공서,"SKT, LGU+",Public WiFi Free,2013-12,경기도 고양시 일산서구 하이파크로 128,경기도 고양시 일산서구 덕이동 1533,SKT,080-816-2000,37.702949,126.754554,2019-11-12
"롯데리아",롯데리아 고양동,경기도,고양시,기타,LGU+,Public Wifi Free,2017-12,경기도 고양시 덕양구 푸른마을로 34-6,경기도 고양시 덕양구 고양동 682 (동선빌딩),LGU+,1544-8585,37.710302,126.9051451,2019-11-12
"마두도서관",자료실+휴게실+열람실,경기도,고양시,관공서,"SKT, KT",Public WiFi Free,2013-12,경기도 고양시 일산동구 일산로 355,경기도 고양시 일산동구 마두동 1112,SKT,080-816-2000,37.66671557,126.7820569,2019-11-12
"밤골탐방안내소",밤골탐방안내소,경기도,고양시,기타,KT,Public Wifi Free,2016-12,경기도 고양시 덕양구 지축동 13,경기도 고양시 덕양구 지축동 13,KT,1588-9010,37.669347,126.900061,2019-11-12
"백석도서관",자료실+휴게실+열람실,경기도,고양시,관공서,"SKT, KT",Public WiFi Free,2013-12,경기도 고양시 일산동구 일산로 118,경기도 고양시 일산동구 백석동 1231,SKT,080-816-2000,37.647275,126.793658,2019-11-12
"사기막탐방안내소",사기막탐방안내소,경기도,고양시,기타,KT,Public Wifi Free,2016-12,경기도 고양시 덕양구 효자동 35,경기도 고양시 덕양구 효자동 35,KT,1588-9010,37.679068,126.958903,2019-11-12
"삼성전자서비스㈜고양",삼성전자서비스㈜고양,경기도,고양시,기타,LGU+,Public Wifi Free,2017-12,경기도 고양시 덕양구 화중로 48,경기도 고양시 덕양구 화정동 984-2,LGU+,1544-8585,37.63144069,126.8305703,2019-11-12
"삼송도서관",자료실+휴게실+열람실,경기도,고양시,관공서,KT,Public WiFi Free,2015-12,경기도 고양시 덕양구 덕수천1로 73,경기도 고양시 덕양구 삼송동 321,KT,1588-9010,37.648885,126.8848539,2019-11-12
"식사도서관",자료실+휴게실+열람실,경기도,고양시,관공서,KT,Public WiFi Free,2015-12,경기도 고양시 일산동구 위시티2로 43-6,경기도 고양시 일산동구 식사동 1234-3,KT,1588-9010,37.67621201,126.8159725,2019-11-12
"신원도서관",자료실+휴게실+열람실,경기도,고양시,관공서,KT,Public WiFi Free,2015-12,경기도 고양시 덕양구 신원2로 24,경기도 고양시 덕양구 신원동 607,KT,1588-9010,37.666381,126.8863592,2019-11-12
"아나파치과",아나파치과 백석동,경기도,고양시,기타,SKT,Public Wifi Free,2016-12,경기도 고양시 일산동구 중앙로 1047,경기도 고양시 일산동구 백석동 1331-1,SKT,080-816-2000,37.64310845,126.7871975,2019-11-12
"아람누리도서관",자료실+휴게실+열람실,경기도,고양시,관공서,"SKT, KT",Public WiFi Free,2013-12,경기도 고양시 일산동구 중앙로 1286,경기도 고양시 일산동구 마두동 817,SKT,080-816-2000,37.66148641,126.7744561,2019-11-12
"에이스 스타디움",에이스 스타디움,경기도,고양시,기타,SKT,Public Wifi Free,2016-12,경기도 고양시 일산서구 고봉로 291,경기도 고양시 일산서구 일산동 555-1,SKT,080-816-2000,37.68523787,126.7772366,2019-11-12
"원당도서관",자료실+휴게실+열람실,경기도,고양시,관공서,KT,Public WiFi Free,2013-12,경기도 고양시 덕양구 호국로790번길 49-9,경기도 고양시 덕양구 성사동 369-7,KT,1588-9010,37.656247,126.8388592,2019-11-12
"원당시장",전체,경기도,고양시,기타,KT,Public WiFi Free,2014-12,경기도 고양시 덕양구 호국로790번길 17,경기도 고양시 덕양구 성사동 697-14,KT,1588-9010,37.656285,126.8372545,2019-11-12
"일산노인종합복지관",전체,경기도,고양시,서민·복지시설,KT,Public WiFi Free,2014-12,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906,KT,1588-9010,37.664446,126.760443,2019-11-12
"일산백병원",일산백병원,경기도,고양시,기타,LGU+,Public Wifi Free,2016-12,경기도 고양시 일산서구 주화로 170,경기도 고양시 일산서구 대화동 2240,LGU+,1544-8585,37.674228,126.750382,2019-11-12
"일산복음병원",일산복음병원,경기도,고양시,기타,LGU+,Public Wifi Free,2016-12,경기도 고양시 일산동구 고양대로 760,경기도 고양시 일산동구 중산동 186-2,LGU+,1544-8585,37.68191669,126.7800217,2019-11-12
"일산서구보건소",전체,경기도,고양시,관공서,KT,Public WiFi Free,2014-12,경기도 고양시 일산서구 일중로 54,경기도 고양시 일산서구 일산동 1680-6,KT,1588-9010,37.6844747,126.7757878,2019-11-12
