"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"백석2동행정복지센터 3층 회의실",백석2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 일산동구 장백로 72(백석동),경기도 고양시 일산동구 백석동 1339번지,경기도 고양시청,백석2동행정복지센터,031-8075-6843,http://www.goyang.go.kr/kr/facilities/main.do,37.6439053,126.7854955506,2019-01-01
"백석2동행정복지센터 4층 다목적실",백석2동행정복지센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산동구 장백로 72(백석동),경기도 고양시 일산동구 백석동 1339번지,경기도 고양시청,백석2동행정복지센터,031-8075-6843,http://www.goyang.go.kr/kr/facilities/main.do,37.6439053,126.7854955506,2019-01-01
"공릉천문화체육공원",공릉천문화체육공원,다목적경기장,연중무휴,09:00,18:00,00:00,00:00,N,,,,,1000,,,방문+전화,,경기도 고양시 덕양구 대자동 1214,경기도 고양시 덕양구 대자동 1214,경기도 고양시청,산업위생과,031-8075-5443,http://www.goyang.go.kr/kr/facilities/main.do,37.7088749974,126.8809699016,2019-01-01
"장항1동행정복지센터 체력단련실",장항1동행정복지센터,체육관,주말,09:00,18:00,00:00,00:00,N,,,,,10,,,방문+전화,,경기도 고양시 일산동구 장항로225번길 72(장항동),경기도 고양시 일산동구 장항동 578-2번지,경기도 고양시청,장항1동주민센터,031-8075-6912,http://www.goyang.go.kr/kr/facilities/main.do,37.6416284199,126.7705278949,2019-01-01
"장항1동행정복지센터 회의실",장항1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 일산동구 장항로225번길 72(장항동),경기도 고양시 일산동구 장항동 578-2번지,경기도 고양시청,장항1동주민센터,031-8075-6912,http://www.goyang.go.kr/kr/facilities/main.do,37.6416284199,126.7705278949,2019-01-01
"장항2동행정복지센터 대회의실",장항2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 일산동구 노루목로 114(장항동),경기도 고양시 일산동구 장항동 900번지,경기도 고양시청,장항2동행정복지센터,031-8075-6940,http://www.goyang.go.kr/kr/facilities/main.do,37.649855,126.7783022,2019-01-01
"송포동행정복지센터 강의실",송포동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산서구 대화로 143(송포동),경기도 고양시 일산서구 대화동 767-2번지,경기도 고양시청,송포동행정복지센터,031-8075-7921,http://www.goyang.go.kr/kr/facilities/main.do,37.6714242624,126.7354521455,2019-01-01
"장항2동행정복지센터 4층1강의실",장항2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,15,,,방문+전화,,경기도 고양시 일산동구 노루목로 114,경기도 고양시 일산동구 장항동 900,경기도 고양시청,장항2동행정복지센터,031-8075-6941,http://www.goyang.go.kr/kr/facilities/main.do,37.6498818926,126.7783167932,2019-01-01
"정발산동행정복지센터 2층-컴퓨터실",정발산동행정복지센터,기타,주말,09:00,18:00,00:00,00:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산동구 일산로 422(정발산동),경기도 고양시 일산동구 정발산동 1212번지,경기도 고양시청,정발산동행정복지센터,031-8075-6762,http://www.goyang.go.kr/kr/facilities/main.do,37.672418,126.7798149,2019-01-01
"정발산동행정복지센터 3층-다목적1실",정발산동행정복지센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산동구 일산로 422(정발산동),경기도 고양시 일산동구 정발산동 1212번지,경기도 고양시청,정발산동행정복지센터,031-8075-6762,http://www.goyang.go.kr/kr/facilities/main.do,37.672418,126.7798149,2019-01-01
"주교동행정복지센터 회의실",주교동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,50,,,방문+전화,,경기도 고양시 덕양구 고양대로 1315번길 71(주교동),경기도 고양시 덕양구 주교동 265-1번지,경기도 고양시청,주교동행정복지센터,031-8075-5652,http://www.goyang.go.kr/kr/facilities/main.do,37.6594417,126.8296021,2019-01-01
"주엽1동행정복지센터 강의실",주엽1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,25,,,방문+전화,,경기도 고양시 일산서구 강성로 109(주엽동),경기도 고양시 일산서구 주엽동 69번지,경기도 고양시청,주엽1동행정복지센터,031-8075-7823,http://www.goyang.go.kr/kr/facilities/main.do,37.6701175426,126.7632792,2019-01-01
"주엽2동행정복지센터 2층 회의실",주엽2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산서구 주엽로 178,경기도 고양시 일산서구 주엽동 27,경기도 고양시청,주엽2동행정복지센터,031-8075-7855,http://www.goyang.go.kr/kr/facilities/main.do,37.6741158054,126.7604800159,2019-01-01
"식사동행정복지센터 5층 대강당",식사동행정복지센터,강당,주말,09:00,18:00,00:00,00:00,N,,,,,80,,,방문+전화,,경기도 고양시 일산동구 위시티2로11번길 22-21,경기도 고양시 일산동구 식사동 1536번지,경기도 고양시청,식사동행정복지센터,031-8075-6702,http://www.goyang.go.kr/kr/facilities/main.do,37.67734008,126.8137071,2019-01-01
"삼송동행정복지센터 회의실",삼송동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 원흥1로 48(원흥동),경기도 고양시 덕양구 원흥동620번지,경기도 고양시청,삼송동행정복지센터,031-8075-5758,http://www.goyang.go.kr/kr/facilities/main.do,37.65126874,126.869671,2019-01-01
"송포동행정복지센터 다목적실",송포동행정복지센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,50,,,방문+전화,,경기도 고양시 일산서구 대화로 143(송포동),경기도 고양시 일산서구 대화동 767-2번지,경기도 고양시청,송포동행정복지센터,031-8075-7921,http://www.goyang.go.kr/kr/facilities/main.do,37.6714242624,126.7354521455,2019-01-01
"송포동행정복지센터 전산/어학실",송포동행정복지센터,기타,주말,09:00,18:00,00:00,00:00,N,,,,,12,,,방문+전화,,경기도 고양시 일산서구 대화로 143(송포동),경기도 고양시 일산서구 대화동 767-2번지,경기도 고양시청,송포동행정복지센터,031-8075-7921,http://www.goyang.go.kr/kr/facilities/main.do,37.6714242624,126.7354521455,2019-01-01
"한뫼도서관 교양교실2",한뫼도서관,회의실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산서구 탄중로 284(일산동),경기도 고양시 일산서구 일산동 1558번지,경기도 고양시청,한뫼도서관,031-8075-9101,http://www.goyang.go.kr/kr/facilities/main.do,37.6935574263,126.7762593235,2019-01-01
"한뫼도서관 시청각실",한뫼도서관,다목적실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,156,,,방문+전화,,경기도 고양시 일산서구 탄중로 284(일산동),경기도 고양시 일산서구 일산동 1558번지,경기도 고양시청,한뫼도서관,031-8075-9101,http://www.goyang.go.kr/kr/facilities/main.do,37.6935574263,126.7762593235,2019-01-01
"행신1동행정복지센터 3층 강의실",행신1동행정복지센터,회의실,주말,09:00,18:00,09:00,18:00,N,,,,,20,,,방문+전화,,경기도 고양시 덕양구 중앙로 541-12(행신동),경기도 고양시 덕양구 행신동 992번지,경기도 고양시청,행신1동행정복지센터,031-8075-5908,http://www.goyang.go.kr/kr/facilities/main.do,37.6223194134,126.835873,2019-01-01
"행신1동행정복지센터지층강의실",행신1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,20,,,방문+전화,,경기도 고양시 덕양구 중앙로 541-12(행신동),경기도 고양시 덕양구 행신동 992번지,경기도 고양시청,행신1동행정복지센터,031-8075-5908,http://www.goyang.go.kr/kr/facilities/main.do,37.6223194134,126.835873,2019-01-01
"고봉동행정복지센터 회의실",고봉동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 일산동구 성현로 397-18(고봉동),경기도 고양시 일산동구 문봉동 57-4번지,경기도 고양시청,고봉동행정복지센터,031-8075-6964,http://www.goyang.go.kr/kr/facilities/main.do,37.7019103912,126.8271617,2019-01-01
"고양동행정복지센터 회의실",고양동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,25,,,방문+전화,,경기도 고양시 덕양구 벽제관로 5(고양동),경기도 고양시 덕양구 고양동 195-1번지,경기도 고양시청,고양동행정복지센터,031-8075-5787,http://www.goyang.go.kr/kr/facilities/main.do,37.7033527984,126.9037252300,2019-01-01
"고양시 민방위교육장",시민안전과,강당,연중무휴,09:00,18:00,09:00,18:00,Y,,,,,500,,,방문+전화,,경기도 고양시 덕양구 화신로 214(행신동),경기도 고양시 덕양구 행신동 892번지,경기도 고양시청,시민안전과,031-8075-3048,http://www.goyang.go.kr/kr/facilities/main.do,37.6303103,126.8377312,2019-01-01
"관산동행정복지센터 회의실",관산동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,45,,,방문+전화,,경기도 고양시 덕양구 통일로 789 (관산동),경기도 고양시 덕양구 관산동 238-1번지,경기도 고양시청,관산동행정복지센터,031-8075-5820,http://www.goyang.go.kr/kr/facilities/main.do,37.6880134094,126.862594,2019-01-01
"능곡동행정복지센터 회의실",능곡동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 토당로 83(토당동),경기도 고양시 덕양구 토당동 335-4번지,경기도 고양시청,능곡동행정복지센터,031-8075-5830,http://www.goyang.go.kr/kr/facilities/main.do,37.6226723,126.818099,2019-01-01
"화전동행정복지센터 영화감상실",화전동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,25,,,방문+전화,,경기도 고양시 덕양구 화중로 197(화정동),경기도 고양시 덕양구 화정동 864번지,경기도 고양시청,화전동행정복지센터,031-8075-5979,http://www.goyang.go.kr/kr/facilities/main.do,37.6446383,126.8334547,2019-01-01
"화정1동행정복지센터 꽃우물사랑방",화정1동행정복지센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,15,,,방문+전화,,경기도 고양시 덕양구 화중로 197(화정동),경기도 고양시 덕양구 화정동 864번지,경기도 고양시청,화정1동행정복지센터,031-8075-5847,http://www.goyang.go.kr/kr/facilities/main.do,37.6446383,126.8334547,2019-01-01
"화정2동행정복지센터 3층 회의실",화정2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산서구 주엽로 104(주엽동),경기도 고양시 일산서구 주엽동 122번지,경기도 고양시청,화정2동행정복지센터,031-8075-5869,http://www.goyang.go.kr/kr/facilities/main.do,37.6684639386,126.7565039209,2019-01-01
"주엽어린이도서관 동아리실",주엽어린이도서관,회의실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,10,,,방문+전화,,경기도 고양시 일산서구 주엽로 104(주엽동),경기도 고양시 일산서구 주엽동 122번지,경기도 고양시청,주엽어린이도서관,031-8075-9163,http://www.goyang.go.kr/kr/facilities/main.do,37.6684639386,126.7565039209,2019-01-01
"화정도서관 교양교실",화정도서관,회의실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,48,,,방문+전화,,경기도 고양시 덕양구 은빛로77번길 8(화정동),경기도 고양시 덕양구 화정동 873번지,경기도 고양시청,화정도서관,031-8075-9203,http://www.goyang.go.kr/kr/facilities/main.do,37.6378039,126.8371044221,2019-01-01
"화정도서관 시청각실",화정도서관,다목적실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,120,,,방문+전화,,경기도 고양시 덕양구 화신로 323(화정동),경기도 고양시 덕양구 화정동 945번지,경기도 고양시청,화정도서관,031-8075-9203,http://www.goyang.go.kr/kr/facilities/main.do,37.6328003,126.8263176,2019-01-01
"신원도서관 교양교실",신원도서관,다목적실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 신원2로 24(신원동),경기도 고양시 덕양구 신원동 607번지,경기도 고양시청,신원도서관,031-8075-9335,http://www.goyang.go.kr/kr/facilities/main.do,37.6663621,126.8863592087,2019-01-01
"여성회관 대강당",여성회관,강당,일요일,09:00,18:00,00:00,00:00,Y,,,,,400,,,방문+전화,,경기도 고양시 덕양구 용현로 48(행신동),경기도 고양시 덕양구 행신동 774번지,경기도 고양시청,여성회관,031-8075-4623,http://www.goyang.go.kr/kr/facilities/main.do,37.6172529,126.8362024106,2019-01-01
"아람누리도서관 전시홀",도서관센터 운영과,전시실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,50,,,방문+전화,,경기도 고양시 일산동구 중앙로 1286(마두동),경기도 고양시 일산동구 마두동 816번지,경기도 고양시청,도서관센터 운영과,031-8075-9033,http://www.goyang.go.kr/kr/facilities/main.do,37.6614864116,126.7744561364,2019-01-01
"백석1동행정복지센터 대회의실",백석1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,40,,,방문+전화,,경기도 고양시 일산동구 일산로 145(백석동),경기도 고양시 일산동구 백석동 1147번지,경기도 고양시청,백석1동행정복지센터,031-8075-6813,http://www.goyang.go.kr/kr/facilities/main.do,37.649602,126.792435,2019-01-01
"덕양구청 소회의실",덕양구 자치행정과,회의실,주말,09:00,21:00,00:00,00:00,N,,,,,70,,,방문+전화,,경기도 고양시 덕양구 화중로 104번길 13(화정동),경기도 고양시 덕양구 화정동 955번지,경기도 고양시청,덕양구 자치행정과,031-8075-5039,http://www.goyang.go.kr/kr/facilities/main.do,37.6374653264,126.8322923526,2019-01-01
"고양동운동장",고양동운동장,다목적경기장,연중무휴,09:00,18:00,00:00,00:00,N,,,,,1000,,,방문+전화,,경기도 고양시 덕양구 대자동 472,경기도 고양시 덕양구 대자동 472,경기도 고양시청,산업위생과,031-8075-5443,http://www.goyang.go.kr/kr/facilities/main.do,37.6937829953,126.8962743059,2019-01-01
"정발산동행정복지센터 3층-다목적3실",정발산동행정복지센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,12,,,방문+전화,,경기도 고양시 일산동구 일산로 422(정발산동),경기도 고양시 일산동구 정발산동 1212번지,경기도 고양시청,정발산동행정복지센터,031-8075-6762,http://www.goyang.go.kr/kr/facilities/main.do,37.672418,126.7798149,2019-01-01
"주엽2동행정복지센터 2층 강의실",주엽2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,10,,,방문+전화,,경기도 고양시 일산서구 주엽로 178,경기도 고양시 일산서구 주엽동 27,경기도 고양시청,주엽2동행정복지센터,031-8075-7855,http://www.goyang.go.kr/kr/facilities/main.do,37.6741158054,126.7604800159,2019-01-01
"송포동행정복지센터 솔향기쉼터",송포동행정복지센터,기타,주말,09:00,18:00,00:00,00:00,N,,,,,10,,,방문+전화,,경기도 고양시 일산서구 대화로 143(송포동),경기도 고양시 일산서구 대화동 767-2번지,경기도 고양시청,송포동행정복지센터,031-8075-7921,http://www.goyang.go.kr/kr/facilities/main.do,37.6714242624,126.7354521455,2019-01-01
"대덕동행정복지센터 회의실",대덕동행정복지센터 회의실,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 중앙로 131(화전동),경기도 고양시 덕양구 화전동 226-13번지,경기도 고양시청,대덕동행정복지센터 회의실,031-8075-5986,http://www.goyang.go.kr/kr/facilities/main.do,37.6000383135,126.8726169,2019-01-01
"화정1동행정복지센터 회의실",화정1동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,50,,,방문+전화,,경기도 고양시 덕양구 화신로 232(화정동),경기도 고양시 덕양구 화정동 994번지,경기도 고양시청,화정1동행정복지센터,031-8075-5847,http://www.goyang.go.kr/kr/facilities/main.do,37.6305344,126.835707,2019-01-01
"주엽어린이도서관 어울림터",주엽어린이도서관,다목적실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,100,,,방문+전화,,경기도 고양시 덕양구 은빛로77번길 8(화정동),경기도 고양시 덕양구 화정동 873번지,경기도 고양시청,주엽어린이도서관,031-8075-9163,http://www.goyang.go.kr/kr/facilities/main.do,37.6378039,126.8371044221,2019-01-01
"화정어린이도서관 동아리방",화정어린이도서관,회의실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,24,,,방문+전화,,경기도 고양시 덕양구 화신로 323(화정동),경기도 고양시 덕양구 화정동 945번지,경기도 고양시청,화정어린이도서관,031-8075-9292,http://www.goyang.go.kr/kr/facilities/main.do,37.6328003,126.8263176,2019-01-01
"행신어린이도서관 동아리방",행신어린이도서관,회의실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,32,,,방문+전화,,경기도 고양시 덕양구 소원로181번길 42 (행신동),경기도 고양시 덕양구 행신동 804번지,경기도 고양시청,행신어린이도서관,031-8075-9273,http://www.goyang.go.kr/kr/facilities/main.do,37.614724,126.8434431,2019-01-01
"화전동행정복지센터 문화홀",화전동행정복지센터,다목적실,화+목+주말,09:00,18:00,00:00,00:00,N,,,,,60,,,방문+전화,,경기도 고양시 덕양구 중앙로 131(화전동),경기도 고양시 덕양구 화전동 226-13번지,경기도 고양시청,화전동행정복지센터,031-8075-5979,http://www.goyang.go.kr/kr/facilities/main.do,37.6000383135,126.8726169,2019-01-01
"일산동구청 2층 대회의실",일산동구 자치행정과,회의실,연중무휴,09:00,21:00,09:00,18:00,N,,,,,200,,,방문+전화,,경기도 고양시 일산동구 중앙로 1256(마두동),경기도 고양시 일산동구 마두동 815번지,경기도 고양시청,일산동구 자치행정과,031-8075-6030,http://www.goyang.go.kr/kr/facilities/main.do,37.6588817367,126.7749135,2019-01-01
